,Capacity (GW),Capacity (GW),Capacity (GW)
scenario,a1_RE100,a1_RE95,a1_Ref
year,,,
2011,2534.300108830001,2534.300108830001,2534.300108830001
2012,2534.300108830001,2534.300108830001,2534.300108830001
2013,5123.033731715,5123.033731715,5123.033731715
2014,5123.033731715,5123.033731715,5123.033731715
2015,9477.537309815,9477.537309815,9477.537309815
2016,9477.537309815,9477.537309815,9477.537309815
2017,9156.783124905001,9156.783124905001,9156.783124905001
2018,9156.783124905001,9156.783124905001,9156.783124905001
2019,17083.91889579501,17083.91889579501,16948.634981185
2020,17083.91889579501,17083.91889579501,16948.634981185
2021,34309.524105015,34309.524105015,10377.963980139999
2022,34309.524105015,34309.524105015,10377.963980139999
2023,24236.41596835,24236.41596835,13785.212152244998
2024,24236.41596835,24236.41596835,13785.212152244998
2025,74146.08848542998,74146.08848542998,26255.267659205005
2026,74146.08848542998,74146.08848542998,26255.267659205005
2027,57401.30155900999,57401.30155900999,28623.94755972
2028,57401.30155900999,57401.30155900999,28623.94755972
2029,81197.98650503502,81197.98650503502,42212.1666386
2030,81197.98650503502,81197.98650503502,42212.1666386
2031,66012.06177707498,66012.06177707498,12171.474714280002
2032,66012.06177707498,66012.06177707498,12171.474714280002
2033,59935.85522496499,59935.85522496499,10817.116827535001
2034,59935.85522496499,59935.85522496499,10817.116827535001
2035,67039.35151086502,67039.35151086502,16600.916044485
2036,67039.35151086502,67039.35151086502,16600.916044485
2037,78553.28784871998,78553.28784871998,17236.1859164
2038,78553.28784871998,78553.28784871998,17236.1859164
2039,87426.89474293002,87426.89474293002,25405.746050764996
2040,87426.89474293002,87426.89474293002,25405.746050764996
2041,26258.301319149992,26321.21267974,27412.184132349998
2042,26258.301319149992,26321.21267974,27412.184132349998
2043,23596.728956855004,24580.603778525,34218.10940959
2044,23596.728956855004,24580.603778525,34218.10940959
2045,29613.993353849997,34501.83784525001,30812.896324569996
2046,29613.993353849997,34501.83784525001,30812.896324569996
2047,35203.62712962,30836.982266779996,42696.46052754
2048,35203.62712962,30836.982266779996,42696.46052754
2049,51033.756040650005,42028.26102824,40675.047031885
2050,51033.756040650005,42028.26102824,40675.047031885
