Material,v_MFG_gCO2eqpg,LQ_Recycle_gCO2eqpg,HQ_Recycle_gCO2eqpg
silicon,5.033,1,2
glass,0.542,0,0
aluminium_frames,6.46,,
copper,0,0,0
silver,,,
encapsulant,,,
backsheets,,,
