Energy Source,CO2eq_kgpkWh_IPCC2006,CO2eq_kgpkWh_ember,CO2_kgpkWh_EIA,CO2_kgpkWh_EPA
Bioenergy,0.3005,0.23,0,0.317
Coal,0.3487,0.82,0.3215,0.338
Gas,0.2291,0.49,0.1805,0.181
Hydro,0,0.024,0,0
Nuclear,0,0.012,0,0
OtherFossil,0.2671,0.7,0.2413,0
OtherRenewables,0,0.038,0,0
Solar,0,0.048,0,0
Wind,0,0.011,0,0
SteamAndHeat,0,0,0,0.2266
