,Australia,Canada,Chile,China,CongoDRC,India,Indonesia,Japan,Kazakhstan,South Korea,Mexico,Peru,Poland,Russia,USA,Zambia,World
1995,2.383228409,5.684662357,19.86042522,9.164835781,0.42506565,1.129204683,0,12.59663774,3.679011614,3.577531825,4.388864913,4.143885676,4.659574086,5.754672226,19.39415094,3.158248888,0
1996,2.383228409,5.684662357,19.86042522,9.164835781,0.42506565,1.129204683,0,12.59663774,3.679011614,3.577531825,4.388864913,4.143885676,4.659574086,5.754672226,19.39415094,3.158248888,0
1997,2.383228409,5.684662357,19.86042522,9.164835781,0.42506565,1.129204683,0,12.59663774,3.679011614,3.577531825,4.388864913,4.143885676,4.659574086,5.754672226,19.39415094,3.158248888,0
1998,2.383228409,5.684662357,19.86042522,9.164835781,0.42506565,1.129204683,0,12.59663774,3.679011614,3.577531825,4.388864913,4.143885676,4.659574086,5.754672226,19.39415094,3.158248888,0
1999,3.449369269,5.343367623,20.874734,8.594451513,0.327450418,2.206799465,1.141874623,12.80524801,3.865926683,4.20780826,3.755992729,4.088283517,4.739372047,6.095614975,15.03247873,3.471228133,0
2000,5.432815526,4.949079559,29.56411751,6.523903778,0.075290021,0.891323738,5.500952408,4.761049814,3.548950413,1.582673353,3.037033985,4.151539721,3.94285516,4.966311968,11.5855479,2.325307164,7.161247983
2001,5.621526828,4.901540498,29.43480571,6.72298411,0.072040676,1.031815733,5.642569906,4.494739481,3.670787199,1.505610692,2.931048416,4.849370693,3.900654047,5.126197175,10.51144904,2.530506832,7.05235297
2002,5.866549821,4.526054317,28.68021737,7.006453012,0.019049251,1.2808381,6.154534833,4.379651765,3.853848954,1.494653223,2.835156948,5.495851842,4.124399765,5.560280198,8.888974548,2.779487073,7.053998981
2003,5.509206631,4.126459576,30.64943902,7.750364479,0.015169854,1.331649226,5.447322126,4.517437061,3.792495269,1.580110559,2.613559445,5.454256559,4.20961982,5.515044276,8.287299428,2.584191698,6.616374976
2004,5.351611535,4.080093875,30.98724955,7.991295067,0.037645413,1.368013935,4.412680563,4.218008174,3.54780218,1.501020237,2.860070858,6.057384223,4.204292865,5.229372756,8.04592305,3.033359623,7.074176092
2005,5.401512232,3.938166547,29.76647633,9.048764549,0.017971122,1.609906518,5.466451239,4.187259483,3.061630154,1.563800958,2.986111158,5.767244624,4.057277179,5.213736622,7.61047605,2.935794174,7.36742106
