year,USA,Australia,Belgium,Bulgaria,Canada,China,Germany,India,Japan,Kazakhstan,Skorea,Mexico,Netherlands,Norway,Peru,Poland,Russia,Uzbekistan,,,,,,,,,
1995,13.27,3.88,9.83,0,9.76,15.45,7.02,0,17.36,7.44,0,9.48,0,0,0,0,6.5,0,,,,,,,,,
1996,13.27,3.88,9.83,0,9.76,15.45,7.02,0,17.36,7.44,0,9.48,0,0,0,0,6.5,0,,,,,,,,,
1997,13.27,3.88,9.83,0,9.76,15.45,7.02,0,17.36,7.44,0,9.48,0,0,0,0,6.5,0,,,,,,,,,
1998,13.27,3.88,9.83,0,9.76,15.45,7.02,0,17.36,7.44,0,9.48,0,0,0,0,6.5,0,,,,,,,,,
1999,13.27,3.88,9.83,0,9.76,15.45,7.02,0,17.36,7.44,0,9.48,0,0,0,0,6.5,0,,,,,,,,,
2000,13.27,3.88,9.83,0,9.76,15.45,7.02,0,17.36,7.44,0,9.48,0,0,0,0,6.5,0,,,,,,,,,
2001,4.59,2.55,8.37,0,7.96,16.2,7.42,0,16.8,7.42,12.69,9.58,0,0,0,0,6.41,0,,,,,,,,,
2002,5.61,2.81,0,0,7.19,20.05,3.38,3.61,20.05,4.81,15.24,9.62,0,0,0,0,7.62,0,,,,,,,,,
2003,4.82,2.52,0,0,10.07,17.99,3.24,3.45,17.99,9.71,13.31,10.07,0,0,0,0,6.83,0,,,,,,,,,
2004,3.43,2.18,0,0,11.78,17.47,3.99,3.05,13.93,11.85,13.1,9.98,0,0,3.32,0,5.93,0,,,,,,,,,
2005,5.8,2.03,0,0,9.23,16.25,3.47,2.26,12.45,10.84,15.71,8.67,3.12,0,2.61,0,7.59,0,,,,,,,,,
2006,3.9,2.23,0,0,9.54,16.73,3.57,2.51,12.77,11.15,18.13,7.81,3.18,0,2.34,0,6.13,0,,,,,,,,,
2007,3.83,1.82,0,0,10.95,20.85,3.34,3.02,10.06,10.95,17.72,8.44,2.61,0,2.19,0,4.22,0,,,,,,,,,
2008,4.19,1.78,0,0,7.01,23.17,2.16,3.23,11.42,11.32,15.63,8.68,2.86,0,2,2.26,4.31,0,,,,,,,,,
2009,3.59,2.1,0,0,7.38,24.42,2.27,3.46,10.34,10.22,17.04,6.87,2.78,0,2.13,3.41,3.98,0,,,,,,,,,
2010,3.1,1.7,0,0,6.33,35.04,1.95,3.02,9.98,8.76,12.17,7.2,2.82,0,1.95,2.58,3.41,0,,,,,,,,,
2011,0,1.86,0,0,8.42,33.3,1.43,3,8.37,6.66,19.03,7.04,2.71,0,2.72,2.14,3.33,0,,,,,,,,,
2012,0,1.9,0,2.1,5.5,36.47,0,3.1,8.99,6.49,14.99,8.11,2.8,0,3.42,2.65,3.5,0,,,,,,,,,
2013,0,1.81,0,1.9,6.67,33.33,0,2.14,8.71,5.71,19.04,7.09,2.67,0,3.31,1.9,5.71,0,,,,,,,,,
2014,0,1.66,0,1.66,6.22,33.21,0,1.8,8.68,5.69,19.03,6.69,3.04,0,3.65,2.98,5.69,0,,,,,,,,,
2015,0,1.74,0,1.64,5.3,34.7,0,0,8.95,6.85,19.18,5.94,2.92,0,3.47,2.88,6.44,0,,,,,,,,,
2016,0,0,0,0,10.72,38.07,0,0,9.24,6.96,16.71,5.52,2.92,0,3.81,0,6.04,0,,,,,,,,,
2017,0,0,0,0,7.83,35.66,0,0,9.31,6.52,24.35,5.04,2.61,0,3.47,0,5.22,0,,,,,,,,,
2018,0,0,0,0,7.37,35.99,0,0,8.69,6.58,21.94,5.97,4.83,0,3.36,0,5.27,0,,,,,,,,,
2019,0,0,0,0,8.17,37.15,0,0,9.06,6.8,19.94,6.32,4.98,0,3.5,0,4.08,0,,,,,,,,,
2020,0,0,0,0,8.17,37.15,0,0,9.06,6.8,19.94,6.32,4.98,0,3.5,0,4.08,0,,,,,,,,,
