year,e_mat_extraction,e_mat_MFG,e_mat_MFG_fuelfraction,e_mat_MFGScrap_LQ,e_mat_MFGScrap_HQ,e_mat_Landfill,e_mat_Landfill_fuelfraction,e_mat_EoL_ReMFG_clean,e_mat_Recycled_LQ,e_mat_Recycled_HQ,e_mat_Recycled_HQ_fuelfraction
year,Wh/g,Wh/g,%,Wh/g,Wh/g,Wh/g,%,Wh/g,Wh/g,Wh/g,%
1995,1,1,50,1,1,1,0,1,1,1,50
1996,1,1,50,1,1,1,0,1,1,1,50
1997,1,1,50,1,1,1,0,1,1,1,50
1998,1,1,50,1,1,1,0,1,1,1,50
1999,1,1,50,1,1,1,0,1,1,1,50
2000,1,1,50,1,1,1,0,1,1,1,50
2001,1,1,50,1,1,1,0,1,1,1,50
2002,1,1,50,1,1,1,0,1,1,1,50
2003,1,1,50,1,1,1,0,1,1,1,50
2004,1,1,50,1,1,1,0,1,1,1,50
2005,1,1,50,1,1,1,0,1,1,1,50
2006,1,1,50,1,1,1,0,1,1,1,50
2007,1,1,50,1,1,1,0,1,1,1,50
2008,1,1,50,1,1,1,0,1,1,1,50
2009,1,1,50,1,1,1,0,1,1,1,50
2010,1,1,50,1,1,1,0,1,1,1,50
2011,1,1,50,1,1,1,0,1,1,1,50
2012,1,1,50,1,1,1,0,1,1,1,50
2013,1,1,50,1,1,1,0,1,1,1,50
2014,1,1,50,1,1,1,0,1,1,1,50
2015,1,1,50,1,1,1,0,1,1,1,50
2016,1,1,50,1,1,1,0,1,1,1,50
2017,1,1,50,1,1,1,0,1,1,1,50
2018,1,1,50,1,1,1,0,1,1,1,50
2019,1,1,50,1,1,1,0,1,1,1,50
2020,1,1,50,1,1,1,0,1,1,1,50
2021,1,1,50,1,1,1,0,1,1,1,50
2022,1,1,50,1,1,1,0,1,1,1,50
2023,1,1,50,1,1,1,0,1,1,1,50
2024,1,1,50,1,1,1,0,1,1,1,50
2025,1,1,50,1,1,1,0,1,1,1,50
2026,1,1,50,1,1,1,0,1,1,1,50
2027,1,1,50,1,1,1,0,1,1,1,50
2028,1,1,50,1,1,1,0,1,1,1,50
2029,1,1,50,1,1,1,0,1,1,1,50
2030,1,1,50,1,1,1,0,1,1,1,50
2031,1,1,50,1,1,1,0,1,1,1,50
2032,1,1,50,1,1,1,0,1,1,1,50
2033,1,1,50,1,1,1,0,1,1,1,50
2034,1,1,50,1,1,1,0,1,1,1,50
2035,1,1,50,1,1,1,0,1,1,1,50
2036,1,1,50,1,1,1,0,1,1,1,50
2037,1,1,50,1,1,1,0,1,1,1,50
2038,1,1,50,1,1,1,0,1,1,1,50
2039,1,1,50,1,1,1,0,1,1,1,50
2040,1,1,50,1,1,1,0,1,1,1,50
2041,1,1,50,1,1,1,0,1,1,1,50
2042,1,1,50,1,1,1,0,1,1,1,50
2043,1,1,50,1,1,1,0,1,1,1,50
2044,1,1,50,1,1,1,0,1,1,1,50
2045,1,1,50,1,1,1,0,1,1,1,50
2046,1,1,50,1,1,1,0,1,1,1,50
2047,1,1,50,1,1,1,0,1,1,1,50
2048,1,1,50,1,1,1,0,1,1,1,50
2049,1,1,50,1,1,1,0,1,1,1,50
2050,1,1,50,1,1,1,0,1,1,1,50
