,Austria,Brazil,China,France,Germany,India,Italy,Japan,SKorea,Netherlands,Norway,Poland,SaudiArabia,Singapore,Spain,Taiwan,Thailand,Turkey,UnitedKingdom,USA
2000,0.89,0.89,40.18,1.79,5.36,10.71,2.68,4.46,5.36,0.89,0.89,0.89,1.79,1.79,0.89,1.79,1.79,4.46,0.89,11.61
2001,0.89,0.89,40.18,1.79,5.36,10.71,2.68,4.46,5.36,0.89,0.89,0.89,1.79,1.79,0.89,1.79,1.79,4.46,0.89,11.61
2002,0.89,0.89,40.18,1.79,5.36,10.71,2.68,4.46,5.36,0.89,0.89,0.89,1.79,1.79,0.89,1.79,1.79,4.46,0.89,11.61
2003,0.89,0.89,40.18,1.79,5.36,10.71,2.68,4.46,5.36,0.89,0.89,0.89,1.79,1.79,0.89,1.79,1.79,4.46,0.89,11.61
2004,0.89,0.89,40.18,1.79,5.36,10.71,2.68,4.46,5.36,0.89,0.89,0.89,1.79,1.79,0.89,1.79,1.79,4.46,0.89,11.61
2005,0.89,0.89,40.18,1.79,5.36,10.71,2.68,4.46,5.36,0.89,0.89,0.89,1.79,1.79,0.89,1.79,1.79,4.46,0.89,11.61
2006,0.89,0.89,40.18,1.79,5.36,10.71,2.68,4.46,5.36,0.89,0.89,0.89,1.79,1.79,0.89,1.79,1.79,4.46,0.89,11.61
2007,0.89,0.89,40.18,1.79,5.36,10.71,2.68,4.46,5.36,0.89,0.89,0.89,1.79,1.79,0.89,1.79,1.79,4.46,0.89,11.61
2008,0.89,0.89,40.18,1.79,5.36,10.71,2.68,4.46,5.36,0.89,0.89,0.89,1.79,1.79,0.89,1.79,1.79,4.46,0.89,11.61
2009,0.89,0.89,40.18,1.79,5.36,10.71,2.68,4.46,5.36,0.89,0.89,0.89,1.79,1.79,0.89,1.79,1.79,4.46,0.89,11.61
2010,0.89,0.89,40.18,1.79,5.36,10.71,2.68,4.46,5.36,0.89,0.89,0.89,1.79,1.79,0.89,1.79,1.79,4.46,0.89,11.61
2011,0.89,0.89,40.18,1.79,5.36,10.71,2.68,4.46,5.36,0.89,0.89,0.89,1.79,1.79,0.89,1.79,1.79,4.46,0.89,11.61
2012,0.89,0.89,40.18,1.79,5.36,10.71,2.68,4.46,5.36,0.89,0.89,0.89,1.79,1.79,0.89,1.79,1.79,4.46,0.89,11.61
2013,0.89,0.89,40.18,1.79,5.36,10.71,2.68,4.46,5.36,0.89,0.89,0.89,1.79,1.79,0.89,1.79,1.79,4.46,0.89,11.61
2014,0.89,0.89,40.18,1.79,5.36,10.71,2.68,4.46,5.36,0.89,0.89,0.89,1.79,1.79,0.89,1.79,1.79,4.46,0.89,11.61
2015,0.89,0.89,40.18,1.79,5.36,10.71,2.68,4.46,5.36,0.89,0.89,0.89,1.79,1.79,0.89,1.79,1.79,4.46,0.89,11.61
2016,0.89,0.89,40.18,1.79,5.36,10.71,2.68,4.46,5.36,0.89,0.89,0.89,1.79,1.79,0.89,1.79,1.79,4.46,0.89,11.61
2017,0.89,0.89,40.18,1.79,5.36,10.71,2.68,4.46,5.36,0.89,0.89,0.89,1.79,1.79,0.89,1.79,1.79,4.46,0.89,11.61
2018,0.89,0.89,40.18,1.79,5.36,10.71,2.68,4.46,5.36,0.89,0.89,0.89,1.79,1.79,0.89,1.79,1.79,4.46,0.89,11.61
2019,0.89,0.89,40.18,1.79,5.36,10.71,2.68,4.46,5.36,0.89,0.89,0.89,1.79,1.79,0.89,1.79,1.79,4.46,0.89,11.61
2020,0.89,0.89,40.18,1.79,5.36,10.71,2.68,4.46,5.36,0.89,0.89,0.89,1.79,1.79,0.89,1.79,1.79,4.46,0.89,11.61
2021,0.89,0.89,40.18,1.79,5.36,10.71,2.68,4.46,5.36,0.89,0.89,0.89,1.79,1.79,0.89,1.79,1.79,4.46,0.89,11.61
2022,0.89,0.89,40.18,1.79,5.36,10.71,2.68,4.46,5.36,0.89,0.89,0.89,1.79,1.79,0.89,1.79,1.79,4.46,0.89,11.61
2023,0.89,0.89,40.18,1.79,5.36,10.71,2.68,4.46,5.36,0.89,0.89,0.89,1.79,1.79,0.89,1.79,1.79,4.46,0.89,11.61
2024,0.89,0.89,40.18,1.79,5.36,10.71,2.68,4.46,5.36,0.89,0.89,0.89,1.79,1.79,0.89,1.79,1.79,4.46,0.89,11.61
2025,0.89,0.89,40.18,1.79,5.36,10.71,2.68,4.46,5.36,0.89,0.89,0.89,1.79,1.79,0.89,1.79,1.79,4.46,0.89,11.61
2026,0.89,0.89,40.18,1.79,5.36,10.71,2.68,4.46,5.36,0.89,0.89,0.89,1.79,1.79,0.89,1.79,1.79,4.46,0.89,11.61
2027,0.89,0.89,40.18,1.79,5.36,10.71,2.68,4.46,5.36,0.89,0.89,0.89,1.79,1.79,0.89,1.79,1.79,4.46,0.89,11.61
2028,0.89,0.89,40.18,1.79,5.36,10.71,2.68,4.46,5.36,0.89,0.89,0.89,1.79,1.79,0.89,1.79,1.79,4.46,0.89,11.61
2029,0.89,0.89,40.18,1.79,5.36,10.71,2.68,4.46,5.36,0.89,0.89,0.89,1.79,1.79,0.89,1.79,1.79,4.46,0.89,11.61
2030,0.89,0.89,40.18,1.79,5.36,10.71,2.68,4.46,5.36,0.89,0.89,0.89,1.79,1.79,0.89,1.79,1.79,4.46,0.89,11.61
2031,0.89,0.89,40.18,1.79,5.36,10.71,2.68,4.46,5.36,0.89,0.89,0.89,1.79,1.79,0.89,1.79,1.79,4.46,0.89,11.61
2032,0.89,0.89,40.18,1.79,5.36,10.71,2.68,4.46,5.36,0.89,0.89,0.89,1.79,1.79,0.89,1.79,1.79,4.46,0.89,11.61
2033,0.89,0.89,40.18,1.79,5.36,10.71,2.68,4.46,5.36,0.89,0.89,0.89,1.79,1.79,0.89,1.79,1.79,4.46,0.89,11.61
2034,0.89,0.89,40.18,1.79,5.36,10.71,2.68,4.46,5.36,0.89,0.89,0.89,1.79,1.79,0.89,1.79,1.79,4.46,0.89,11.61
2035,0.89,0.89,40.18,1.79,5.36,10.71,2.68,4.46,5.36,0.89,0.89,0.89,1.79,1.79,0.89,1.79,1.79,4.46,0.89,11.61
