Year,USA,Sweden,Russia,Japan,China,Canada,Peru,Uzbeckistan,SouthAfrica,Bulgaria
1995,8.4,0,0,37.8,0,37.8,16,0,0,0
1996,7.2,0,0,28.1,0,44.6,20.1,0,0,0
1997,10.1,0,0,24.2,0,40.4,25.3,0,0,0
1998,8,0,0,26.4,0,45.6,20,0,0,0
1999,7.5,0,0,26.1,0,50,16.4,0,0,0
2000,7.4,0,0,25.9,0,48.1,18.5,0,0,0
2001,6.6,0,0,25.8,0,53,14.6,0,0,0
2002,9.6,0,0,27.9,0,43.3,19.2,0,0,0
2003,9.7,0,0,27.2,0,43.7,19.4,0,0,0
2004,9.7,0,0,32,0,38.8,19.4,0,0,0
2005,7.8,0,0,17.1,0,58.1,17.1,0,0,0
2006,7,0,0,16.9,0,52.8,23.2,0,0,0
2007,12,0,0,38.6,0,9.6,39.8,0,0,0
2008,10.1,0,0,40.4,0,19.2,30.3,0,0,0
2009,7.8,0,26.6,29.7,0,12.5,23.4,0,0,0
2010,7.5,0,25.6,38.3,0,6,22.6,0,0,0
2011,11.1,0,37.8,44.4,0,6.7,0,0,0,0
2012,9.9,0,34.7,44.6,0,10.9,0,0,0,0
2013,9.5,0,33.3,45.7,0,11.4,0,0,0,0
2014,8.8,27.2,28.1,28.1,0,7.9,0,0,0,0
2015,8.1,26.6,28.2,29.8,0,7.3,0,0,0,0
2016,2.4,9.3,8.4,7.9,66.8,4.3,0,0,0,1
2017,2.1,7.3,9.2,7.9,60.7,10.3,0,0,1.5,1
2018,2.1,9.6,8.9,12.3,59.4,5.3,0,0,1.3,1.1
2019,1.9,7.7,9.8,9.4,61.3,7.5,0,0,1.5,0.8
2020,1.7,7.3,12.4,12.2,57.7,7.7,0,0,0.3,0.5
2021,1.7,7.1,12.2,11.8,57.4,7.7,0,0.7,0.7,0.7
2022,1.7,5.5,11.8,11.4,63.9,4,0,0.5,0.7,0.5
2023,1.5,3.8,11.5,11.5,65.8,4.1,0,0.5,0.8,0.5
2024,1.5,3.8,11.5,11.5,65.8,4.1,0,0.5,0.8,0.5
2025,1.5,3.8,11.5,11.5,65.8,4.1,0,0.5,0.8,0.5
2026,1.5,3.8,11.5,11.5,65.8,4.1,0,0.5,0.8,0.5
2027,1.5,3.8,11.5,11.5,65.8,4.1,0,0.5,0.8,0.5
2028,1.5,3.8,11.5,11.5,65.8,4.1,0,0.5,0.8,0.5
2029,1.5,3.8,11.5,11.5,65.8,4.1,0,0.5,0.8,0.5
2030,1.5,3.8,11.5,11.5,65.8,4.1,0,0.5,0.8,0.5
2031,1.5,3.8,11.5,11.5,65.8,4.1,0,0.5,0.8,0.5
2032,1.5,3.8,11.5,11.5,65.8,4.1,0,0.5,0.8,0.5
2033,1.5,3.8,11.5,11.5,65.8,4.1,0,0.5,0.8,0.5
2034,1.5,3.8,11.5,11.5,65.8,4.1,0,0.5,0.8,0.5
2035,1.5,3.8,11.5,11.5,65.8,4.1,0,0.5,0.8,0.5
2036,1.5,3.8,11.5,11.5,65.8,4.1,0,0.5,0.8,0.5
2037,1.5,3.8,11.5,11.5,65.8,4.1,0,0.5,0.8,0.5
2038,1.5,3.8,11.5,11.5,65.8,4.1,0,0.5,0.8,0.5
2039,1.5,3.8,11.5,11.5,65.8,4.1,0,0.5,0.8,0.5
2040,1.5,3.8,11.5,11.5,65.8,4.1,0,0.5,0.8,0.5
2041,1.5,3.8,11.5,11.5,65.8,4.1,0,0.5,0.8,0.5
2042,1.5,3.8,11.5,11.5,65.8,4.1,0,0.5,0.8,0.5
2043,1.5,3.8,11.5,11.5,65.8,4.1,0,0.5,0.8,0.5
2044,1.5,3.8,11.5,11.5,65.8,4.1,0,0.5,0.8,0.5
2045,1.5,3.8,11.5,11.5,65.8,4.1,0,0.5,0.8,0.5
2046,1.5,3.8,11.5,11.5,65.8,4.1,0,0.5,0.8,0.5
2047,1.5,3.8,11.5,11.5,65.8,4.1,0,0.5,0.8,0.5
2048,1.5,3.8,11.5,11.5,65.8,4.1,0,0.5,0.8,0.5
2049,1.5,3.8,11.5,11.5,65.8,4.1,0,0.5,0.8,0.5
2050,1.5,3.8,11.5,11.5,65.8,4.1,0,0.5,0.8,0.5
