year,e_mod_MFG,e_mod_Install,e_mod_OandM,e_mod_Repair,e_mod_Demount,e_mod_Resell_Certify,e_mod_Store,e_mod_ReMFG_Disassembly,e_mod_Recycle_Crush
year,Wh/m2,Wh/m2,Wh/m2,Wh/m2,Wh/m2,Wh/m2,Wh/m2,Wh/m2,Wh/m2
1995,100,1,1,1,1,1,0,1,50
1996,100,1,1,1,1,1,0,1,50
1997,100,1,1,1,1,1,0,1,50
1998,100,1,1,1,1,1,0,1,50
1999,100,1,1,1,1,1,0,1,50
2000,100,1,1,1,1,1,0,1,50
2001,100,1,1,1,1,1,0,1,50
2002,100,1,1,1,1,1,0,1,50
2003,100,1,1,1,1,1,0,1,50
2004,100,1,1,1,1,1,0,1,50
2005,100,1,1,1,1,1,0,1,50
2006,100,1,1,1,1,1,0,1,50
2007,100,1,1,1,1,1,0,1,50
2008,100,1,1,1,1,1,0,1,50
2009,100,1,1,1,1,1,0,1,50
2010,100,1,1,1,1,1,0,1,50
2011,100,1,1,1,1,1,0,1,50
2012,100,1,1,1,1,1,0,1,50
2013,100,1,1,1,1,1,0,1,50
2014,100,1,1,1,1,1,0,1,50
2015,100,1,1,1,1,1,0,1,50
2016,100,1,1,1,1,1,0,1,50
2017,100,1,1,1,1,1,0,1,50
2018,100,1,1,1,1,1,0,1,50
2019,100,1,1,1,1,1,0,1,50
2020,100,1,1,1,1,1,0,1,50
2021,100,1,1,1,1,1,0,1,50
2022,100,1,1,1,1,1,0,1,50
2023,100,1,1,1,1,1,0,1,50
2024,100,1,1,1,1,1,0,1,50
2025,100,1,1,1,1,1,0,1,50
2026,100,1,1,1,1,1,0,1,50
2027,100,1,1,1,1,1,0,1,50
2028,100,1,1,1,1,1,0,1,50
2029,100,1,1,1,1,1,0,1,50
2030,100,1,1,1,1,1,0,1,50
2031,100,1,1,1,1,1,0,1,50
2032,100,1,1,1,1,1,0,1,50
2033,100,1,1,1,1,1,0,1,50
2034,100,1,1,1,1,1,0,1,50
2035,100,1,1,1,1,1,0,1,50
2036,100,1,1,1,1,1,0,1,50
2037,100,1,1,1,1,1,0,1,50
2038,100,1,1,1,1,1,0,1,50
2039,100,1,1,1,1,1,0,1,50
2040,100,1,1,1,1,1,0,1,50
2041,100,1,1,1,1,1,0,1,50
2042,100,1,1,1,1,1,0,1,50
2043,100,1,1,1,1,1,0,1,50
2044,100,1,1,1,1,1,0,1,50
2045,100,1,1,1,1,1,0,1,50
2046,100,1,1,1,1,1,0,1,50
2047,100,1,1,1,1,1,0,1,50
2048,100,1,1,1,1,1,0,1,50
2049,100,1,1,1,1,1,0,1,50
2050,100,1,1,1,1,1,0,1,50
