year,a1_RE100_added_cap(GW),a1_RE95_added_cap(GW),a1_Ref_added_cap(GW)
2009,,,
2010,,,
2011,2547.8204492099985,2547.8204492099985,2547.8204492099985
2012,2547.8204492099985,2547.8204492099985,2547.8204492099985
2013,5022.716968440002,5022.716968440002,5022.716968440002
2014,5022.716968440002,5022.716968440002,5022.716968440002
2015,9274.539117690001,9274.539117690001,9274.539117690001
2016,9274.539117690001,9274.539117690001,9274.539117690001
2017,9086.59210004999,9086.59210004999,9086.59210004999
2018,9086.59210004999,9086.59210004999,9086.59210004999
2019,16159.444769730007,16159.444769730007,16034.567311110002
2020,16159.444769730007,16159.444769730007,16034.567311110002
2021,32015.50848687001,32015.50848687001,9924.837596760035
2022,32015.50848687001,32015.50848687001,9924.837596760035
2023,22707.833879699967,22707.833879699967,13060.568828879961
2024,22707.833879699967,22707.833879699967,13060.568828879961
2025,68946.66220587006,68946.66220587006,24739.750702020003
2026,68946.66220587006,68946.66220587006,24739.750702020003
2027,53736.853005929865,53736.853005929865,27173.141573009972
2028,53736.853005929865,53736.853005929865,27173.141573009972
2029,76084.42703601014,76084.42703601014,40097.51631560998
2030,76084.42703601014,76084.42703601014,40097.51631560998
2031,62011.42335179975,62011.42335179975,12312.419956649992
2032,62011.42335179975,62011.42335179975,12312.419956649992
2033,56021.80385831997,56021.80385831997,10681.42998105009
2034,56021.80385831997,56021.80385831997,10681.42998105009
2035,62544.98373663019,62544.98373663019,15986.427974039967
2036,62544.98373663019,62544.98373663019,15986.427974039967
2037,73078.61918975989,73078.61918975989,16478.217382110026
2038,73078.61918975989,73078.61918975989,16478.217382110026
2039,81124.21721783974,81124.21721783974,23873.92611890993
2040,81124.21721783974,81124.21721783974,23873.92611890993
2041,23469.066029790465,23527.138070760684,24534.188658209976
2042,23469.066029790465,23527.138070760684,24534.188658209976
2043,19169.395343939726,20077.587485489756,28973.74654077004
2044,19169.395343939726,20077.587485489756,28973.74654077004
2045,21931.036440360167,26442.892874069817,23037.71608829998
2046,21931.036440360167,26442.892874069817,23037.71608829998
2047,27972.41094804026,23941.66179951024,34888.872538980046
2048,27972.41094804026,23941.66179951024,34888.872538980046
2049,34000.85904212979,25688.094447929747,24563.85126443994
2050,34000.85904212979,25688.094447929747,24563.85126443994
