Year,Ag_g_per_cell
2009,0.401005
2010,0.3
2011,0.25
2012,0.2
2013,0.14
2014,0.13
2015,0.11
2016,0.1
2017,0.1
2018,0.100251
2019,0.09737311
2020,0.079899
2021,
2022,0.064824
2023,
2024,0.046734
2025,
2026,
2027,0.038442
2028,
2029,
2030,0.04932199
