Year,mod_eff
1975,6.32
1976,6.7
1977,
1978,7.4
1979,
1980,9
1981,
1982,
1983,
1984,9.9
1985,
1986,
1987,
1988,
1989,
1990,11.5
1991,
1992,11.9
1993,
1994,
1995,
1996,12.7
1997,
1998,
1999,
2000,
2001,13.6
2002,
2003,13
2004,
2005,
2006,
2007,
2008,
2009,
2010,14.7
2011,15.1
2012,15.4
2013,16
2014,16.3
2015,17
2016,17.5
2017,17.7
2018,18.4
2019,19.2
2020,
2021,
2022,
2023,
2024,
2025,
2026,
2027,
2028,
2029,
2030,
2031,
2032,
2033,
2034,
2035,
2036,
2037,
2038,
2039,
2040,
2041,
2042,
2043,
2044,
2045,
2046,
2047,
2048,
2049,
2050,25
