Year,wafer_thickness
1990,400
1991,
1992,
1993,
1994,
1995,
1996,
1997,
1998,
1999,
2000,
2001,
2002,
2003,
2004,300
2005,
2006,200
2007,
2008,180
2009,
2010,180
2011,180
2012,180
2013,180
2014,180
2015,180
2016,180
2017,180
2018,176.4083333
2019,172.6666667
2020,163.1833333
2021,
2022,152.3
2023,
2024,146.9666667
2025,
2026,
2027,138.885
2028,
2029,
2030,134.95
