Year,slurry mc-Si,slurry mono,diamond mc-Si,diamond mono
2010,100,100,0,0
2011,100,95,0,5
2012,100,90,0,10
2013,100,85,0,15
2014,98,,2,
2015,95,65,5,35
2016,94,45,6,55
2017,68,15,32,85
2018,0,0,100,100
