year,WasteEOL_Module_Sim1_base_Si_[Tonnes],WasteEOL_Module_Sim1_base_CdTe_[Tonnes],WasteEOL_Module_Sim1_Si_deg_TOTAL_[Tonnes],WasteEOL_Module_Sim1_CdTe_deg_TOTAL_[Tonnes]
1995,0.0,0.0,0.0,0.0
1996,0.004225568146490361,0.0,0.004224723032861063,0.0052202632182247214
1997,0.09332363847924817,0.0,0.09330497375155232,0.11532085253840257
1998,0.6078822129023083,0.0,0.6077606364597279,0.7515938146026174
1999,2.3290335146557726,0.0,2.3285677079528417,2.880979002975554
2000,6.590390920337773,0.0,6.589072842153706,8.15490731303732
2001,15.346909576162364,0.0,15.343840194247132,18.99471741908815
2002,31.20350904153956,0.0,31.197268339731252,38.62723707207467
2003,57.38735570033046,0.0,57.375878229190384,71.05064766921456
2004,97.64037495362398,0.0,97.62084687863324,120.90179910485281
2005,1312.8362576892857,0.0,1312.5736904377477,1622.3404543436172
2006,2216.0909512126373,0.0,2215.6477330223947,2746.4094302703106
2007,2217.03495865243,0.0,2216.591551660699,2747.621904213691
2008,2219.8170798948604,0.0,2219.3731164788815,2751.1974156858805
2009,2227.250442895974,6.461689984982644e-06,2226.804992807395,2760.7558280751296
2010,2245.503557265882,0.00031865007630301487,2245.0544565544287,2784.238881730311
2011,2287.0536064931475,0.0031565985739016008,2286.596195771849,2837.719248991389
2012,3384.224361340408,0.01639398368527007,3383.5475164681397,4240.8090529112815
2013,4460.226096211145,0.06040542539163832,4459.3340509919035,5636.334615266058
2014,5925.222626822664,0.1806362782250756,5924.037582297301,7547.797325795189
2015,5926.141927475794,0.47017249138486106,5924.956699090299,7549.02253806788
2016,5929.628006494182,1.1075120885422884,5928.4420808928835,7553.698695822609
2017,5941.276504308222,2.4163134041740144,5940.08824900736,7569.37451884954
2018,5975.873037424822,4.955391223724934,5974.677862817336,7615.965057764744
2019,6069.307907233675,9.652407729603372,6068.094045652228,7741.690027549327
2020,8013.54960764553,17.99728358409041,8011.946897724002,10305.38176869292
2021,10616.493228099116,32.31500200343448,10614.369929453496,13759.176879561459
2022,14537.614600578143,56.13995813050581,15648.212030709334,20600.0809886169
2023,20052.655993052955,94.71548950820883,25783.64883920321,34676.024539908874
2024,28591.112279719513,155.64085375544119,47801.15078333475,65674.02619609432
2025,37459.74158638624,249.68322232989254,77858.72749080743,108408.49242483049
2026,46938.93610326477,391.76455822377557,117143.83251448955,164130.15518262162
