Country,Chile,Peru,China,Congo,USA,Russia,Zambia,Australia,Indonesia,Mexico,Kazakhstan,Canada,Poland,Iran,Brazil,Panama,Mongolia,Spain,Serbia,Bulgaria,Global
1998,,,,,,,,,,,,,,,,,,,,,
1999,,,,,,,,,,,,,,,,,,,,,
2000,4.6,0.554,0.59,,1.44,0.57,0.24,0.829,1.012,0.365,0.43,0.634,0.456,,,,,,,,1.48
2001,4.74,0.722,0.59,,1.34,0.62,0.3,0.869,1.05,0.367,0.47,0.633,0.474,,,,,,,,1.51
2002,4.58,0.843,0.585,,1.14,0.695,0.33,0.883,1.16,0.33,0.49,0.6,0.503,,,,,,,,1.5
2003,4.9,0.831,0.61,,1.12,0.675,0.33,0.83,0.979,0.361,0.485,0.558,0.495,,,,,,,,1.4
2004,5.41,1.04,0.62,,1.16,0.675,0.427,0.854,0.84,0.406,0.461,0.564,0.531,,,,,,,,1.61
2005,5.32,1.01,0.755,,1.14,0.7,0.436,0.927,1.07,0.429,0.402,0.567,0.523,,,,,,,,1.72
2006,5.36,1.049,0.89,,1.2,0.725,0.476,0.859,0.816,0.338,0.457,0.607,0.512,,,,,,,,1.835
2007,5.56,1.19,0.946,,1.17,0.74,0.52,0.87,0.797,0.347,0.407,0.589,0.452,,,,,,,,1.84
2008,5.33,1.27,0.95,,1.31,0.75,0.546,0.886,0.651,0.247,0.42,0.607,0.43,,,,,,,,2.03
2009,5.39,1.275,0.995,,1.18,0.725,0.697,0.854,0.996,0.238,0.39,0.491,0.439,,,,,,,,2.19
2010,5.42,1.25,1.19,0.343,1.11,0.703,0.69,0.87,0.872,0.26,0.38,0.525,0.425,,,,,,,,1.9
2011,5.26,1.24,1.31,0.52,1.11,0.713,0.668,0.958,0.543,0.443,0.417,0.566,0.427,,,,,,,,1.97
2012,5.43,1.3,1.63,0.6,1.17,0.883,0.69,0.958,0.36,0.44,0.424,0.579,0.427,,,,,,,,2
2013,5.78,1.38,1.6,0.97,1.25,0.833,0.76,0.99,0.504,0.48,0.446,0.632,0.429,,,,,,,,2.2
2014,5.75,1.38,1.76,1.03,1.36,0.742,0.708,0.97,,0.515,,0.696,,,,,,,,,3.6
2015,5.76,1.7,1.71,1.02,1.38,0.732,0.712,0.971,,0.594,,0.697,,,,,,,,,3.8
2016,5.55,2.36,1.9,0.87,1.46,0.685,0.77,0.95,0.735,0.755,0.5,0.715,0.42,0.3,0.34,0,0.35,0.134,0,0.114,
2017,5.5,2.45,1.71,1.09,1.26,0.705,0.794,0.86,0.622,0.742,,,,,,,,,,,4.25
2018,5.83,2.44,1.59,1.23,1.22,0.751,0.854,0.92,0.651,0.751,0.603,,,,,,,,,,3.54
2019,5.79,2.46,1.68,1.29,1.26,0.801,0.797,0.934,,0.715,0.562,0.573,0.399,,,,,,,,3.1
2020,5.73,2.15,1.72,1.6,1.2,0.81,0.853,0.885,0.505,0.733,0.552,0.585,0.393,,,,,,,,2.84
2021,5.624,2.301,1.911,1.718,1.261,0.899,0.842,0.819,0.753,0.734,0.635,0.551,0.391,0.344,0.339,0.334,0.306,0.146,0.122,0.108,
2022,5.2,2.2,1.9,2.2,1.3,1,0.77,0.83,0.92,0.74,0.58,0.53,0.39,,,,,,,,
