Row Labels,Indonesia_Bioenergy,Indonesia_Coal,Indonesia_Gas,Indonesia_Hydro,Indonesia_OtherFossil,Indonesia_OtherRenewables,Indonesia_Solar,Indonesia_Wind
2000,4.37,34.68,32.57,10.22,12.76,5.41,0,0
2001,4.31,35.52,31.17,10.97,12.41,5.61,0,0
2002,4.16,37.98,25.88,8.78,17.56,5.64,0,0
2003,4.09,39.58,23.81,7.75,19.73,5.04,0,0
2004,4.02,38.64,21.45,7.75,23.11,5.04,0,0
2005,4.01,39,16.33,8.07,27.62,4.97,0,0
2006,3.55,42.51,17.36,6.97,24.78,4.83,0,0
2007,4.03,43.06,16.71,7.61,23.86,4.73,0,0
2008,4.17,39.44,17.81,7.4,25.86,5.33,0,0
2009,3.75,40.47,24.81,6.99,18.28,5.71,0,0
2010,4.4,38.57,21.87,9.83,20.06,5.27,0,0
2011,4.51,42.26,20.41,6.47,21.46,4.89,0,0
2012,4.24,48.89,23.41,6.13,12.81,4.52,0,0
2013,4.06,49.4,25.78,7.51,9.05,4.19,0,0
2014,3.86,50.32,25.49,6.38,9.71,4.24,0,0
2015,4.01,51.24,22.25,5.65,12.71,4.14,0,0
2016,3.96,52.56,23.99,7.25,8.08,4.14,0.01,0
2017,4.31,55.66,21,7.01,7.09,4.91,0.01,0
2018,4.27,56.38,20.24,7.63,6.33,5.05,0.03,0.07
2019,4.12,59.06,21.09,7.16,3.58,4.78,0.04,0.16
2020,4.24,61.98,17.57,8.34,2.32,5.34,0.06,0.16
2021,4.84,61.4,18.27,7.98,2.16,5.14,0.06,0.14
2022,6.19,61.55,17,8.18,1.83,5,0.13,0.11
