Row Labels,Sweden_Bioenergy,Sweden_Coal,Sweden_Gas,Sweden_Hydro,Sweden_Nuclear,Sweden_OtherFossil,Sweden_OtherRenewables,Sweden_Solar,Sweden_Wind
2000,2.82,1.13,0.33,54.11,39.47,1.82,0,0,0.32
2001,2.34,1.16,0.25,48.92,44.62,2.41,0,0,0.3
2002,2.85,1.62,0.38,45.24,46.43,3.07,0,0,0.42
2003,3.33,2.11,0.54,39.55,49.8,4.18,0,0,0.5
2004,4.75,0.67,0.51,39.63,51.08,2.79,0,0,0.57
2005,4.73,0.41,0.38,45.97,45.7,2.22,0,0,0.59
2006,5.83,0.61,0.42,43.08,46.75,2.62,0,0,0.68
2007,6.61,0.44,0.56,44.46,45,1.98,0,0,0.96
2008,6.9,0.34,0.41,46.08,42.62,2.31,0,0,1.33
2009,8.39,0.37,1.14,48.21,38.19,1.87,0,0.01,1.82
2010,8.21,0.69,1.96,44.73,38.96,3.1,0,0.01,2.35
2011,7.68,0.44,1.05,44.2,40.24,2.32,0,0.01,4.07
2012,7.32,0.29,0.55,47.43,38.48,1.62,0,0.01,4.3
2013,7.48,0.42,0.56,40.1,43.43,1.56,0,0.03,6.43
2014,6.97,0.24,0.27,41.52,42.25,1.39,0,0.03,7.31
2015,6.65,0.24,0.28,46.49,34.78,1.43,0,0.06,10.07
2016,7.37,0.17,0.44,39.78,40.48,1.74,0,0.09,9.93
2017,7.36,0.19,0.2,39.66,40,1.72,0,0.14,10.72
2018,7.29,0.21,0.23,38.08,41.96,1.8,0,0.25,10.17
2019,7.74,0.12,0.17,38.81,39.26,1.69,0,0.4,11.79
2020,6.83,0,0.06,44.2,30.04,1.43,0,0.64,16.81
2021,7.61,0.01,0.17,43.02,30.84,1.61,0,0.89,15.86
2022,7.37,0.01,0.17,40.28,29.83,1.61,0,1.36,19.36
