Mine Production Million Ounces,Russia,Poland,Sweden,Turkey,Portugal,Spain,Greece,Bulgaria,Romania,Macedonia,Ireland,Italy,Mexico,USA,Canada,Peru,Bolivia,Chile,Argentina,Guatemala,DominicanRepublic,Honduras,Colombia,Ecuador,Brazil,Nicaragua,Panama,Others,China,Kazakhstan,India,Indonesia,Armenia,Iran,Uzbekistan,Mongolia,Philippines,Thailand,Laos,NorthKorea,SaudiArabia,Japan,Kyrgyzstan,Tajikistan,Pakistan,Others,Morocco,SouthAfrica,Congo,Eritrea,Zambia,Tanzania,Botswana,Zimbabwe,Ethiopia,Ghana,Mali,Others,Australia,PapuaNewGuinea,NewZealand
2004,30.3,43.8,9.4,4,0.8,0,0,0.6,0.9,0.1,0.2,0,82.6,40.2,41.6,98.4,14,43.7,4.6,0,0,1.6,0.3,0,0.3,0.1,0,0.1,63.2,22.6,3.4,8.6,1.3,2.7,1.9,1.2,0.3,0.5,0.1,0.8,0.5,1.7,0,0.1,0,0.1,7.2,2.3,1.1,0,0.2,0.4,0.1,0.1,0.1,0,0.1,1,71.5,1.7,1
2005,32.5,40.5,9.1,5.2,0.8,0.2,0,0.7,0.9,0.2,0.2,0.1,93.1,39.2,34.2,102.6,12.8,44.3,6,0.3,0,1.7,0.2,0.3,0.3,0.1,0,0.2,67.6,26.1,3.3,9.9,1.2,2.9,2.1,1.2,0.6,0.6,0.2,0.8,0.4,1,0,0,0.1,0.1,7.9,2.8,1.7,0,0.3,0.4,0.1,0.1,0,0.1,0.1,1,77.4,2.2,1.5
2006,31.3,40.5,8.6,6,0.6,0.1,0.8,0.6,0.5,0.4,0.2,0.1,95.5,36.7,31.2,111.1,15.2,51.5,6.8,1.6,0,1.8,0.3,0.4,0.3,0.1,0,0.2,75.9,25.6,5.9,7.9,1.3,3.2,2.1,1.2,0.8,0.5,0.2,0.9,0.3,1.1,0.2,0,0.1,0.1,7.6,3,2.2,0,0.3,0.4,0.1,0.1,0,0.1,0.1,1.1,55.6,1.6,1.1
2007,29.3,39.6,9.4,7.5,0.9,0.1,1.1,0.4,0.1,0.3,0.2,0,100.8,40.5,26.7,112.6,16.9,62.3,8.1,2.8,0,1.7,0.3,0.4,0.4,0.1,0,0.2,79.3,22.8,5.7,8.6,1.2,2.9,2.5,1.2,0.9,0.4,0.1,0.9,0.3,0.4,0.2,0,0.1,0.1,6.9,2.8,2.3,0,0.3,0.3,0.1,0.1,0,0.1,0.1,0.3,60.4,1.4,0.6
2008,36.4,39,8.4,10.1,1.3,0.1,1.1,0.4,0,0.3,0.2,0,104.1,36,21.5,118.3,35.8,45.1,10.7,3.2,0,1.9,0.3,0.4,0.4,0.1,0,0.2,84.8,20.2,6.8,8,1.3,3.2,1.7,1.1,0.5,0.4,0.2,0.9,0.4,0.4,0.3,0,0.1,0.1,7.8,2.7,1.1,0,0.3,0.3,0.1,0.1,0,0.1,0.1,0.3,61.9,1.6,1
2009,42.2,39.2,8.7,12.5,0.7,0.1,0.9,0.5,0.1,0.3,0.1,0,114.3,40.2,19.5,123.6,42.6,41.8,17.9,4.2,0.6,1.9,0.3,0.4,0.4,0.1,0,0.2,86.8,19.7,6.2,7.7,1.6,3.4,1.7,1.1,1.1,0.7,0.5,0.8,0.4,0.4,0.3,0,0.1,0.1,8.9,2.9,0,0,0.4,0.3,0.1,0.1,0,0.1,0.1,0,52.4,2.2,0.5
2010,36.8,37.6,9.2,12.3,0.7,0.7,0.9,0.4,0.2,0.3,0,0,141.8,40.8,18.4,117,41,41,23.2,6.3,0.6,1.9,0.5,0.5,0.4,0.2,0,0.2,94.6,17.6,8.2,6.7,1.7,3.4,1.9,1.1,1.3,0.7,0.6,0.8,0.4,0.3,0.3,0,0.1,0.2,9.9,3,0.2,0,0.4,0.4,0.2,0.1,0.1,0.1,0.1,0,60.4,2.1,0.4
2011,38.5,40.8,9.1,9.3,1,1.1,0.8,0.5,0.5,0.3,0,0,153.6,36,18.7,109.8,39,40.9,22.6,8.8,0.6,1.6,0.8,0.5,0.4,0.2,0,0.1,102.6,17.6,7.5,6,2.4,3.3,1.9,1.1,1.5,0.8,0.6,0.9,0.3,0.5,0.3,0.1,0.1,0.2,8,3,0.4,0.1,0.4,0.4,0.2,0.1,0.1,0.1,0.1,0.1,55.5,3,0.3
2012,45,41.3,9.8,7.3,1.1,1.2,1,0.6,0.4,0.3,0.1,0,172.3,34.1,21.3,111.9,39.7,37,24.3,6.6,0.9,1.6,0.5,0.5,0.4,0.3,0.1,0.1,113.1,17.5,11.9,4.5,2.6,3.1,1.9,1,1.6,1.2,0.6,0.9,0.3,0.6,0.2,0.1,0.1,0.2,7.5,2.9,0.4,0.7,0.4,0.4,0.2,0.1,0.1,0.1,0.1,0.1,55.5,2.6,0.2
