Row Labels,SaudiArabia_Bioenergy,SaudiArabia_Coal,SaudiArabia_Gas,SaudiArabia_OtherFossil,SaudiArabia_Solar,SaudiArabia_Wind
2000,0,0,46.03,53.97,0,0
2001,0,0,52.47,47.53,0,0
2002,0,0,55.85,44.15,0,0
2003,0,0,54.84,45.16,0,0
2004,0,0,56.94,43.06,0,0
2005,0,0,56.49,43.51,0,0
2006,0,0,53.26,46.74,0,0
2007,0,0,50.24,49.76,0,0
2008,0,0,49.32,50.68,0,0
2009,0,0,43.3,56.7,0,0
2010,0,0,44.77,55.23,0,0
2011,0,0,44.61,55.39,0,0
2012,0,0,46.69,53.3,0.01,0
2013,0,0,47.1,52.89,0.01,0
2014,0,0,46.46,53.53,0.02,0
2015,0,0,47.15,52.83,0.01,0
2016,0,0,52.72,47.27,0.01,0
2017,0,0,56.39,43.59,0.02,0
2018,0,0,60.49,39.47,0.04,0
2019,0,0,59.05,40.89,0.06,0
2020,0,0,60.98,38.96,0.06,0
2021,0,0,59.61,40.18,0.21,0
2022,0,0,67.08,32.71,0.21,0
