Row Labels,HongKong_Bioenergy,HongKong_Coal,HongKong_Gas,HongKong_Hydro,HongKong_Nuclear,HongKong_OtherFossil,HongKong_OtherRenewables,HongKong_Solar,HongKong_Wind
2000,0,68.25,3.23,0,0,28.52,0,0,0
2001,0,68.23,3.25,0,0,28.52,0,0,0
2002,0,67.98,6.97,0,0,25.05,0,0,0
2003,0,57.78,20.26,0,0,21.97,0,0,0
2004,0,69.89,24.5,0,0,5.62,0,0,0
2005,0,55.55,22.32,0,0,22.13,0,0,0
2006,0,51.83,25.82,0,0,22.35,0,0,0
2007,0,50.55,25.19,0,0,24.26,0,0,0
2008,0,50.63,25.23,0,0,24.14,0,0,0
2009,0,50.55,25.19,0,0,24.26,0,0,0
2010,0,50.62,25.23,0,0,24.15,0,0,0
2011,0,50.61,25.24,0,0,24.15,0,0,0
2012,0,50.62,25.23,0,0,24.16,0,0,0
2013,0,50.61,25.22,0,0,24.16,0,0,0
2014,0,50.61,25.23,0,0,24.16,0,0,0
2015,0,50.62,25.22,0,0,24.16,0,0,0
2016,0.14,59.46,29.63,0,0,10.77,0,0,0
2017,0.4,57.88,29.96,0,0,11.74,0,0.03,0
2018,0.41,56.68,30.56,0,0,12.32,0,0.03,0
2019,0.49,56.92,30.68,0,0,11.86,0,0.06,0
2020,0.48,55.58,38.44,0,0,5.43,0,0.06,0
2021,0.45,54.35,37.56,0,0,7.57,0,0.06,0
