Row Labels,Peru_Bioenergy,Peru_Coal,Peru_Gas,Peru_Hydro,Peru_Nuclear,Peru_OtherFossil,Peru_OtherRenewables,Peru_Solar,Peru_Wind
2000,0.31,1.18,2.61,81.93,0,13.97,0,0,0
2001,0.24,0.98,2.25,85.36,0,11.17,0,0,0
2002,0.32,1.2,2.73,82.72,0,13.02,0,0,0
2003,0.4,1.29,2.89,81.59,0,13.83,0,0,0
2004,0.59,1.89,4.32,72.75,0,20.46,0,0,0
2005,0.59,1.85,6.04,70.64,0,20.88,0,0,0
2006,0.45,1.35,9.58,72.99,0,15.64,0,0,0
2007,0.38,1.68,11.91,66.4,0,19.63,0,0,0
2008,0.56,1.94,13.68,59.21,0,24.61,0,0,0
2009,0.88,1.58,14.97,61.32,0,21.25,0,0,0
2010,0.85,1.72,16.42,57.88,0,23.13,0,0,0
2011,1.28,2.05,19.41,56.99,0,20.27,0,0,0
2012,1.2,1.22,28.4,55.04,0,13.9,0,0.23,0
2013,1.25,1.3,31.62,53.04,0,12.22,0,0.58,0
2014,1.31,1.33,32.83,50.56,0,12.79,0,0.58,0.6
2015,1.08,1.1,34.68,50.75,0,10.46,0,0.63,1.3
2016,1.32,1.12,36.33,47.98,0,10.49,0,0.62,2.13
2017,1.22,0.97,32.01,54.84,0,8.23,0,0.69,2.04
2018,1.13,0.88,30.83,55.61,0,7.43,0,1.37,2.74
2019,1.27,0.88,30.78,55.26,0,7.51,0,1.38,2.92
2020,1.17,0.81,28.38,57.74,0,6.97,0,1.5,3.43
2021,1.19,0.86,30.17,54.85,0,8.41,0,1.41,3.11
2022,1.14,0.91,35.44,49.28,0,8.56,0,1.41,3.25
