Row Labels,CongoDRC_Bioenergy,CongoDRC_Coal,CongoDRC_Gas,CongoDRC_Hydro,CongoDRC_Nuclear,CongoDRC_OtherFossil,CongoDRC_OtherRenewables,CongoDRC_Solar,CongoDRC_Wind
2000,0,0,0,100,0,0,0,0,0
2001,0,0,0,100,0,0,0,0,0
2002,0,0,0,99.83,0,0.17,0,0,0
2003,0,0,0,99.84,0,0.16,0,0,0
2004,0,0,0,99.86,0,0.14,0,0,0
2005,0,0,0,99.86,0,0.14,0,0,0
2006,0,0,0,99.73,0,0.27,0,0,0
2007,0,0,0,99.61,0,0.39,0,0,0
2008,0,0,0,99.46,0,0.54,0,0,0
2009,0,0,0,99.61,0,0.39,0,0,0
2010,0,0,0,98.98,0,1.02,0,0,0
2011,0,0,0,98.98,0,1.02,0,0,0
2012,0,0,0,99.87,0,0.13,0,0,0
2013,0,0,0,99.88,0,0.12,0,0,0
2014,0,0,0,99.89,0,0.11,0,0,0
2015,0,0,0,99.89,0,0.11,0,0,0
2016,0,0,0,99.89,0,0.11,0,0,0
2017,0,0,0,99.58,0,0.32,0,0.11,0
2018,0,0,0,99.62,0,0.29,0,0.1,0
2019,0,0,0,99.64,0,0.27,0,0.09,0
2020,0,0,0,99.67,0,0.25,0,0.08,0
2021,0,0,0,99.64,0,0.27,0,0.09,0
