Row Labels,Morocco_Bioenergy,Morocco_Coal,Morocco_Gas,Morocco_Hydro,Morocco_Nuclear,Morocco_OtherFossil,Morocco_OtherRenewables,Morocco_Solar,Morocco_Wind
2000,0,65.38,0,5.85,0,28.28,0,0,0.49
2001,0,68.52,0,6.06,0,23.94,0,0,1.48
2002,0,68.4,0,5.54,0,24.8,0,0,1.25
2003,0,66.08,0,8.74,0,23.97,0,0,1.21
2004,0,65.89,0,9.09,0,23.89,0,0,1.14
2005,0,59.24,13,5.17,0,21.47,0,0,1.12
2006,0,59.37,13.03,5.14,0,21.54,0,0,0.93
2007,0,59.31,13.03,4.71,0,21.51,0,0,1.45
2008,0,59.27,13.03,4.68,0,21.49,0,0,1.53
2009,0,51.85,11.39,12.69,0,22.13,0,0,1.95
2010,0.04,43.4,20.73,14.51,0,18.53,0,0,2.79
2011,0.04,46.86,22.37,7.96,0,20.01,0,0,2.76
2012,0.04,47.86,22.86,5.91,0,20.45,0,0.22,2.67
2013,0.04,44.29,21.17,10.31,0,18.89,0,0.22,5.08
2014,0.04,52.6,18.17,5.84,0,16.22,0,0.22,6.92
2015,0.1,51.35,17.74,6.33,0,15.84,0,0.1,8.53
2016,0.16,51.08,17.62,4.07,0,15.75,0,1.41,9.91
2017,0.13,54.1,16.39,3.71,0,14.64,0,1.39,9.64
2018,0.09,58.37,11.92,4.91,0,10.66,0,2.78,11.28
2019,0.1,58.4,11.93,3.15,0,10.66,0,3.95,11.81
2020,0.1,58.91,12.04,2.27,0,10.76,0,3.96,11.96
2021,0.1,57.82,11.82,2.93,0,10.56,0,4.41,12.37
