Row Labels,Bolivia_Bioenergy,Bolivia_Coal,Bolivia_Gas,Bolivia_Hydro,Bolivia_Nuclear,Bolivia_OtherFossil,Bolivia_OtherRenewables,Bolivia_Solar,Bolivia_Wind
2000,2.12,0,25.46,51.72,0,20.69,0,0,0
2001,2.07,0,23.58,54.66,0,19.69,0,0,0
2002,1.98,0,23.21,53.83,0,20.99,0,0,0
2003,2.4,0,28.3,47.24,0,22.06,0,0,0
2004,5.95,0,22.2,48.74,0,23.11,0,0,0
2005,6.82,0,25.37,41.36,0,26.44,0,0,0
2006,6.5,0,23.62,42.13,0,27.76,0,0,0
2007,11.05,0,24.28,41.67,0,23.01,0,0,0
2008,11.25,0,24.82,40.89,0,23.04,0,0,0
2009,11.19,0,24.58,38.47,0,25.76,0,0,0
2010,11.96,0,26.55,33.54,0,27.95,0,0,0
2011,12.5,0,27.47,33.72,0,26.31,0,0,0
2012,8.73,0,40.79,31.79,0,18.69,0,0,0
2013,7.85,0,41.49,32.85,0,17.8,0,0,0
2014,11.52,0,44.12,27.33,0,16.79,0,0.12,0.12
2015,13.11,0,47.33,28.31,0,11.14,0,0,0.12
2016,14.58,0,52.54,19.21,0,13.11,0,0.11,0.45
2017,13.41,0,48.09,24.1,0,13.63,0,0.11,0.65
2018,13.59,0,37.69,27.49,0,19.21,0,1.38,0.64
2019,7.01,0,48.3,32.26,0,9.82,0,1.9,0.7
2020,6.65,0,50.36,30.09,0,8.9,0,3.38,0.61
2021,6.99,0,53.54,30.59,0,3.21,0,4.44,1.23
2022,6.12,0,56.7,25.55,0,3.02,0,4.35,4.26
