Country,Australia,Belgium,Brazil,Bulgaria,Burma,Canada,Chile,China,Congo,Finland,Germany,India,Indonesia,Iran,Japan,Kazakhstan,NorthKorea,SouthKorea,Laos,Mexico,Mongolia,Namibia,Norway,Oman,Peru,Philippines,Poland,Russia,Serbia and Montenegro,SouthAfrica,Spain,Sweden,Turkey,USA,Uzbekistan,Vietnam,Zambia
1998,230000,185000,167205,31400,,489941,2334900,852000,38236,108000,275000,100000,,138500,1149266,324900,16000,373205,,432000,2319,,31658,22700,411431,152400,426537,543000,49346,125600,239600,100000,82800,2139000,89930,,329529
1999,335000,201100,193014,16000,,476079,2666400,823000,31225,100000,242000,200000,90800,141700,1215248,361889,16000,450444,,411952,1545,,33262,17171,433339,147982,448300,600000,48002,134500,250756,95000,55500,1886000,72000,,319100
2000,390000,236100,185345,27500,,490093,2668300,1003000,20500,100000,245000,234000,158400,142000,1292351,394722,14000,467900,,396000,641,,27000,24281,451728,150000,498100,620000,45602,126100,258000,105000,59100,1596000,75000,,277400
2001,456000,236000,212243,29400,,524920,2882200,1200000,21000,105000,352000,310000,212500,144000,1287165,425700,14000,473624,,408800,1476,,26700,24000,471875,164530,498451,650000,32365,107000,235100,179000,54400,1628000,75000,,296500
2002,545000,207000,189651,38000,27500,469761,2850100,1300000,,112000,327000,354000,192400,143000,1211111,453000,15000,499116,,509400,1500,,30500,24000,502749,144315,508674,670000,35897,119970,272000,199000,39000,1442000,75000,,336800
2003,484000,208000,173378,43000,27900,428077,2901900,1430000,,120000,286653,375000,223300,146632,1251728,432901,15000,509970,,311399,1341,,35900,17000,517046,171152,513600,670000,14000,111400,259000,189000,40000,1253000,75000,,349800
2004,498000,223000,208020,52300,31800,495835,2836700,1590000,,117000,283686,399000,210500,152000,1188491,445200,15000,495952,,368308,2376,,35600,24000,505308,174628,550000,662000,36000,103000,194100,210000,45000,1255000,93770,,410000
2005,469000,252900,199043,60500,34500,484123,2824000,1865000,,118000,293800,497000,262900,173100,1227528,388000,15000,526566,30480,410375,2475,,38500,24000,510392,172000,560000,664000,31300,99400,242700,200000,90000,1208000,103870,,394000
2006,429400,238000,192700,60700,19500,465000,2811300,2020000,,120674,312092,614000,217600,149000,1342350,427723,15000,541500,60803,373376,2618,,38500,21000,507710,181000,476100,635000,40000,104052,235300,187800,101000,1210000,92300,,418000
2007,442000,228500,195280,64400,15100,407000,2936500,2300000,6897,100987,301702,698600,277000,149000,1369814,406091,15000,536467,62541,345900,3007,,43000,14000,413907,160200,493200,650000,30600,113166,243000,175500,94600,1270000,89655,,430000
2008,503000,233100,208175,114200,,400000,3057600,2700000,38632,127952,300470,654200,254000,147000,1328157,398411,15000,492925,64075,290000,2587,,32000,12000,463933,174600,483000,610000,32800,92972,257000,184674,83000,1220000,71000,,415000
2009,446000,220600,200399,183600,5000,305296,3276600,2770000,154671,95549,290200,705100,289200,157000,1238012,368113,15000,441401,67561,255700,2470,,30000,12000,417700,178000,433600,612000,33000,89451,255800,164759,30000,1110000,80000,6000,414400
2010,424000,216000,222297,195400,9000,290800,3243900,2990000,261000,109000,401900,654900,278892,150000,1333787,323368,12000,462200,64241,243000,2700,,36100,15000,393638,176000,452700,659000,21240,81129,264500,150497,42300,1060000,90000,8000,528000
2011,477000,226200,222550,201100,9000,245000,3092400,3430000,362000,117000,401200,671100,276000,159000,1094360,338346,12000,486900,78860,398000,2400,,35700,16000,367661,164000,489000,666000,25251,86166,267800,179316,81500,992000,91500,8000,516000
2012,460000,217900,186374,201000,19000,246900,2902000,3960000,473000,120000,390000,690000,197200,148000,1270900,374000,12000,493200,86295,373000,2100,,37900,16000,311293,90400,464900,637000,32229,66416,318200,174000,81300,962000,95600,8000,530000
2013,481000,202500,234060,204000,20000,292200,2754900,4340000,690000,120000,390000,610000,214300,135000,1210200,364261,12000,495400,90000,351000,2100,,37500,16000,361450,153000,450600,652000,32606,80821,282800,166000,72000,993000,98000,8000,568000
2014,511000,228300,213085,208300,33200,293800,2729400,5394300,877966,132000,390900,766000,233416,136700,1296641,307708,10000,491200,88541,447400,6993,,35800,21000,347397,130000,469100,668500,31584,78697,345390,152100,61300,1050000,99500,12500,478800
2015,475000,226100,241469,204700,46900,301800,2688400,5671900,885936,127900,400100,791900,198326,126900,1243072,410141,10000,515300,89253,480500,14990,10659,35500,26500,352960,153000,470900,657100,42729,77360,348329,144200,74000,1090000,101000,11000,471500
2016,475000,217900,225558,197300,75000,284400,2612500,6245200,821313,122600,396100,769300,246155,139100,1259426,443535,10000,522400,78492,486000,15010,16391,28100,11300,331324,185100,429000,663600,59078,53900,355243,148600,47400,1180000,140000,11600,426400
2017,386000,235500,118100,203500,115100,300700,2429500,6614300,830487,126500,413200,819000,247175,103200,1166194,468391,10000,501300,62941,458300,14689,15466,22700,5100,335417,205000,429600,731000,67752,66200,334364,157500,88000,1040000,140100,15800,466100
2018,377000,230800,131800,199000,153000,259300,2461200,7056800,953238,132100,396700,541000,230924,165300,1241100,480815,10000,500500,68200,468600,14175,15177,20600,6000,336798,170800,423600,782600,66200,43900,343938,167900,116300,1070000,141200,15100,458200
2019,426000,209600,133500,182000,153100,253100,2269100,7612100,1141338,114727,351400,424200,180204,176800,1152847,511827,10000,473600,72006,481900,11758,14940,22000,,307862,217300,463600,791800,73000,35600,300990,146600,106000,985000,147250,19200,264500
2020,427000,188000,85900,200000,185000,260000,2329300,8049900,1347263,139903,358000,333500,268585,183900,1242743,515216,10000,489500,39730,486900,9488,15741,20500,,323580,220900,428500,801700,45100,21800,310952,167200,116100,874000,145000,19200,378400
