CompanyName,Region,No.Staff,MaterialTypes
Asoluna ,Netherlands,,"Copper Back-Contact BackSheet, Aluminium Ba..."
B+K ,Germany,"2,600",Polyolefin Back Sheet
Betterial Film Technologies ,China,,PET Back Sheet
Cangjia New Energy ,China,,PET Back Sheet
China Gwell Machinery Group ,China,,"KPE Back Sheet, TPT Back Sheet, TPE Back Sh..."
Coveme ,Italy,300,"KPE Back Sheet, TPT Back Sheet, TPE Back Sh..."
DK Solar Energy ,China,50,"TPT Back Sheet, TPE Back Sheet, PET Back Sh..."
DNP ,Japan,"37,062",PET Back Sheet
Dongfang Insulating Material ,China,"1,500",PET Back Sheet
Dr. Mueller ,Germany,,"TPT Back Sheet, PET Back Sheet"
Duchamps New Materials ,China,,Polyolefin Back Sheet
Dunmore ,United States,,"TPT Back Sheet, TPE Back Sheet"
DuPont ,United States,200,TPE Back Sheet
DuPont Teijin Films ,United States,,PET Back Sheet
Endurans Solar ,United States,,"Polyolefin Back Sheet, Copper Back-Contact ..."
EppsteinFoils ,Germany,28,"Copper Back-Contact BackSheet, Aluminium Ba..."
Feiyu EVA ,China,80,TPE Back Sheet
Féron Solar ,Germany,200,"PET Back Sheet, Polyolefin Back Sheet"
First Applied Material ,China,"3,000","PET Back Sheet, KPK Back Sheet"
FLEXcon ,United States,,KPE Back Sheet
Folienwerk Wolfen ,Germany,,PET Back Sheet
Foremost Material Technology ,China,,PET Back Sheet
Hanwha Solutions / Advanced Materials ,Korea,"2,600","PET Back Sheet, Polyolefin Back Sheet"
Hongfu Technology ,China,100,"KPE Back Sheet, TPT Back Sheet"
Huitian New Materials ,China,"2,000",KPE Back Sheet
Jolywood ,China,"1,600","TPT Back Sheet, PET Back Sheet, KPK Back Sh..."
Just Solar ,China,200,PET Back Sheet
Keiwa ,Japan,450,PET Back Sheet
Knack Energy ,India,,PET Back Sheet
Kobayashi ,Japan,670,TPT Back Sheet
KRD Global Group ,Poland,,"PET Back Sheet, Aluminium Back-Contact Back..."
Krempel ,Germany,"1,200","KPE Back Sheet, TPT Back Sheet, TPE Back Sh..."
Lee Tat Industrial ,Hong Kong,,PET Back Sheet
Lotte Aluminium ,Korea,,PET Back Sheet
Lu'an Solar ,China,"3,000",TPT Back Sheet
Lux ,Italy,,PET Back Sheet
LX MMA ,Korea,,Polyolefin Back Sheet
Mitsubishi Chemical ,Japan,"42,660",PET Back Sheet
NFC ,Korea,,PET Back Sheet
Polycom Associates ,India,,"TPT Back Sheet, TPE Back Sheet"
Prochema ,China,,PET Back Sheet
RenewSys ,India,,"PET Back Sheet, KPK Back Sheet"
REOO Technology ,China,50-100,PET Back Sheet
Risheng New Material Technology ,China,87,"TPT Back Sheet, TPE Back Sheet, PET Back Sh..."
Serra Global Technology ,Spain,,PET Back Sheet
SFC ,Korea,100,TPE Back Sheet
Shenzhen XXR Solar Manufacturer ,China,500,"KPE Back Sheet, TPT Back Sheet, TPE Back Sh..."
Shingi Urja ,India,,Polyolefin Back Sheet
Shuangxing New Materials ,China,"1,500",PET Back Sheet
SKC ,Korea,,PET Back Sheet
Sunchoo New Energy ,China,,Polyolefin Back Sheet
Sunensys ,Turkey,,PET Back Sheet
Top Solar Technology ,China,150,KPE Back Sheet
Toray Industries ,Japan,"7,420",PET Back Sheet
Toyal Zhaoqing ,China,,PET Back Sheet
Toyo Aluminum ,Japan,"2,586",PET Back Sheet
Toyobo ,Japan,"3,365",PET Back Sheet
Twinsel Electronic Technology ,China,"2,000","KPE Back Sheet, TPE Back Sheet, TPT Back Sh..."
Viki Sun Technology ,China,50,"TPT Back Sheet, TPE Back Sheet, PET Back Sh..."
Vishakha Renewables ,India,106,"KPE Back Sheet, TPE Back Sheet, PET Back Sh..."
Xintai New Materials ,China,200,PET Back Sheet
Xuri Solar ,China,120,"KPE Back Sheet, TPT Back Sheet, TPE Back Sh..."
Yisheng Optical Material ,China,,"PET Back Sheet, KPK Back Sheet"
Yuxing Film Technology ,China,,PET Back Sheet
Zhejiang Jufu Chemicals ,China,,"TPE Back Sheet, PET Back Sheet"
ZHKJ ,China,,PET Back Sheet
Zhongyi New Energy ,China,,"TPT Back Sheet, PET Back Sheet"
ZTT ,China,"1,000","TPT Back Sheet, KPK Back Sheet"
ZXEVA ,China,70,KPE Back Sheet
