CompanyName,Region,NoStaff,MaterialTypes
3M Renewable Energy ,United States,,Encapsulants
Ace Seal ,United States,,Silicones
Alishan Green Energy ,India,,Encapsulants
Allied Glasses ,India,,Encapsulants
Arkema ,France,,Encapsulants
Avantor ,United States,"12,000",Silicones
Banzan ,China,,"POE, Encapsulants"
Baojun Xin Cai ,China,150,"POE, Encapsulants"
Betterial Film Technologies ,China,,"POE, Encapsulants"
Borealis ,Austria,"6,900",POE
Brij Encapsulants ,India,,Encapsulants
C. I. Kasei Company ,Japan,"3,300",Encapsulants
Caida New Materials ,China,,Encapsulants
Ceezon PV Material Technology ,China,,Encapsulants
Changshu Friends Connector Technology ,China,,"POE, Encapsulants"
China Gwell Machinery Group ,China,,"POE, Encapsulants, PVB"
Clamper ,Brazil,600,Encapsulants
CNC Glass Interlayer ,China,,Encapsulants
Crown Advanced Material ,China,200,"POE, PVB"
Cybrid ,China,220,"POE, Encapsulants"
Decent New Material ,China,,"Encapsulants, PVB"
Dehai Youli ,China,,Encapsulants
DG TECH ,China,,Encapsulants
Dilong PV ,China,,Encapsulants
DK Solar Energy ,China,50,Encapsulants
DL Chemical ,Korea,,POE
DNP ,Japan,"37,062",POE
Dow ,United States,,POE
dr-hwc ,Turkey,,"POE, Encapsulants"
Dr. Mueller ,Germany,,Encapsulants
DuPont ,United States,200,Encapsulants
Elkem Solar ,Norway,"7,300",Silicones
Endurans Solar ,United States,,Ionomers
Enrich Encap ,India,,"POE, Encapsulants"
EO AeoNian ,China,50,Encapsulants
Evanergy ,Turkey,,Encapsulants
Ever-thriving New Energy ,China,,"POE, Encapsulants"
Exxon Mobil ,United States,,Encapsulants
Feiyu EVA ,China,80,Encapsulants
Filmtec ,India,150,"POE, Encapsulants, PVB, Ionomers"
First Applied Material ,China,"3,000","POE, Encapsulants"
Folienwerk Wolfen ,Germany,,Encapsulants
H.B. Fuller ,United States,"2,330","POE, Encapsulants"
Hanwha Solutions / Advanced Materials ,Korea,"2,600","POE, Encapsulants"
HIUV New Materials ,China,,"POE, Encapsulants"
Huatianqi Technology ,China,200,Silicones
Huita Optoelectronic Material ,China,,"POE, Encapsulants, Silicones"
JA Solar ,China,"32,544",Encapsulants
JCC ,China,,Encapsulants
Jiangsu Jingdun New Material Technology ,China,,"Encapsulants, PVB"
Jiaxing Plastic ,China,,Encapsulants
Jinheung Industrial ,Korea,,Encapsulants
Jura-Plast ,Germany,,Encapsulants
Just Solar ,China,200,Encapsulants
Kin Yong Fa Plastic ,China,,Encapsulants
Knack Energy ,India,,Encapsulants
KRD Global Group ,Poland,,Encapsulants
Lotte Aluminium ,Korea,,Encapsulants
Lu'an Solar ,China,"3,000",POE
Lucent CleanEnergy ,India,100,Encapsulants
Lushan New Materials ,China,350,"POE, Encapsulants"
Lux ,Italy,,Encapsulants
Lxmho New Materials ,China,100,Encapsulants
Master Bond ,United States,,Silicones
MG Lavorazione Materie Plastiche ,Italy,150,"POE, Encapsulants"
Mitsui Chemicals India ,India,55,Encapsulants
Mitsui Chemicals Tohcello ,Japan,"1,092",POE
Momentive Performance Materials ,United States,,Silicones
Navitas Alpha ,India,50,"POE, Encapsulants"
Neenah Gessner ,Germany,,Encapsulants
Ningbo Huafeng Package ,China,,Encapsulants
Novagard ,United States,135,Silicones
NovoGenio ,Spain,,"POE, Encapsulants"
NovoPolymers ,Turkey,,"POE, Encapsulants"
Oster Film ,China,,Encapsulants
PIXON ,India,,"POE, Encapsulants"
Polytec PT ,Germany,,Silicones
RenewSys ,India,,"POE, Encapsulants"
REOO Technology ,China,50-100,Encapsulants
Risheng New Material Technology ,China,87,Encapsulants
Saint Gobain Solar ,United States,,Encapsulants
Sanvic ,Japan,,Encapsulants
Satinal ,Italy,,Encapsulants
SFS Manufacturing ,United Kingdom,,Silicones
Shenzhen Shengkangtai Silicone Material ,China,,Silicones
Shin-Etsu Chemical ,Japan,"24,954",Silicones
ShinHa ,Korea,,Encapsulants
Sinopont Technology ,China,500,"POE, Encapsulants"
Sipchem ,Saudi Arabia,"1,442",Encapsulants
SK Functional Polymer ,France,,Encapsulants
SKC ,Korea,,"POE, Encapsulants"
SPC ,Taiwan,770,Encapsulants
Sunensys ,Turkey,,Encapsulants
Sveck Photovoltaic ,China,"1,700","POE, Encapsulants"
Taumbeta ,Turkey,,Encapsulants
Topray Solar ,China,"3,000",Encapsulants
TPC ,Singapore,320,Encapsulants
TPI ,Thailand,,Encapsulants
TPI Polene ,Thailand,,Encapsulants
TradeAsia International ,Singapore,,PVB
Transene ,United States,,Silicones
USI ,Taiwan,,Encapsulants
Viki Sun Technology ,China,50,Encapsulants
Vishakha Renewables ,India,106,Encapsulants
Wacker Chemie ,Germany,"14,700",Silicones
Wahaj ,Saudi Arabia,,Encapsulants
Xintai New Materials ,China,200,Encapsulants
Yonggu Insulated Material ,China,150,Encapsulants
Yparex ,Netherlands,,POE
Zanchen New Material Technology ,China,,Encapsulants
Zhejiang Jufu Chemicals ,China,,Encapsulants
ZXEVA ,China,70,Encapsulants
