Row Labels,Austria_Bioenergy,Austria_Coal,Austria_Gas,Austria_Hydro,Austria_Nuclear,Austria_OtherFossil,Austria_OtherRenewables,Austria_Solar,Austria_Wind
2000,2.56,9.56,13.12,69.91,0,4.75,0,0,0.12
2001,2.74,11.28,14.33,66.26,0,5.21,0,0.02,0.16
2002,2.5,10.89,15.34,66.29,0,4.73,0,0.02,0.23
2003,2.84,14.54,19.22,57.2,0,5.55,0,0.02,0.64
2004,3.08,12.77,17.68,59.36,0,5.57,0,0.03,1.5
2005,3.77,11.12,20.2,57.53,0,5.29,0,0.03,2.06
2006,5.19,11.83,17.13,57.26,0,5.75,0,0.03,2.81
2007,6.45,10.49,15.74,58.89,0,5.15,0,0.03,3.24
2008,6.45,8.57,17.33,59.43,0,5.05,0,0.05,3.12
2009,6.46,5.67,18.61,61.69,0,4.56,0,0.08,2.94
2010,6.6,7.24,21.13,56.49,0,5.37,0,0.13,3.03
2011,7.32,8.72,19.98,55,0,5.59,0,0.27,3.12
2012,6.81,6.39,14.13,63.83,0,4.76,0,0.49,3.58
2013,7.28,6.52,10.3,65.06,0,5,0,0.98,4.88
2014,7.38,4.77,8.63,66.55,0,5.13,0,1.28,6.25
2015,7.52,4.77,12.38,60.08,0,5.9,0,1.52,7.83
2016,7.33,3.13,13.01,61.26,0,5.58,0,1.69,8.02
2017,7.3,2.61,16.18,56.79,0,5.49,0,1.88,9.74
2018,7.58,2.78,15.25,57.87,0,5,0,2.24,9.27
2019,6.58,2.12,15.98,57.62,0,4.8,0,2.4,10.51
2020,6.63,0.81,14.38,60.7,0,4.71,0,2.95,9.81
2021,6.69,0.21,15.86,57.88,0,5.14,0,4.15,10.07
2022,5.6,0.22,18.18,55.76,0,5.32,0,4.22,10.71
