Country,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
China (mainland),0,1.003344482,0.817438692,3.828972559,11.46296031,23.67517013,26.26982832,42.2864001,38.70204202,41.74737198,42.46193869,45.43683324,45.13952116,49.80544593,54.54538782,66.30217324,73.6530895,77.54152057,77.54152057
United States,87.14285714,55.51839465,59.67302452,47.35162731,50.66628457,30.963857,29.70529811,20.41287353,17.91434334,16.63178764,15.54594101,15.17256929,16.87329561,15.26638713,14.10381331,8.791177044,9.019169069,7.396829062,7.396829062
Germany,0,18.39464883,17.71117166,21.27206977,15.26006591,16.42566976,15.42602704,10.64166521,15.12634951,14.04339685,13.12653959,12.81127539,13.19083212,11.9423826,11.03294009,8.685006897,8.910245486,7.307498314,7.307498314
Malaysia,0,0,0,0,0,0,0,0,0,0,3.465255789,3.382029659,3.027583922,2.741037503,3.119500733,3.900127838,4.00127448,3.281537704,3.281537704
Japan,12.85714286,25.08361204,21.79836512,18.88959796,12.72388594,7.758924723,6.227988523,5.104042679,4.566117556,4.239211904,3.962444663,3.867277393,3.422486173,3.038976362,2.80755066,2.210072441,2.267388872,1.859538032,1.859538032
Qatar,0,0,0,0,0,0,0,0,0,0,0,0,0,0.715053262,1.468000345,1.155593433,1.185562809,0.972307468,0.972307468
Norway,0,0,0,0,0,3.91864885,2.878885296,1.978311116,1.736166371,1.611867644,1.506632952,1.470447678,1.316340836,1.191755436,1.541400362,0,0,0.850769034,0.850769034
Korea (Republic),0,0,0,0,0,11.10283841,15.92983197,15.89243263,16.8408138,15.63511615,17.12539455,15.97886477,16.89304073,15.29419476,11.37700267,8.955849108,0.963269782,0.789999818,0.789999818
Russian Federation,0,0,0,0,0.429861012,1.828702797,1.343479805,1.978311116,2.170207964,2.014834555,0.62776373,0.612686532,0,0,0,0,0,0,0
Canada,0,0,0,0.148904488,2.865740077,1.306216283,0,0.016485926,0.014468053,0.550721445,0.514766258,0.502402957,0,0,0,0,0,0,0
Brazil,0,0,0,8.508827909,5.731480155,2.612432567,1.919256864,1.318874077,1.157444247,1.074578429,0,0,0,0,0,0,0,0,0
