Row Labels,Zambia_Bioenergy,Zambia_Coal,Zambia_Gas,Zambia_Hydro,Zambia_Nuclear,Zambia_OtherFossil,Zambia_OtherRenewables,Zambia_Solar,Zambia_Wind
2000,0.26,0,0,98.84,0,0.9,0,0,0
2001,0.25,0,0,98.86,0,0.89,0,0,0
2002,0.12,0,0,98.89,0,0.99,0,0,0
2003,0.12,0,0,98.91,0,0.97,0,0,0
2004,0.12,0,0,99.05,0,0.83,0,0,0
2005,0.11,0,0,98.99,0,0.9,0,0,0
2006,0.1,0,0,99.07,0,0.83,0,0,0
2007,0.1,0,0,99.27,0,0.63,0,0,0
2008,0.21,0,0,99.37,0,0.42,0,0,0
2009,0.3,0,0,99.19,0,0.51,0,0,0
2010,0.29,0,0,99.23,0,0.48,0,0,0
2011,0.26,0,0,99.3,0,0.44,0,0,0
2012,0.24,0,0,99.27,0,0.49,0,0,0
2013,0.23,0,0,99.4,0,0.38,0,0,0
2014,0.77,0,0,96.8,0,2.44,0,0,0
2015,0.67,0.45,0,96.63,0,2.25,0,0,0
2016,0.52,3.96,0,93.89,0,1.64,0,0,0
2017,1.04,7.76,0,86.5,0,4.71,0,0,0
2018,1.12,8.74,0,85,0,5.15,0,0,0
2019,1.16,8.79,0,84.05,0,5.18,0,0.82,0
2020,1.06,8.34,0,84.7,0,4.9,0,0.99,0
2021,0.62,4.91,0,90.74,0,2.88,0,0.85,0
