year,Bioenergy,Coal,Gas,Hydro,Nuclear,Other Fossil,Solar,Wind
2000,0.19,78.21,0.43,16.41,1.23,3.49,0,0.04
2001,0.17,76.25,0.33,18.74,1.18,3.28,0,0.05
2002,0.15,77.54,0.25,17.41,1.52,3.07,0,0.05
2003,0.13,79.56,0.27,14.85,2.27,2.87,0,0.05
2004,0.11,78.17,0.34,16.05,2.29,2.97,0,0.06
2005,0.21,79.2,0.49,15.88,2.12,2.02,0,0.08
2006,0.25,80.34,0.83,15.21,1.91,1.32,0,0.13
2007,0.3,80.96,1.03,14.79,1.89,0.86,0,0.17
2008,0.43,77.49,0.99,18.22,1.96,0.54,0,0.37
2009,0.56,78.38,1.52,16.57,1.89,0.33,0.01,0.74
2010,0.59,77.22,1.86,16.99,1.78,0.35,0.02,1.18
2011,0.59,78.67,2.32,14.67,1.86,0.26,0.06,1.58
2012,0.61,75.46,2.22,17.37,1.98,0.22,0.07,2.07
2013,0.69,75.39,2.15,16.82,2.06,0.19,0.15,2.56
2014,0.8,72.86,2.31,18.37,2.31,0.17,0.41,2.77
2015,0.93,69.91,2.88,19.26,2.96,0.17,0.68,3.21
2016,1.02,68.24,3.09,18.93,3.5,0.17,1.09,3.95
2017,1.21,67.55,3.1,17.76,3.78,0.15,1.8,4.64
2018,1.32,66.9,3.03,16.84,4.14,0.15,2.48,5.14
2019,1.51,65.07,3.12,17.05,4.67,0.14,3,5.43
2020,1.75,63.62,3.26,17.09,4.73,0.14,3.38,6.03
2021,2,62.93,3.21,15.32,4.8,0.14,3.85,7.73
