year,USA,Australia,Belgium,Bulgaria,Canada,China,Germany,India,Japan,Kazakhstan,Skorea,Mexico,Netherlands,Norway,Peru,Poland,Russia,Uzbekistan
2000,1890,552,1400,,1390,2200,1000,,2472,1060,,1350,,,,,925,
2001,680,378,1240,,1180,2400,1100,,2490,1100,1880,1420,,,,,950,
2002,700,350,,,896,2500,422,450,2500,600,1900,1200,,,,,950,
2003,670,350,,,1400,2500,450,480,2500,1350,1850,1400,,,,,950,
2004,550,350,,,1888,2800,640,489,2233,1900,2100,1600,,,532,,950,
2005,1070,374,,,1703,3000,640,417,2297,2000,2900,1600,575,,481,,1400,
2006,700,400,,,1710,3000,640,450,2290,2000,3250,1400,570,,420,,1100,
2007,735,350,,,2100,4000,640,580,1930,2100,3400,1620,500,,420,,810,
2008,777,330,,,1300,4300,400,599,2120,2100,2900,1610,530,,371,420,800,
2009,633,370,,,1300,4300,400,610,1820,1800,3000,1210,490,,375,600,700,
2010,637,350,,,1300,7200,400,620,2050,1800,2500,1480,580,,400,530,700,
2011,,390,,,1770,7000,300,630,1760,1400,4000,1480,570,,572,450,700,
2012,,380,,420,1100,7300,,620,1800,1300,3000,1624,560,,684,530,700,
2013,,380,,400,1400,7000,,450,1830,1200,4000,1490,560,,695,400,1200,
2014,,350,,350,1310,7000,,380,1830,1200,4010,1410,640,,769,628,1200,
2015,,380,,360,1160,7600,,,1960,1500,4200,1300,640,,760,630,1410,
2016,,,,,2310,8200,,,1990,1500,3600,1190,630,,820,,1300,
2017,,,,,1800,8200,,,2140,1500,5600,1160,600,,797,,1200,
2018,,,,,1680,8200,,,1980,1500,5000,1360,1100,,765,,1200,
2019,,,,,1803,8200,,,2000,1500,4400,1395,1100,,772,,900,
2020,,,,,1803,8200,,,2000,1500,4400,1395,1100,,772,,900,
2021,241,402,,310,1800,10000,417,,1900,1200,4000,859,854,350,600,500,1000,300
2022,212,328,,340,1800,8700,320,,1800,1000,4000,1170,574,420,460,250,1000,220
2023,220,380,,340,1800,9000,0,,1800,1000,4000,1100,750,380,790,230,1000,220
