Country,Albania,Armenia,Australia,Botswana,Brazil,Bulgaria,Canada,Chile,China,Congo,Finland,Germany,India,Indonesia,Iran,Japan,Kazakhstan,NorthKorea,SouthKorea,Mexico,Namibia,Oman,Pakistan,Peru,Philippines,Poland,Romania,Russia,Serbia,Slovakia,SouthAfrica,Spain,Sweden,Thailand,Turkey,USA,Uzbekistan,Vietnam,Zambia,Zimbabwe
1998,1632,,211000,22124,167205,114500,553133,1403100,839000,40000,156000,258600,107600,0,138000,1171657,351336,14000,293000,381400,8014,24400,,357100,161600,432200,18708,520000,101000,10000,152300,291400,90000,,32900,1490000,,,258607,14500
1999,1281,,332000,20960,193014,107000,550200,1473900,837000,32000,149600,266400,224400,126739,132000,1256276,383457,14000,370000,322000,,16818,,363100,162000,466200,24010,580000,54000,10000,149300,292800,85000,,32900,1090000,,,349200,14500
2000,0,,394000,20977,185345,173000,543600,1460400,1020000,21000,155400,275000,256000,173726,135000,1331352,413859,13000,410000,312000,5082,23790,,366700,160000,462800,16429,600000,45000,0,136100,258600,95000,,32500,1000000,,,358300,14500
2001,0,,455000,17057,204300,152000,601400,1503300,1120000,20988,169300,270000,293000,217500,135000,1328489,433600,13000,410000,310000,27015,24200,,396400,165000,485900,9279,650000,34000,0,142500,255200,173000,,33500,919000,,,356000,2160
2002,6700,,458000,21590,189651,181000,513934,1438700,1180000,10000,160900,295100,385400,211200,171591,1317291,446200,15000,380000,260700,26703,25000,,396400,165800,511000,8871,660000,36000,0,116996,281300,188000,,32550,683000,75000,,371400,2502
2003,7500,,435000,25292,173378,215300,430116,1542400,1380000,8000,176400,288800,391000,247400,168613,1343353,431930,15000,410000,220100,26036,18000,3000,376100,227900,560000,4493,670000,14000,0,112025,276300,185000,,30400,539000,75000,,250000,
2004,7500,,443000,21195,208020,227100,446209,1517600,1500000,20000,168600,278600,401000,211600,184814,1270495,445200,15000,392500,271000,24704,25000,15000,377800,217300,545000,61,662000,12000,0,89300,210200,206000,17700,11500,542000,94000,,280000,
2005,9800,,410000,26700,199043,240100,441325,1558100,1700000,10000,170000,257200,486600,275000,227000,1319247,426000,15000,436600,301200,23300,25000,15000,381600,201300,550000,3000,686000,16300,0,100000,278600,192000,28600,9000,523000,105000,,270000,
2006,,8791,377000,24255,179700,217000,484675,1565400,1920000,10000,162300,273800,610000,201200,177000,1409087,426200,15000,450000,260200,22000,20710,23600,381300,239600,445100,3000,712000,28900,0,94000,263100,190000,1000,12000,501000,110000,,290000,
2007,,6954,399000,19996,178367,217600,470713,1514300,2110000,1800,141000,270200,700000,277100,180000,1367310,392834,15000,470000,222600,21000,13940,18200,296100,220000,438100,,635000,40000,,98900,263100,138800,25300,30000,501000,95000,,4800,290000
