year,Italy_Bioenergy,Italy_Coal,Italy_Gas,Italy_Hydro,Italy_Nuclear,Italy_OtherFossil,Italy_OtherRenewables,Italy_Solar,Italy_Wind
2000,0.52,9.76,37.66,16.42,0,33.68,1.75,0.01,0.21
2001,0.68,11.71,38.44,17.27,0,29.81,1.66,0.01,0.44
2002,0.98,12.81,35.92,14.28,0,33.82,1.68,0.01,0.51
2003,1.18,13.6,41.1,12.85,0,28.88,1.87,0.01,0.51
2004,1.43,15.44,44.04,14.36,0,22.25,1.85,0.01,0.63
2005,1.58,14.75,50.5,12.2,0,18.38,1.8,0.01,0.79
2006,1.67,14.42,51.57,12.06,0,17.5,1.8,0.01,0.97
2007,1.71,14.36,56.22,10.68,0,13.89,1.81,0.01,1.31
2008,1.91,13.78,55.29,13.32,0,12.32,1.77,0.06,1.56
2009,2.63,13.82,51.24,17.09,0,10.86,1.86,0.24,2.27
2010,3.17,13.34,51.29,17.16,0,9.53,1.81,0.64,3.06
2011,3.61,14.92,48.24,15.29,0,9.16,1.88,3.6,3.29
2012,4.21,16.57,43.56,14.12,0,8.76,1.89,6.36,4.52
2013,5.95,15.71,37.94,18.38,0,7.34,1.97,7.52,5.19
2014,6.75,15.66,33.76,21.1,0,7.08,2.13,8.04,5.47
2015,6.9,15.38,39.47,16.21,0,6.4,2.2,8.17,5.28
2016,6.79,12.4,43.93,14.77,0,6.06,2.19,7.69,6.16
2017,6.6,11.12,47.85,12.34,0,5.61,2.11,8.31,6.05
2018,6.66,9.91,44.73,16.98,0,5.55,2.13,7.88,6.17
2019,6.71,6.47,48.64,15.9,0,5.14,2.08,8.13,6.93
2020,7.06,4.81,48.08,17.1,0,5.07,2.17,8.97,6.75
2021,6.66,4.9,50.28,15.85,0,4.2,2.06,8.74,7.31
2022,6.59,7.6,50.68,10.74,0,5.28,2.03,9.94,7.14
