Country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
China,58.69171835,61.17731856,63.42332675,61.6383806,64.68296006,62.82462836,69.17348184,71.67828934,73.69538612,72.48641872,74.94598281,74.38292329,74.4707773,74.85380449,77.22350435
USA,1.359176636,1.379270455,1.239086142,2.162750196,1.964445454,2.424810217,1.955939831,1.93384241,1.320029946,1.017776941,1.019673236,1.673229168,1.411912022,1.280674096,1.216048287
Norway,9.006522194,8.620440343,9.580562954,9.462032109,8.384828157,8.266398468,7.155877432,6.30600786,5.657271196,5.175136986,5.098366178,4.639267565,5.054577645,5.073030352,4.438132434
Brazil,8.216840569,7.337941283,8.430895399,7.137075648,6.324556095,7.329539975,6.392583839,3.880296836,3.922374696,6.555173515,5.574213687,6.278475438,6.739436859,6.740389978,5.858334813
France,7.413690739,6.56265781,5.128794701,6.05570055,4.98298359,5.246407561,4.770584955,4.20400524,4.638962381,5.209637899,5.06437707,4.26812616,3.538204351,3.086389095,2.958754956
Russia,3.336160833,3.003250184,1.526503031,2.633148364,2.774180287,2.893239464,2.623821725,2.522403144,2.262908479,2.045904155,2.015554096,1.834057111,1.998243029,2.004379125,1.775252974
SouthAfrica,3.089037808,2.880895547,2.4653982,2.508790228,2.817302261,2.920794125,1.62676947,1.984290473,1.746211043,0.917724292,0.159748807,1.577350972,1.112007082,0,0
Germany,2.177462751,1.617973229,1.764100992,1.627739867,1.443819495,1.59817037,1.335763787,1.282221598,1.15031181,1.052277854,1.019673236,0.927853513,0,2.283395794,1.893603172
Australia,2.162326466,1.946551045,1.916112591,1.622062647,1.437399113,1.653279694,1.431175486,2.017922515,1.810326783,1.656043835,1.699455393,1.237138017,1.651162031,1.525456679,1.508965028
Spain,1.976984197,1.835319557,1.437084443,1.70316578,1.667382971,1.498973589,1.393010807,1.22756953,0.905163391,1.035027397,0.254918309,0.231963378,0.252728882,0.177378684,0.171607787
Canada,1.853422685,2.780787207,1.916112591,1.622062647,1.437399113,1.653279694,0.572470195,1.261201572,1.131454239,0.931524657,0.961891752,1.051567315,1.145704266,0.886893418,0.887626487
Bosnia,0.716656771,0.689635227,0.702574617,0.940796335,0.741122982,0.874805395,0.797021628,0.772822283,0.705876585,0.970786697,1.035750084,0.973009051,1.075310848,0.886893418,1.035564235
Uzbekistan,0,0,0,0,0,0.093685849,0.286235097,0.210200262,0.188575707,0.10350274,0.101967324,0,0,0,0
Iceland,0,0,0,0,0,0,0,0,0,0,0.243362012,0.217612577,0.956865245,0.989879482,0.828451388
Kazakhstan,0,0,0,0.081103132,0.38330643,0.275546616,0.238529248,0.041955972,0.032661312,0,0,0.432998306,0.438063396,0.177378684,0.147937748
Laos,0,0.167959547,0.469447585,0.421303738,0.143787825,0.843227753,0.594987356,0.399506618,0.213957997,0.235848243,0.064103457,0.274428141,0.155007048,0.034056707,0.032546305
Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02367004
Thailand,0,0,0,1.216546985,0.958266075,0,0,0,0,0,0,0,0,0,0
