Year,mcSi_156mm,mcSi_156.75mm,mcSi_157.75mm,mcSi_163.875mm,mcSi_166mmup,monoSi_156mm,monoSi_156.75mm,monoSi_157.75mm,monoSi_163.875mm,monoSi_166mmup
1995,100,,,,,100,,,,
1996,100,,,,,100,,,,
1997,100,,,,,100,,,,
1998,100,,,,,100,,,,
1999,100,,,,,100,,,,
2000,100,,,,,100,,,,
2001,100,,,,,100,,,,
2002,100,,,,,100,,,,
2003,100,,,,,100,,,,
2004,100,,,,,100,,,,
2005,100,,,,,100,,,,
2006,100,,,,,100,,,,
2007,100,,,,,100,,,,
2008,100,,,,,100,,,,
2009,100,,,,,100,,,,
2010,100,,,,,100,,,,
2011,100,,,,,100,,,,
2012,100,,,,,100,,,,
2013,100,,,,,100,,,,
2014,100,,,,,100,,,,
2015,100,,,,,100,,,,
2016,90,10,,,,55,45,,,
2017,37,63,,,,21,78,0,1,0
2018,10,90,,,,8,90,0,2,0
2019,0,70,24,4,2,0,68,23,7,2
2020,,30,35,20,15,,35,30,14,21
2021,,,,,,,,,,
2022,,8,30,32,30,,15,30,18,37
2023,,,,,,,,,,
2024,,3,15,32,40,,0,15,15,70
2025,,,,,,,,,,
2026,,,,,,,,,,
2027,,1,4,30,65,,0,5,8,87
2028,,,,,,,,,,
2029,,,,,,,,,,
2030,,0,5,20,75,,0,1,6,93
