year,mat_virgin_eff,mat_massperm2,mat_MFG_eff,mat_MFG_scrap_Recycled,mat_MFG_scrap_Recycling_eff,mat_MFG_scrap_Recycled_into_HQ,mat_MFG_scrap_Recycled_into_HQ_Reused4MFG,mat_EOL_collected_Recycled,mat_EOL_Recycling_eff,mat_EOL_Recycled_into_HQ,mat_EOL_RecycledHQ_Reused4MFG
year,%,g,%,%,%,%,%,%,%,%,%
1995,99.9,8000,95,80,50,20,10,90,40,15,8
1996,99.9,8000,95,80,50,20,10,90,40,15,8
1997,99.9,8000,95,80,50,20,10,90,40,15,8
1998,99.9,8000,95,80,50,20,10,90,40,15,8
1999,99.9,8000,95,80,50,20,10,90,40,15,8
2000,99.9,8000,95,80,50,20,10,90,40,15,8
2001,99.9,8000,95,80,50,20,10,90,40,15,8
2002,99.9,8000,95,80,50,20,10,90,40,15,8
2003,99.9,8000,95,80,50,20,10,90,40,15,8
2004,99.9,8000,95,80,50,20,10,90,40,15,8
2005,99.9,8000,95,80,50,20,10,90,40,15,8
2006,99.9,8000,95,80,50,20,10,90,40,15,8
2007,99.9,8000,95,80,50,20,10,90,40,15,8
2008,99.9,8000,95,80,50,20,10,90,40,15,8
2009,99.9,8000,95,80,50,20,10,90,40,15,8
2010,99.9,8000,95,80,50,20,10,90,40,15,8
2011,99.9,8000,95,80,50,20,10,90,40,15,8
2012,99.9,8080,95,80,50,20,10,90,40,15,8
2013,99.9,8160,95,80,50,20,10,90,40,15,8
2014,99.9,8292.7,95.2,80,50,20,10,90,40,15,8
2015,99.9,8225.6625,95.5,80,50,20,10,90,40,15,8
2016,99.9,8158.8875,95.7,80,50,20,10,90,40,15,8
2017,99.9,8289.75,95.9,80,50,20,10,90,40,15,8
2018,99.9,8350.15,96.2,80,50,20,10,90,40,15,8
2019,99.9,8607.5,96.4,80,50,20,10,90,40,15,8
2020,99.9,8898.125,96.6,80,50,20,10,90,40,15,8
2021,99.9,8924.75,96.9,80,50,20,10,90,40,15,8
2022,99.9,8950.5,97.1,80,50,20,10,90,40,15,8
2023,99.9,8940.825,97.4,80,50,20,10,90,40,15,8
2024,99.9,8928,97.6,80,50,20,10,90,40,15,8
2025,99.9,8945.933333,97.8,80,50,20,10,90,40,15,8
2026,99.9,8962.933333,98.1,80,50,20,10,90,40,15,8
2027,99.9,8979,98.3,80,50,20,10,90,40,15,8
2028,99.9,9040.069444,98.5,80,50,20,10,90,40,15,8
2029,99.9,9100.361111,98.8,80,50,20,10,90,40,15,8
2030,99.9,9159.875,99,80,50,20,10,90,40,15,8
2031,99.9,9159.875,99,80,50,20,10,90,40,15,8
2032,99.9,9159.875,99,80,50,20,10,90,40,15,8
2033,99.9,9159.875,99,80,50,20,10,90,40,15,8
2034,99.9,9159.875,99,80,50,20,10,90,40,15,8
2035,99.9,9159.875,99,80,50,20,10,90,40,15,8
2036,99.9,9159.875,99,80,50,20,10,90,40,15,8
2037,99.9,9159.875,99,80,50,20,10,90,40,15,8
2038,99.9,9159.875,99,80,50,20,10,90,40,15,8
2039,99.9,9159.875,99,80,50,20,10,90,40,15,8
2040,99.9,9159.875,99,80,50,20,10,90,40,15,8
2041,99.9,9159.875,99,80,50,20,10,90,40,15,8
2042,99.9,9159.875,99,80,50,20,10,90,40,15,8
2043,99.9,9159.875,99,80,50,20,10,90,40,15,8
2044,99.9,9159.875,99,80,50,20,10,90,40,15,8
2045,99.9,9159.875,99,80,50,20,10,90,40,15,8
2046,99.9,9159.875,99,80,50,20,10,90,40,15,8
2047,99.9,9159.875,99,80,50,20,10,90,40,15,8
2048,99.9,9159.875,99,80,50,20,10,90,40,15,8
2049,99.9,9159.875,99,80,50,20,10,90,40,15,8
2050,99.9,9159.875,99,80,50,20,10,90,40,15,8
