Year,bifi
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
2013,0
2014,0
2015,0.6
2016,0.6
2017,0.6
2018,0.6
2019,0.65
2020,0.70113253
2021,0.7245
2022,0.743010924
2023,0.761521848
2024,0.770492107
2025,0.779462366
2026,0.787069846
2027,0.794677326
2028,0.802284806
2029,0.80635092
2030,0.810417033
2031,0.814483146
2032,0.814483146
2033,0.814483146
2034,0.814483146
2035,0.814483146
2036,0.814483146
2037,0.814483146
2038,0.814483146
2039,0.814483146
2040,0.814483146
2041,0.814483146
2042,0.814483146
2043,0.814483146
2044,0.814483146
2045,0.814483146
2046,0.814483146
2047,0.814483146
2048,0.814483146
2049,0.814483146
2050,0.814483146
