year,mat_virgin_eff,mat_massperm2,mat_MFG_eff,mat_MFG_scrap_Recycled,mat_MFG_scrap_Recycling_eff,mat_MFG_scrap_Recycled_into_HQ,mat_MFG_scrap_Recycled_into_HQ_Reused4MFG,mat_PG3_ReMFG_target,mat_ReMFG_yield,mat_PG4_Recycling_target,mat_Recycling_yield,mat_EOL_Recycled_into_HQ,mat_EOL_RecycledHQ_Reused4MFG
year,%,g,%,%,%,%,%,%,%,%,%,%,%
1995,99,180,93,0,0,0,0,0,0,0,0,0,0
1996,99,186.48,93,0,0,0,0,0,0,0,0,0,0
1997,99,192.96,93,0,0,0,0,0,0,0,0,0,0
1998,99,199.44,93,0,0,0,0,0,0,0,0,0,0
1999,99,205.92,93,0,0,0,0,0,0,0,0,0,0
2000,99,212.4,93,0,0,0,0,0,0,0,0,0,0
2001,99,218.88,93,0,0,0,0,0,0,0,0,0,0
2002,99,225.36,93,0,0,0,0,0,0,0,0,0,0
2003,99,231.84,93,0,0,0,0,0,0,0,0,0,0
2004,99,238.0421533,93,0,0,0,0,0,0,0,0,0,0
2005,99,244.2271062,93,0,0,0,0,0,0,0,0,0,0
2006,99,270.8423713,93.7,0,0,0,0,0,0,0,0,0,0
2007,99,297.3911439,94.28333333,0,0,0,0,0,0,0,0,0,0
2008,99,323.8726852,94.86666667,0,0,0,0,0,0,0,0,0,0
2009,99,350.2862454,95.45,0,0,0,0,0,0,0,0,0,0
2010,99,376.6310634,96.03333333,0,0,0,0,0,0,0,0,0,0
2011,99,402.906367,96.5,0,0,0,0,0,0,0,0,0,0
2012,99,424.8202585,96.5,0,0,0,0,0,0,0,0,0,0
2013,99,446.1403774,96.5,0,0,0,0,0,0,0,0,0,0
2014,99,450.12,96.5,0,0,0,0,0,0,0,0,0,0
2015,99,469.0487197,96.5,0,0,0,0,0,0,0,0,0,0
2016,99,488.5530337,96.5,0,0,0,0,0,0,0,0,0,0
2017,99,480.4229167,96.5,0,0,0,0,0,0,0,0,0,0
2018,99,472.8983333,96.5,0,0,0,0,0,0,0,0,0,0
2019,99,463.212,96.5,0,0,0,0,0,0,0,0,0,0
2020,99,432.5328,96.5,0,0,0,0,0,0,0,0,0,0
2021,99,410.944,96.5,0,0,0,0,0,0,0,0,0,0
2022,99,400.0386,96.5,0,0,0,0,0,0,0,0,0,0
2023,99,389.1656,96.5,0,0,0,0,0,0,0,0,0,0
2024,99,383.1525,96.5,0,0,0,0,0,0,0,0,0,0
2025,99,377.1632,96.5,0,0,0,0,0,0,0,0,0,0
2026,99,362.0100667,96.5,0,0,0,0,0,0,0,0,0,0
2027,99,346.8453333,96.5,0,0,0,0,0,0,0,0,0,0
2028,99,331.669,96.5,0,0,0,0,0,0,0,0,0,0
2029,99,314.7302222,96.5,0,0,0,0,0,0,0,0,0,0
2030,99,297.7838889,96.5,0,0,0,0,0,0,0,0,0,0
2031,99,280.83,96.5,0,0,0,0,0,0,0,0,0,0
2032,99,280.83,96.5,0,0,0,0,0,0,0,0,0,0
2033,99,280.83,96.5,0,0,0,0,0,0,0,0,0,0
2034,99,280.83,96.5,0,0,0,0,0,0,0,0,0,0
2035,99,280.83,96.5,0,0,0,0,0,0,0,0,0,0
2036,99,280.83,96.5,0,0,0,0,0,0,0,0,0,0
2037,99,280.83,96.5,0,0,0,0,0,0,0,0,0,0
2038,99,280.83,96.5,0,0,0,0,0,0,0,0,0,0
2039,99,280.83,96.5,0,0,0,0,0,0,0,0,0,0
2040,99,280.83,96.5,0,0,0,0,0,0,0,0,0,0
2041,99,280.83,96.5,0,0,0,0,0,0,0,0,0,0
2042,99,280.83,96.5,0,0,0,0,0,0,0,0,0,0
2043,99,280.83,96.5,0,0,0,0,0,0,0,0,0,0
2044,99,280.83,96.5,0,0,0,0,0,0,0,0,0,0
2045,99,280.83,96.5,0,0,0,0,0,0,0,0,0,0
2046,99,280.83,96.5,0,0,0,0,0,0,0,0,0,0
2047,99,280.83,96.5,0,0,0,0,0,0,0,0,0,0
2048,99,280.83,96.5,0,0,0,0,0,0,0,0,0,0
2049,99,280.83,96.5,0,0,0,0,0,0,0,0,0,0
2050,99,280.83,96.5,0,0,0,0,0,0,0,0,0,0
