year,mat_virgin_eff,mat_massperm2,mat_MFG_eff,mat_MFG_scrap_Recycled,mat_MFG_scrap_Recycling_eff,mat_MFG_scrap_Recycled_into_HQ,mat_MFG_scrap_Recycled_into_HQ_Reused4MFG,mat_PG3_ReMFG_target,mat_ReMFG_yield,mat_PG4_Recycling_target,mat_Recycling_yield,mat_EOL_Recycled_into_HQ,mat_EOL_RecycledHQ_Reused4MFG
year,%,g,%,%,%,%,%,%,%,%,%,%,%
1995,76,56.55,90,98,98,100,27.13,0,0,0,95,100,27.13
1996,76,56.55,90,98,98,100,27.13,0,0,0,95,100,27.13
1997,76,56.55,90,98,98,100,27.41,0,0,0,95,100,27.41
1998,76,56.55,90,98,98,100,27.11,0,0,0,95,100,27.11
1999,76,56.55,90,98,98,100,26.95,0,0,0,95,100,26.95
2000,76,56.55,90,98,98,100,26.74,0,0,0,95,100,26.74
2001,76,56.55,90,98,98,100,27.15,0,0,0,95,100,27.15
2002,76,56.55,90,98,98,100,28.84,0,0,0,95,100,28.84
2003,76,56.55,90,98,98,100,28.17,0,0,0,95,100,28.17
2004,76,56.55,90,98,98,100,27.62,0,0,0,95,100,27.62
2005,76,56.55,90,98,98,100,28.64,0,0,0,95,100,28.64
2006,76,56.55,90,98,98,100,30.62,0,0,0,95,100,30.62
2007,76,56.55,90,98,98,100,29.33,0,0,0,95,100,29.33
2008,76,56.55,90,98,98,100,28.54,0,0,0,95,100,28.54
2009,76,56.55,90,98,98,100,30.9,0,0,0,95,100,30.9
2010,76,56.55,90,98,98,100,29.7,0,0,0,95,100,29.7
2011,76,56.55,90,98,98,100,30.32,0,0,0,95,100,30.32
2012,76,56.55,90,98,98,100,30.42,0,0,0,95,100,30.42
2013,76,56.55,90,98,98,100,29.47,0,0,0,95,100,29.47
2014,76,56.55,90,98,98,100,30.69,0,0,0,95,100,30.69
2015,76,56.55,90,98,98,100,29.26,0,0,0,95,100,29.26
2016,76,56.55,90,98,98,100,30.91,0,0,0,95,100,30.91
2017,76,56.55,90,98,98,100,31.12,0,0,0,95,100,31.12
2018,76,56.55,90,98,98,100,31.23,0,0,0,95,100,31.23
2019,76,56.55,90,98,98,100,31.23,0,0,0,95,100,31.23
2020,76,56.55,90,98,98,100,31.23,0,0,0,95,100,31.23
2021,76,56.55,90,98,98,100,31.23,0,0,0,95,100,31.23
2022,76,56.55,90,98,98,100,31.23,0,0,0,95,100,31.23
2023,76,56.55,90,98,98,100,31.23,0,0,0,95,100,31.23
2024,76,56.55,90,98,98,100,31.23,0,0,0,95,100,31.23
2025,76,56.55,90,98,98,100,31.23,0,0,0,95,100,31.23
2026,76,56.55,90,98,98,100,31.23,0,0,0,95,100,31.23
2027,76,56.55,90,98,98,100,31.23,0,0,0,95,100,31.23
2028,76,56.55,90,98,98,100,31.23,0,0,0,95,100,31.23
2029,76,56.55,90,98,98,100,31.23,0,0,0,95,100,31.23
2030,76,56.55,90,98,98,100,31.23,0,0,0,95,100,31.23
2031,76,56.55,90,98,98,100,31.23,0,0,0,95,100,31.23
2032,76,56.55,90,98,98,100,31.23,0,0,0,95,100,31.23
2033,76,56.55,90,98,98,100,31.23,0,0,0,95,100,31.23
2034,76,56.55,90,98,98,100,31.23,0,0,0,95,100,31.23
2035,76,56.55,90,98,98,100,31.23,0,0,0,95,100,31.23
2036,76,56.55,90,98,98,100,31.23,0,0,0,95,100,31.23
2037,76,56.55,90,98,98,100,31.23,0,0,0,95,100,31.23
2038,76,56.55,90,98,98,100,31.23,0,0,0,95,100,31.23
2039,76,56.55,90,98,98,100,31.23,0,0,0,95,100,31.23
2040,76,56.55,90,98,98,100,31.23,0,0,0,95,100,31.23
2041,76,56.55,90,98,98,100,31.23,0,0,0,95,100,31.23
2042,76,56.55,90,98,98,100,31.23,0,0,0,95,100,31.23
2043,76,56.55,90,98,98,100,31.23,0,0,0,95,100,31.23
2044,76,56.55,90,98,98,100,31.23,0,0,0,95,100,31.23
2045,76,56.55,90,98,98,100,31.23,0,0,0,95,100,31.23
2046,76,56.55,90,98,98,100,31.23,0,0,0,95,100,31.23
2047,76,56.55,90,98,98,100,31.23,0,0,0,95,100,31.23
2048,76,56.55,90,98,98,100,31.23,0,0,0,95,100,31.23
2049,76,56.55,90,98,98,100,31.23,0,0,0,95,100,31.23
2050,76,56.55,90,98,98,100,31.23,0,0,0,95,100,31.23
