year,mat_virgin_eff,mat_massperm2,mat_MFG_eff,mat_MFG_scrap_Recycled,mat_MFG_scrap_Recycling_eff,mat_MFG_scrap_Recycled_into_HQ,mat_MFG_scrap_Recycled_into_HQ_Reused4MFG,mat_EOL_collected_Recycled,mat_EOL_Recycling_eff,mat_EOL_Recycled_into_HQ,mat_EOL_RecycledHQ_Reused4MFG
year,%,g,%,%,%,%,%,%,%,%,%
1995,20,848.4214286,50,100,20,0,100,20,80,0,0
1996,20.4,831.7857143,50,100,20,0,100,20,80,0,0
1997,20.8,815.15,50,100,20,0,100,20,80,0,0
1998,21.2,798.5142857,50,100,20,0,100,20,80,0,0
1999,21.6,781.8785714,50,100,20,0,100,20,80,0,0
2000,22,765.2428571,50,100,20,0,100,20,80,0,0
2001,22.4,748.6071429,50,100,20,0,100,20,80,0,0
2002,22.8,731.9714286,50,100,20,0,100,20,80,0,0
2003,23.2,715.3357143,50,100,20,0,100,20,80,0,0
2004,23.6,698.7,49.36565834,100,20,0,100,20,80,0,0
2005,24,582.25,41.58805731,100,20,0,100,20,80,0,0
2006,24.4,465.8,33.63841614,100,20,0,100,20,80,0,0
2007,24.8,442.51,32.3138861,100,20,0,100,20,80,0,0
2008,25.2,419.22,30.95939478,100,20,0,100,20,80,0,0
2009,25.6,419.22,31.31355595,100,20,0,100,20,80,0,0
2010,26,419.22,49.33536239,100,20,0,100,20,80,0,0
2011,26.4,419.22,49.66181831,100,20,0,100,20,80,0,0
2012,26.8,419.22,48.63711241,100,20,0,100,20,80,0,0
2013,27.2,419.22,49.92050096,100,20,0,100,20,80,0,0
2014,27.6,419.22,50.13317643,100,20,0,100,20,80,0,0
2015,28,419.22,50.54035646,100,20,0,100,20,80,0,0
2016,28.4,419.22,53.4170004,100,20,0,100,20,80,0,0
2017,28.8,419.22,59.32333715,100,20,0,100,20,80,0,0
2018,29.2,410.8550083,63.60055267,100,20,0,100,20,80,0,0
2019,29.6,402.1406667,65.06394011,100,20,0,100,20,80,0,0
2020,30,380.0539833,66.72675976,100,20,0,100,20,80,0,0
2021,30,367.3803416,66.18084496,100,20,0,100,20,80,0,0
2022,30,354.7067,65.58767292,100,20,0,100,20,80,0,0
2023,30,348.4960334,66.98371616,100,20,0,100,20,80,0,0
2024,30,342.2853667,68.78493968,100,20,0,100,20,80,0,0
2025,30,336.0112995,69.37974021,100,20,0,100,20,80,0,0
2026,30,329.7372322,69.84836065,100,20,0,100,20,80,0,0
2027,30,323.463165,70.19056462,100,20,0,100,20,80,0,0
2028,30,320.4082933,70.65569711,100,20,0,100,20,80,0,0
2029,30,317.3534217,71.12557438,100,20,0,100,20,80,0,0
2030,30,314.29855,71.60023678,100,20,0,100,20,80,0,0
2031,30,314.29855,71.60023678,100,20,0,100,20,80,0,0
2032,30,314.29855,71.60023678,100,20,0,100,20,80,0,0
2033,30,314.29855,71.60023678,100,20,0,100,20,80,0,0
2034,30,314.29855,71.60023678,100,20,0,100,20,80,0,0
2035,30,314.29855,71.60023678,100,20,0,100,20,80,0,0
2036,30,314.29855,71.60023678,100,20,0,100,20,80,0,0
2037,30,314.29855,71.60023678,100,20,0,100,20,80,0,0
2038,30,314.29855,71.60023678,100,20,0,100,20,80,0,0
2039,30,314.29855,71.60023678,100,20,0,100,20,80,0,0
2040,30,314.29855,71.60023678,100,20,0,100,20,80,0,0
2041,30,314.29855,71.60023678,100,20,0,100,20,80,0,0
2042,30,314.29855,71.60023678,100,20,0,100,20,80,0,0
2043,30,314.29855,71.60023678,100,20,0,100,20,80,0,0
2044,30,314.29855,71.60023678,100,20,0,100,20,80,0,0
2045,30,314.29855,71.60023678,100,20,0,100,20,80,0,0
2046,30,314.29855,71.60023678,100,20,0,100,20,80,0,0
2047,30,314.29855,71.60023678,100,20,0,100,20,80,0,0
2048,30,314.29855,71.60023678,100,20,0,100,20,80,0,0
2049,30,314.29855,71.60023678,100,20,0,100,20,80,0,0
2050,30,314.29855,71.60023678,100,20,0,100,20,80,0,0
