year,mat_virgin_eff,mat_massperm2,mat_MFG_eff,mat_MFG_scrap_Recycled,mat_MFG_scrap_Recycling_eff,mat_MFG_scrap_Recycled_into_HQ,mat_MFG_scrap_Recycled_into_HQ_Reused4MFG,mat_EOL_collected_Recycled,mat_EOL_Recycling_eff,mat_EOL_Recycled_into_HQ,mat_EOL_RecycledHQ_Reused4MFG
year,%,g,%,%,%,%,%,%,%,%,%
2010,100,12.32741617,100,0,0,0,0,100,100,100,100
2011,100,10.27284681,100,0,0,0,0,100,100,100,100
2012,100,8.218277449,100,0,0,0,0,100,100,100,100
2013,100,5.752794214,100,0,0,0,0,100,100,100,100
2014,100,5.341880342,100,0,0,0,0,100,100,100,100
2015,100,4.520052597,100,0,0,0,0,100,100,100,100
2016,100,4.099757009,100,0,0,0,0,100,100,100,100
2017,100,4.079110301,100,0,0,0,0,100,100,100,100
2018,100,4.078923619,100,0,0,0,0,100,100,100,100
2019,100,3.920742275,100,0,0,0,0,100,100,100,100
2020,100,3.122110262,100,0,0,0,0,100,100,100,100
2021,100,2.795143941,100,0,0,0,0,100,100,100,100
2022,100,2.47582385,100,0,0,0,0,100,100,100,100
2023,100,2.127575375,100,0,0,0,0,100,100,100,100
2024,100,1.772532028,100,0,0,0,0,100,100,100,100
2025,100,1.644317024,100,0,0,0,0,100,100,100,100
2026,100,1.522252469,100,0,0,0,0,100,100,100,100
2027,100,1.405541508,100,0,0,0,0,100,100,100,100
2028,100,1.535843839,100,0,0,0,0,100,100,100,100
2029,100,1.665742119,100,0,0,0,0,100,100,100,100
2030,100,1.795234567,100,0,0,0,0,100,100,100,100
2031,100,1.785213935,100,0,0,0,0,100,100,100,100
2032,100,1.775193302,100,0,0,0,0,100,100,100,100
2033,100,1.76517267,100,0,0,0,0,100,100,100,100
2034,100,1.755152038,100,0,0,0,0,100,100,100,100
2035,100,1.745131405,100,0,0,0,0,100,100,100,100
2036,100,1.735110773,100,0,0,0,0,100,100,100,100
2037,100,1.725090141,100,0,0,0,0,100,100,100,100
2038,100,1.715069508,100,0,0,0,0,100,100,100,100
2039,100,1.705048876,100,0,0,0,0,100,100,100,100
2040,100,1.695028244,100,0,0,0,0,100,100,100,100
2041,100,1.685007612,100,0,0,0,0,100,100,100,100
2042,100,1.674986979,100,0,0,0,0,100,100,100,100
2043,100,1.664966347,100,0,0,0,0,100,100,100,100
2044,100,1.654945715,100,0,0,0,0,100,100,100,100
2045,100,1.644925082,100,0,0,0,0,100,100,100,100
2046,100,1.63490445,100,0,0,0,0,100,100,100,100
2047,100,1.624883818,100,0,0,0,0,100,100,100,100
2048,100,1.614863186,100,0,0,0,0,100,100,100,100
2049,100,1.604842553,100,0,0,0,0,100,100,100,100
2050,100,1.594821921,100,0,0,0,0,100,100,100,100
