year,mat_virgin_eff,mat_massperm2,mat_MFG_eff,mat_MFG_scrap_Recycled,mat_MFG_scrap_Recycling_eff,mat_MFG_scrap_Recycled_into_HQ,mat_MFG_scrap_Recycled_into_HQ_Reused4MFG,mat_EOL_collected_Recycled,mat_EOL_Recycling_eff,mat_EOL_Recycled_into_HQ,mat_EOL_RecycledHQ_Reused4MFG
year,%,g,%,%,%,%,%,%,%,%,%
1985,100,1,100,0,0,0,0,0,0,0,0
1986,100,1,100,0,0,0,0,0,0,0,0
1987,100,1,100,0,0,0,0,0,0,0,0
1988,100,1,100,0,0,0,0,0,0,0,0
1989,100,1,100,0,0,0,0,0,0,0,0
1990,100,1,100,0,0,0,0,0,0,0,0
1991,100,1,100,0,0,0,0,0,0,0,0
1992,100,1,100,0,0,0,0,0,0,0,0
1993,100,1,100,0,0,0,0,0,0,0,0
1994,100,1,100,0,0,0,0,0,0,0,0
1995,100,1,100,0,0,0,0,0,0,0,0
1996,100,1,100,0,0,0,0,0,0,0,0
1997,100,1,100,0,0,0,0,0,0,0,0
1998,100,1,100,0,0,0,0,0,0,0,0
1999,100,1,100,0,0,0,0,0,0,0,0
2000,100,1,100,0,0,0,0,0,0,0,0
2001,100,1,100,0,0,0,0,0,0,0,0
2002,100,1,100,0,0,0,0,0,0,0,0
2003,100,1,100,0,0,0,0,0,0,0,0
2004,100,1,100,0,0,0,0,0,0,0,0
2005,100,1,100,0,0,0,0,0,0,0,0
2006,100,1,100,0,0,0,0,0,0,0,0
2007,100,1,100,0,0,0,0,0,0,0,0
2008,100,1,100,0,0,0,0,0,0,0,0
2009,100,1,100,0,0,0,0,0,0,0,0
2010,100,1,100,0,0,0,0,0,0,0,0
2011,100,1,100,0,0,0,0,0,0,0,0
2012,100,1,100,0,0,0,0,0,0,0,0
2013,100,1,100,0,0,0,0,0,0,0,0
2014,100,1,100,0,0,0,0,0,0,0,0
2015,100,1,100,0,0,0,0,0,0,0,0
2016,100,1,100,0,0,0,0,0,0,0,0
2017,100,1,100,0,0,0,0,0,0,0,0
2018,100,1,100,0,0,0,0,0,0,0,0
2019,100,1,100,0,0,0,0,0,0,0,0
2020,100,1,100,0,0,0,0,0,0,0,0
2021,100,1,100,0,0,0,0,0,0,0,0
2022,100,1,100,0,0,0,0,0,0,0,0
2023,100,1,100,0,0,0,0,0,0,0,0
2024,100,1,100,0,0,0,0,0,0,0,0
2025,100,1,100,0,0,0,0,0,0,0,0
2026,100,1,100,0,0,0,0,0,0,0,0
2027,100,1,100,0,0,0,0,0,0,0,0
2028,100,1,100,0,0,0,0,0,0,0,0
2029,100,1,100,0,0,0,0,0,0,0,0
2030,100,1,100,0,0,0,0,0,0,0,0
