year,mat_virgin_eff,mat_massperm2,mat_MFG_eff,mat_MFG_scrap_Recycled,mat_MFG_scrap_Recycling_eff,mat_MFG_scrap_Recycled_into_HQ,mat_MFG_scrap_Recycled_into_HQ_Reused4MFG,mat_PG3_ReMFG_target,mat_ReMFG_yield,mat_PG4_Recycling_target,mat_Recycling_yield,mat_EOL_Recycled_into_HQ,mat_EOL_RecycledHQ_Reused4MFG
year,%,g,%,%,%,%,%,%,%,%,%,%,%
2023,60,12500,97.4,80,50,20,10,100,99,90,40,15,8
2024,60,12500,97.6,80,50,20,10,100,99,90,40,15,8
2025,60,12500,97.8,80,50,20,10,100,99,90,40,15,8
2026,60,12500,98.1,80,50,20,10,100,99,90,40,15,8
2027,60,12500,98.3,80,50,20,10,100,99,90,40,15,8
2028,60,12500,98.5,80,50,20,10,100,99,90,40,15,8
2029,60,12500,98.8,80,50,20,10,100,99,90,40,15,8
2030,60,12500,99,80,50,20,10,100,99,90,40,15,8
2031,60,12500,99,80,50,20,10,100,99,90,40,15,8
2032,60,12500,99,80,50,20,10,100,99,90,40,15,8
2033,60,12500,99,80,50,20,10,100,99,90,40,15,8
2034,60,12500,99,80,50,20,10,100,99,90,40,15,8
2035,60,12500,99,80,50,20,10,100,99,90,40,15,8
2036,60,12500,99,80,50,20,10,100,99,90,40,15,8
2037,60,12500,99,80,50,20,10,100,99,90,40,15,8
2038,60,12500,99,80,50,20,10,100,99,90,40,15,8
2039,60,12500,99,80,50,20,10,100,99,90,40,15,8
2040,60,12500,99,80,50,20,10,100,99,90,40,15,8
2041,60,12500,99,80,50,20,10,100,99,90,40,15,8
2042,60,12500,99,80,50,20,10,100,99,90,40,15,8
2043,60,12500,99,80,50,20,10,100,99,90,40,15,8
2044,60,12500,99,80,50,20,10,100,99,90,40,15,8
2045,60,12500,99,80,50,20,10,100,99,90,40,15,8
2046,60,12500,99,80,50,20,10,100,99,90,40,15,8
2047,60,12500,99,80,50,20,10,100,99,90,40,15,8
2048,60,12500,99,80,50,20,10,100,99,90,40,15,8
2049,60,12500,99,80,50,20,10,100,99,90,40,15,8
2050,60,12500,99,80,50,20,10,100,99,90,40,15,8
