year,new_Installed_Capacity_[MW],mod_eff,mod_reliability_t50,mod_reliability_t90,mod_degradation,mod_lifetime,mod_MFG_eff,mod_EOL_collection_eff,mod_EOL_collected_recycled,mod_Repair,mod_MerchantTail,mod_Reuse
year,MW,%,years,years,%,years,%,%,%,%,%,%
1995,12.5,12.5,16,21,0.55,10,100,0,0,0,0,0
1996,9.667666667,12.7,16,21,0.55,10,100,0,0,0,0,0
1997,11.622,12.88,19,23,0.55,15,100,0,0,0,0,0
1998,11.781,13.06,19,23,0.55,15,100,0,0,0,0,0
1999,16.88466667,13.24,19,23,0.55,15,100,0,0,0,0,0
2000,20.92666667,13.42,19,23,0.6,20,100,0,0,0,0,0
2001,27.985,13.6,19,23,0.6,20,100,0,0,0,0,0
2002,42.476,13.72222222,19,23,0.6,20,100,0,0,0,0,0
2003,59.745,13.84444444,19,23,0.6,20,100,0,0,0,0,0
2004,94.752,13.96666667,19,23,0.6,20,100,0,0,0,0,0
2005,96.58117322,14.08888889,19,24,0.6,20,100,0,0,0,0,0
2006,98.21307161,14.21111111,20,25,0.6,20,100,0,0,0,0,0
2007,324.2327484,14.33333333,20,25,0.6,21.5,100,0,0,0,0,0
2008,314.5851087,14.45555556,21,26,0.6,21.5,100,0,0,0,0,0
2009,431.2448039,14.57777778,24,29,0.6,21.6,100,0,0,0,0,0
2010,719.8444376,14.7,25,30,0.3,22.7,100,0,0,0,0,0
2011,1781.377078,15.1,25,30,0.3,23,100,0,0,0,0,0
2012,3064.162281,15.4,25,30,0.3,23.5,100,0,0,0,0,0
2013,4037.449113,16,28,33,0.3,24.2,100,0,0,0,0,0
2014,3722.199485,16.3,28,33,0.3,26,100,0,0,0,0,0
2015,6834.328813,17,28,33,0.3,28.7,100,0,0,0,0,0
2016,12897.66595,17.5,28,33,0.3,28.7,100,0,0,0,0,0
2017,9784.506215,17.7,28,33,0.3,29.5,100,0,0,0,0,0
2018,9352.529448,18.4,28,33,0.3,31,100,0,0,0,0,0
2019,10949.78234,19.2,28,33,0.3,32.4,100,0,0,0,0,0
2020,14903.79,20,33,38,0.5,35,100,0,0,0,0,0
2021,0,20.9216988,33,38,0.5,35,100,0,0,0,0,0
2022,0,21.48042537,33,38,0.5,35,100,0,0,0,0,0
2023,0,21.88587403,33,38,0.5,35,100,0,0,0,0,0
2024,0,22.20562728,33,38,0.5,35,100,0,0,0,0,0
2025,0,22.47034948,33,38,0.5,35,100,0,0,0,0,0
2026,0,22.6966295,33,38,0.5,35,100,0,0,0,0,0
2027,0,22.89448321,40,44,0.5,35,100,0,0,0,0,0
2028,0,23.07043369,40,44,0.5,35,100,0,0,0,0,0
2029,0,23.22897228,40,44,0.5,35,100,0,0,0,0,0
2030,0,23.3733262,40,44,0.5,35,100,0,0,0,0,0
2031,0,23.50589418,40,44,0.5,35,100,0,0,0,0,0
2032,0,23.62850877,40,44,0.5,35,100,0,0,0,0,0
2033,0,23.7426023,40,44,0.5,35,100,0,0,0,0,0
2034,0,23.84931597,40,44,0.5,35,100,0,0,0,0,0
2035,0,23.94957409,40,44,0.5,35,100,0,0,0,0,0
2036,0,24.04413599,40,44,0.5,35,100,0,0,0,0,0
2037,0,24.13363324,40,44,0.5,35,100,0,0,0,0,0
2038,0,24.21859695,40,44,0.5,35,100,0,0,0,0,0
2039,0,24.29947807,40,44,0.5,35,100,0,0,0,0,0
2040,0,24.3766628,40,44,0.5,35,100,0,0,0,0,0
2041,0,24.45048453,40,44,0.5,35,100,0,0,0,0,0
2042,0,24.52123306,40,44,0.5,35,100,0,0,0,0,0
2043,0,24.5891619,40,44,0.5,35,100,0,0,0,0,0
2044,0,24.65449415,40,44,0.5,35,100,0,0,0,0,0
2045,0,24.71742718,40,44,0.5,35,100,0,0,0,0,0
2046,0,24.77813646,40,44,0.5,35,100,0,0,0,0,0
2047,0,24.8367787,40,44,0.5,35,100,0,0,0,0,0
2048,0,24.89349446,40,44,0.5,35,100,0,0,0,0,0
2049,0,24.94841027,40,44,0.5,35,100,0,0,0,0,0
2050,0,25.00164048,40,44,0.5,35,100,0,0,0,0,0
