year,e_mod_MFG,e_mod_Install,e_mod_OandM,e_mod_Repair,e_mod_Demount,e_mod_Resell_Certify,e_mod_Store,e_mod_ReMFG_Disassembly,e_mod_Recycle_Crush
year,Wh/m2,Wh/m2,Wh/m2,Wh/m2,Wh/m2,Wh/m2,Wh/m2,Wh/m2,Wh/m2
1995,32400,9.5,0,48,9.5,0.2,0,1441,4400
1996,32400,9.5,0,48,9.5,0.2,0,1441,4400
1997,32400,9.5,0,48,9.5,0.2,0,1441,4400
1998,32400,9.5,0,48,9.5,0.2,0,1441,4400
1999,32400,9.5,0,48,9.5,0.2,0,1441,4400
2000,32400,9.5,0,48,9.5,0.2,0,1441,4400
2001,32400,9.5,0,48,9.5,0.2,0,1441,4400
2002,32400,9.5,0,48,9.5,0.2,0,1441,4400
2003,31750,9.5,0,48,9.5,0.2,0,1441,4400
2004,31100,9.5,0,48,9.5,0.2,0,1441,4400
2005,30450,9.5,0,48,9.5,0.2,0,1441,4400
2006,29800,9.5,0,48,9.5,0.2,0,1441,4400
2007,29150,9.5,0,48,9.5,0.2,0,1441,4400
2008,28500,9.5,0,48,9.5,0.2,0,1441,4400
2009,30950,9.5,0,48,9.5,0.2,0,1441,4400
2010,33400,9.5,0,48,9.5,0.2,0,1441,4400
2011,32333.33333,9.5,0,48,9.5,0.2,0,1441,4400
2012,31266.66667,9.5,0,48,9.5,0.2,0,1441,4374
2013,30200,9.5,0,48,9.5,0.2,0,1441,4347
2014,35350,9.5,0,48,9.5,0.2,0,1441,4321
2015,40500,9.5,0,48,9.5,0.2,0,1441,4294
2016,41178.23333,9.5,0,48,9.5,0.2,0,1441,4268
2017,41856.46667,9.5,0,48,9.5,0.2,0,1441,4242
2018,42534.7,9.5,0,48,9.5,0.2,0,1441,4215
2019,40227.76,9.5,0,48,9.5,0.2,0,1441,4189
2020,37920.82,9.5,0,48,9.5,0.2,0,1441,4163
2021,35613.88,9.5,0,48,9.5,0.2,0,1441,4136
2022,33306.94,9.5,0,48,9.5,0.2,0,1441,4110
2023,31000,9.5,0,48,9.5,0.2,0,1441,4083
2024,31000,9.5,0,48,9.5,0.2,0,1441,4057
2025,31000,9.5,0,48,9.5,0.2,0,1441,4057
2026,31000,9.5,0,48,9.5,0.2,0,1441,4057
2027,31000,9.5,0,48,9.5,0.2,0,1441,4057
2028,31000,9.5,0,48,9.5,0.2,0,1441,4057
2029,31000,9.5,0,48,9.5,0.2,0,1441,4057
2030,31000,9.5,0,48,9.5,0.2,0,1441,4057
2031,31000,9.5,0,48,9.5,0.2,0,1441,4057
2032,31000,9.5,0,48,9.5,0.2,0,1441,4057
2033,31000,9.5,0,48,9.5,0.2,0,1441,4057
2034,31000,9.5,0,48,9.5,0.2,0,1441,4057
2035,31000,9.5,0,48,9.5,0.2,0,1441,4057
2036,31000,9.5,0,48,9.5,0.2,0,1441,4057
2037,31000,9.5,0,48,9.5,0.2,0,1441,4057
2038,31000,9.5,0,48,9.5,0.2,0,1441,4057
2039,31000,9.5,0,48,9.5,0.2,0,1441,4057
2040,31000,9.5,0,48,9.5,0.2,0,1441,4057
2041,31000,9.5,0,48,9.5,0.2,0,1441,4057
2042,31000,9.5,0,48,9.5,0.2,0,1441,4057
2043,31000,9.5,0,48,9.5,0.2,0,1441,4057
2044,31000,9.5,0,48,9.5,0.2,0,1441,4057
2045,31000,9.5,0,48,9.5,0.2,0,1441,4057
2046,31000,9.5,0,48,9.5,0.2,0,1441,4057
2047,31000,9.5,0,48,9.5,0.2,0,1441,4057
2048,31000,9.5,0,48,9.5,0.2,0,1441,4057
2049,31000,9.5,0,48,9.5,0.2,0,1441,4057
2050,31000,9.5,0,48,9.5,0.2,0,1441,4057
