year,e_mod_MFG,e_mod_Install,e_mod_OandM,e_mod_Repair,e_mod_Demount,e_mod_Resell_Certify,e_mod_Store,e_mod_ReMFG_Disassembly,e_mod_Recycle_Crush
year,Wh/m2,Wh/m2,Wh/m2,Wh/m2,Wh/m2,Wh/m2,Wh/m2,Wh/m2,Wh/m2
1995,8600,9.5,0,10700,9.5,0.2,0,1.1,670
1996,8700,9.5,0,10700,9.5,0.2,0,1.1,670
1997,8800,9.5,0,10700,9.5,0.2,0,1.1,670
1998,8900,9.5,0,10700,9.5,0.2,0,1.1,670
1999,9000,9.5,0,10700,9.5,0.2,0,1.1,670
2000,9100,9.5,0,10700,9.5,0.2,0,1.1,670
2001,9200,9.5,0,10700,9.5,0.2,0,1.1,670
2002,9300,9.5,0,10700,9.5,0.2,0,1.1,670
2003,9400,9.5,0,10700,9.5,0.2,0,1.1,670
2004,9500,9.5,0,10700,9.5,0.2,0,1.1,670
2005,6664,9.5,0,10700,9.5,0.2,0,1.1,670
2006,6176.666667,9.5,0,10700,9.5,0.2,0,1.1,670
2007,5689.333333,9.5,0,10700,9.5,0.2,0,1.1,670
2008,5202,9.5,0,10700,9.5,0.2,0,1.1,670
2009,4714.666667,9.5,0,10700,9.5,0.2,0,1.1,670
2010,4227.333333,9.5,0,10700,9.5,0.2,0,1.1,670
2011,3740,9.5,0,10700,9.5,0.2,0,1.1,670
2012,3698,9.5,0,10700,9.5,0.2,0,1.1,670
2013,3656,9.5,0,10700,9.5,0.2,0,1.1,670
2014,3614,9.5,0,10700,9.5,0.2,0,1.1,670
2015,3572,9.5,0,10700,9.5,0.2,0,1.1,670
2016,3530,9.5,0,10700,9.5,0.2,0,1.1,670
2017,3488,9.5,0,10700,9.5,0.2,0,1.1,670
2018,3446,9.5,0,10700,9.5,0.2,0,1.1,670
2019,3404,9.5,0,10700,9.5,0.2,0,1.1,670
2020,3362,9.5,0,10700,9.5,0.2,0,1.1,670
2021,3320,9.5,0,10700,9.5,0.2,0,1.1,670
2022,3320,9.5,0,10700,9.5,0.2,0,1.1,670
2023,3320,9.5,0,10700,9.5,0.2,0,1.1,670
2024,3320,9.5,0,10700,9.5,0.2,0,1.1,670
2025,3320,9.5,0,10700,9.5,0.2,0,1.1,670
2026,3320,9.5,0,10700,9.5,0.2,0,1.1,670
2027,3320,9.5,0,10700,9.5,0.2,0,1.1,670
2028,3320,9.5,0,10700,9.5,0.2,0,1.1,670
2029,3320,9.5,0,10700,9.5,0.2,0,1.1,670
2030,3320,9.5,0,10700,9.5,0.2,0,1.1,670
2031,3320,9.5,0,10700,9.5,0.2,0,1.1,670
2032,3320,9.5,0,10700,9.5,0.2,0,1.1,670
2033,3320,9.5,0,10700,9.5,0.2,0,1.1,670
2034,3320,9.5,0,10700,9.5,0.2,0,1.1,670
2035,3320,9.5,0,10700,9.5,0.2,0,1.1,670
2036,3320,9.5,0,10700,9.5,0.2,0,1.1,670
2037,3320,9.5,0,10700,9.5,0.2,0,1.1,670
2038,3320,9.5,0,10700,9.5,0.2,0,1.1,670
2039,3320,9.5,0,10700,9.5,0.2,0,1.1,670
2040,3320,9.5,0,10700,9.5,0.2,0,1.1,670
2041,3320,9.5,0,10700,9.5,0.2,0,1.1,670
2042,3320,9.5,0,10700,9.5,0.2,0,1.1,670
2043,3320,9.5,0,10700,9.5,0.2,0,1.1,670
2044,3320,9.5,0,10700,9.5,0.2,0,1.1,670
2045,3320,9.5,0,10700,9.5,0.2,0,1.1,670
2046,3320,9.5,0,10700,9.5,0.2,0,1.1,670
2047,3320,9.5,0,10700,9.5,0.2,0,1.1,670
2048,3320,9.5,0,10700,9.5,0.2,0,1.1,670
2049,3320,9.5,0,10700,9.5,0.2,0,1.1,670
2050,3320,9.5,0,10700,9.5,0.2,0,1.1,670
