year,mat_virgin_eff,mat_massperm2,mat_MFG_eff,mat_MFG_scrap_Recycled,mat_MFG_scrap_Recycling_eff,mat_MFG_scrap_Recycled_into_HQ,mat_MFG_scrap_Recycled_into_HQ_Reused4MFG,mat_PG3_ReMFG_target,mat_ReMFG_yield,mat_PG4_Recycling_target,mat_Recycling_yield,mat_EOL_Recycled_into_HQ,mat_EOL_RecycledHQ_Reused4MFG
year,%,g,%,%,%,%,%,%,%,%,%,%,%
1995,60,16000,95,100,90,20,10,0,50,100,90,15,8
1996,60,16000,95,100,90,20,10,0,50,100,90,15,8
1997,60,16000,95,100,90,20,10,0,50,100,90,15,8
1998,60,16000,95,100,90,20,10,0,50,100,90,15,8
1999,60,16000,95,100,90,20,10,0,50,100,90,15,8
2000,60,16000,95,100,90,20,10,0,50,100,90,15,8
2001,60,16000,95,100,90,20,10,0,50,100,90,15,8
2002,60,16000,95,100,90,20,10,0,50,100,90,15,8
2003,60,16000,95,100,90,20,10,0,50,100,90,15,8
2004,60,16000,95,100,90,20,10,0,50,100,90,15,8
2005,60,16000,95,100,90,20,10,0,50,100,90,15,8
2006,60,16000,95,100,90,20,10,0,50,100,90,15,8
2007,60,16000,95,100,90,20,10,0,50,100,90,15,8
2008,60,16000,95,100,90,20,10,0,50,100,90,15,8
2009,60,16000,95,100,90,20,10,0,50,100,90,15,8
2010,60,16000,95,100,90,20,10,0,50,100,90,15,8
2011,60,16000,95,100,90,20,10,0,50,100,90,15,8
2012,60,16000,95,100,90,20,10,0,50,100,90,15,8
2013,60,16000,95,100,90,20,10,0,50,100,90,15,8
2014,60,15947.5,95.2,100,90,20,10,0,50,100,90,15,8
2015,60,15895,95.5,100,90,20,10,0,50,100,90,15,8
2016,60,15842.5,95.7,100,90,20,10,0,50,100,90,15,8
2017,60,15790,95.9,100,90,20,10,0,50,100,90,15,8
2018,60,15755,96.2,100,90,20,10,0,50,100,90,15,8
2019,60,15650,96.4,100,90,20,10,0,50,100,90,15,8
2020,60,15475,96.6,100,90,20,10,0,50,100,90,15,8
2021,60,14915,96.9,100,90,20,10,0,50,100,90,15,8
2022,60,14810,97.1,100,90,20,10,0,50,100,90,15,8
2023,60,14635,97.4,100,90,20,10,0,50,100,90,15,8
2024,60,14460,97.6,100,90,20,10,0,50,100,90,15,8
2025,60,14302.5,97.8,100,90,20,10,0,50,100,90,15,8
2026,60,14145,98.1,100,90,20,10,0,50,100,90,15,8
2027,60,14063.33333,98.3,100,90,20,10,0,50,100,90,15,8
2028,60,13981.66667,98.5,100,90,20,10,0,50,100,90,15,8
2029,60,13900,98.8,100,90,20,10,0,50,100,90,15,8
2030,60,13806.66667,99,100,90,20,10,0,50,100,90,15,8
2031,60,13713.33333,99,100,90,20,10,0,50,100,90,15,8
2032,60,13620,99,100,90,20,10,0,50,100,90,15,8
2033,60,13620,99,100,90,20,10,0,50,100,90,15,8
2034,60,13620,99,100,90,20,10,0,50,100,90,15,8
2035,60,13620,99,100,90,20,10,0,50,100,90,15,8
2036,60,13620,99,100,90,20,10,0,50,100,90,15,8
2037,60,13620,99,100,90,20,10,0,50,100,90,15,8
2038,60,13620,99,100,90,20,10,0,50,100,90,15,8
2039,60,13620,99,100,90,20,10,0,50,100,90,15,8
2040,60,13620,99,100,90,20,10,0,50,100,90,15,8
2041,60,13620,99,100,90,20,10,0,50,100,90,15,8
2042,60,13620,99,100,90,20,10,0,50,100,90,15,8
2043,60,13620,99,100,90,20,10,0,50,100,90,15,8
2044,60,13620,99,100,90,20,10,0,50,100,90,15,8
2045,60,13620,99,100,90,20,10,0,50,100,90,15,8
2046,60,13620,99,100,90,20,10,0,50,100,90,15,8
2047,60,13620,99,100,90,20,10,0,50,100,90,15,8
2048,60,13620,99,100,90,20,10,0,50,100,90,15,8
2049,60,13620,99,100,90,20,10,0,50,100,90,15,8
2050,60,13620,99,100,90,20,10,0,50,100,90,15,8
