year,mat_virgin_eff,mat_massperm2,mat_MFG_eff,mat_MFG_scrap_Recycled,mat_MFG_scrap_Recycling_eff,mat_MFG_scrap_Recycled_into_HQ,mat_MFG_scrap_Recycled_into_HQ_Reused4MFG,mat_PG3_ReMFG_target,mat_ReMFG_yield,mat_PG4_Recycling_target,mat_Recycling_yield,mat_EOL_Recycled_into_HQ,mat_EOL_RecycledHQ_Reused4MFG
year,%,g,%,%,%,%,%,%,%,%,%,%,%
1995,89.3,0,0,0,0,0,0,0,0,0,0,0,0
1996,100,0,0,0,0,0,0,0,0,0,0,0,0
1997,100,0,0,0,0,0,0,0,0,0,0,0,0
1998,100,0,0,0,0,0,0,0,0,0,0,0,0
1999,100,0,0,0,0,0,0,0,0,0,0,0,0
2000,100,0,0,0,0,0,0,0,0,0,0,0,0
2001,100,0,0,0,0,0,0,0,0,0,0,0,0
2002,100,0,0,0,0,0,0,0,0,0,0,0,0
2003,100,0,0,0,0,0,0,0,0,0,0,0,0
2004,100,8.21967764,85,,,0,0,0,0,0,0,0,0
2005,100,8.21967764,,,,,100,,,,,,
2006,100,8.21967764,,,,,,,,,,,
2007,100,8.21967764,,,,,,,,,,,
2008,100,8.21967764,,,,,,,,,,,
2009,100,8.21967764,,,,,,,,,,,
2010,100,8.21967764,,,,,,,,,,,
2011,100,8.21967764,,,,,,,,,,,
2012,100,8.21967764,,,,,,,,,,,
2013,100,8.21967764,,,,,,,,,,,
2014,100,8.21967764,,,,,,,,,,,
2015,100,8.21967764,,,,,,,,,,,
2016,100,8.21967764,,,,,,,,,,,
2017,100,8.21967764,,,,,,,,,,,
2018,100,8.21967764,,,,,,,,,,,
2019,100,8.21967764,,,,,,,,,,,
2020,100,8.21967764,,,,,,,,,,,
2021,100,8.21967764,,,,,,,,,,,
2022,100,8.21967764,,,,,,,,,,,
2023,100,8.21967764,,,,,,,,,,,
2024,100,8.21967764,,,,,,,,,,,
2025,100,5.479785093,,,,,,,,,,,
2026,100,5.479785093,,,,,,,,,,,
2027,100,5.479785093,,,,,,,,,,,
2028,100,5.479785093,,,,,,,,,,,
2029,100,5.479785093,,,,,,,,,,,
2030,100,5.479785093,,,,,,,,,,,
2031,100,5.479785093,,,,,,,,,,,
2032,100,5.479785093,,,,,,,,,,,
2033,100,5.479785093,,,,,,,,,,,
2034,100,5.479785093,,,,,,,,,,,
2035,100,5.479785093,,,,,,,,,,,
2036,100,5.479785093,,,,,,,,,,,
2037,100,5.479785093,,,,,,,,,,,
2038,100,5.479785093,,,,,,,,,,,
2039,100,5.479785093,,,,,,,,,,,
2040,100,5.479785093,,,,,,,,,,,
2041,100,5.479785093,,,,,,,,,,,
2042,100,5.479785093,,,,,,,,,,,
2043,100,5.479785093,,,,,,,,,,,
2044,100,5.479785093,,,,,,,,,,,
2045,100,5.479785093,,,,,,,,,,,
2046,100,5.479785093,,,,,,,,,,,
2047,100,5.479785093,,,,,,,,,,,
2048,100,5.479785093,,,,,,,,,,,
2049,100,5.479785093,,,,,,,,,,,
2050,100,5.479785093,,,,,,,,,,,
