year,e_mat_extraction,e_mat_MFG,e_mat_MFG_fuelfraction,e_mat_MFGScrap_LQ,e_mat_MFGScrap_HQ,e_mat_Landfill,e_mat_Landfill_fuelfraction,e_mat_EoL_ReMFG_clean,e_mat_Recycled_LQ,e_mat_Recycled_HQ,e_mat_Recycled_HQ_fuelfraction
year,kWh/kg,kWh/kg,%,kWh/kg,kWh/kg,kWh/kg,%,kWh/kg,kWh/kg,kWh/kg,%
1995,4,15.59,25.97,230,4,0.1,0,0,230,4,0
1996,4,15.52,26.21,230,4,0.1,0,0,230,4,0
1997,4,15.41,26.41,230,4,0.1,0,0,230,4,0
1998,4,15.38,27.02,230,4,0.1,0,0,230,4,0
1999,4,15.27,27.38,230,4,0.1,0,0,230,4,0
2000,4,15.48,28.74,230,4,0.1,0,0,230,4,0
2001,4,15.22,28.75,230,4,0.1,0,0,230,4,0
2002,4,15.16,29.37,230,4,0.1,0,0,230,4,0
2003,4,15.21,29.96,230,4,0.1,0,0,230,4,0
2004,4,15.41,30.94,230,4,0.1,0,0,230,4,0
2005,4,15.52,31.67,230,4,0.1,0,0,230,4,0
2006,4,15.52,32.14,230,4,0.1,0,0,230,4,0
2007,4,15.54,32.67,230,4,0.1,0,0,230,4,0
2008,4,15.54,30.96,230,4,0.1,0,0,230,4,0
2009,4,15.46,30.74,230,4,0.1,0,0,230,4,0
2010,4,15.46,30.74,230,4,0.1,0,0,230,4,0
2011,4,15.36,30.5,230,4,0.1,0,0,230,4,0
2012,4,15.41,30.63,230,4,0.1,0,0,230,4,0
2013,4,15.46,30.76,230,4,0.1,0,0,230,4,0
2014,4,15.4,30.62,230,4,0.1,0,0,230,4,0
2015,4,15.47,30.77,230,4,0.1,0,0,230,4,0
2016,4,15.59,31.07,230,4,0.1,0,0,230,4,0
2017,4,15.6,31.09,230,4,0.1,0,0,230,4,0
2018,4,15.6,31.11,230,4,0.1,0,0,230,4,0
2019,4,15.53,30.92,230,4,0.1,0,0,230,4,0
2020,4,15.54,30.95,230,4,0.1,0,0,230,4,0
2021,4,15.66,31.24,230,4,0.1,0,0,230,4,0
2022,4,15.66,31.24,230,4,0.1,0,0,230,4,0
2023,4,15.66,31.24,230,4,0.1,0,0,230,4,0
2024,4,15.66,31.24,230,4,0.1,0,0,230,4,0
2025,4,15.66,31.24,230,4,0.1,0,0,230,4,0
2026,4,15.66,31.24,230,4,0.1,0,0,230,4,0
2027,4,15.66,31.24,230,4,0.1,0,0,230,4,0
2028,4,15.66,31.24,230,4,0.1,0,0,230,4,0
2029,4,15.66,31.24,230,4,0.1,0,0,230,4,0
2030,4,15.66,31.24,230,4,0.1,0,0,230,4,0
2031,4,15.66,31.24,230,4,0.1,0,0,230,4,0
2032,4,15.66,31.24,230,4,0.1,0,0,230,4,0
2033,4,15.66,31.24,230,4,0.1,0,0,230,4,0
2034,4,15.66,31.24,230,4,0.1,0,0,230,4,0
2035,4,15.66,31.24,230,4,0.1,0,0,230,4,0
2036,4,15.66,31.24,230,4,0.1,0,0,230,4,0
2037,4,15.66,31.24,230,4,0.1,0,0,230,4,0
2038,4,15.66,31.24,230,4,0.1,0,0,230,4,0
2039,4,15.66,31.24,230,4,0.1,0,0,230,4,0
2040,4,15.66,31.24,230,4,0.1,0,0,230,4,0
2041,4,15.66,31.24,230,4,0.1,0,0,230,4,0
2042,4,15.66,31.24,230,4,0.1,0,0,230,4,0
2043,4,15.66,31.24,230,4,0.1,0,0,230,4,0
2044,4,15.66,31.24,230,4,0.1,0,0,230,4,0
2045,4,15.66,31.24,230,4,0.1,0,0,230,4,0
2046,4,15.66,31.24,230,4,0.1,0,0,230,4,0
2047,4,15.66,31.24,230,4,0.1,0,0,230,4,0
2048,4,15.66,31.24,230,4,0.1,0,0,230,4,0
2049,4,15.66,31.24,230,4,0.1,0,0,230,4,0
2050,4,15.66,31.24,230,4,0.1,0,0,230,4,0
