year,e_mat_extraction,e_mat_MFG,e_mat_MFG_fuelfraction,e_mat_MFGScrap_LQ,e_mat_MFGScrap_HQ,e_mat_Landfill,e_mat_Landfill_fuelfraction,e_mat_EoL_ReMFG_clean,e_mat_Recycled_LQ,e_mat_Recycled_HQ,e_mat_Recycled_HQ_fuelfraction
year,kWh/kg,kWh/kg,%,kWh/kg,kWh/kg,kWh/kg,%,kWh/kg,kWh/kg,kWh/kg,%
1995,2,9.07,39.39,250,50,0.1,0,0,250,50,0
1996,2,9.07,39.39,250,50,0.1,0,0,250,50,0
1997,2,9.07,39.39,250,50,0.1,0,0,250,50,0
1998,2,9.07,39.39,250,50,0.1,0,0,250,50,0
1999,2,9.07,39.39,250,50,0.1,0,0,250,50,0
2000,2,9.07,39.39,250,50,0.1,0,0,250,50,0
2001,2,9.07,39.39,250,50,0.1,0,0,250,50,0
2002,2,9.07,39.39,250,50,0.1,0,0,250,50,0
2003,2,9.07,39.39,250,50,0.1,0,0,250,50,0
2004,2,9.07,39.39,250,50,0.1,0,0,250,50,0
2005,2,9.07,39.39,250,50,0.1,0,0,250,50,0
2006,2,9.07,39.39,250,50,0.1,0,0,250,50,0
2007,2,9.07,39.39,250,50,0.1,0,0,250,50,0
2008,2,9.07,39.39,250,50,0.1,0,0,250,50,0
2009,2,9.07,39.39,250,50,0.1,0,0,250,50,0
2010,2,9.29,38.34,250,50,0.1,0,0,250,50,0
2011,2,9.51,37.2,250,50,0.1,0,0,250,50,0
2012,2,9.73,35.98,250,50,0.1,0,0,250,50,0
2013,2,9.95,34.69,250,50,0.1,0,0,250,50,0
2014,2,10.17,33.34,250,50,0.1,0,0,250,50,0
2015,2,10.38,31.91,250,50,0.1,0,0,250,50,0
2016,2,10.6,30.44,250,50,0.1,0,0,250,50,0
2017,2,10.82,28.9,250,50,0.1,0,0,250,50,0
2018,2,11.04,27.31,250,50,0.1,0,0,250,50,0
2019,2,11.26,25.68,250,50,0.1,0,0,250,50,0
2020,2,11.48,23.99,250,50,0.1,0,0,250,50,0
2021,2,11.7,22.26,250,50,0.1,0,0,250,50,0
2022,2,11.92,20.49,250,50,0.1,0,0,250,50,0
2023,2,12.14,18.69,250,50,0.1,0,0,250,50,0
2024,2,12.14,18.69,250,50,0.1,0,0,250,50,0
2025,2,12.14,18.69,250,50,0.1,0,0,250,50,0
2026,2,12.14,18.69,250,50,0.1,0,0,250,50,0
2027,2,12.14,18.69,250,50,0.1,0,0,250,50,0
2028,2,12.14,18.69,250,50,0.1,0,0,250,50,0
2029,2,12.14,18.69,250,50,0.1,0,0,250,50,0
2030,2,12.14,18.69,250,50,0.1,0,0,250,50,0
2031,2,12.14,18.69,250,50,0.1,0,0,250,50,0
2032,2,12.14,18.69,250,50,0.1,0,0,250,50,0
2033,2,12.14,18.69,250,50,0.1,0,0,250,50,0
2034,2,12.14,18.69,250,50,0.1,0,0,250,50,0
2035,2,12.14,18.69,250,50,0.1,0,0,250,50,0
2036,2,12.14,18.69,250,50,0.1,0,0,250,50,0
2037,2,12.14,18.69,250,50,0.1,0,0,250,50,0
2038,2,12.14,18.69,250,50,0.1,0,0,250,50,0
2039,2,12.14,18.69,250,50,0.1,0,0,250,50,0
2040,2,12.14,18.69,250,50,0.1,0,0,250,50,0
2041,2,12.14,18.69,250,50,0.1,0,0,250,50,0
2042,2,12.14,18.69,250,50,0.1,0,0,250,50,0
2043,2,12.14,18.69,250,50,0.1,0,0,250,50,0
2044,2,12.14,18.69,250,50,0.1,0,0,250,50,0
2045,2,12.14,18.69,250,50,0.1,0,0,250,50,0
2046,2,12.14,18.69,250,50,0.1,0,0,250,50,0
2047,2,12.14,18.69,250,50,0.1,0,0,250,50,0
2048,2,12.14,18.69,250,50,0.1,0,0,250,50,0
2049,2,12.14,18.69,250,50,0.1,0,0,250,50,0
2050,2,12.14,18.69,250,50,0.1,0,0,250,50,0
