year,mat_virgin_eff,mat_massperm2,mat_MFG_eff,mat_MFG_scrap_Recycled,mat_MFG_scrap_Recycling_eff,mat_MFG_scrap_Recycled_into_HQ,mat_MFG_scrap_Recycled_into_HQ_Reused4MFG,mat_PG3_ReMFG_target,mat_ReMFG_yield,mat_PG4_Recycling_target,mat_Recycling_yield,mat_EOL_Recycled_into_HQ,mat_EOL_RecycledHQ_Reused4MFG
year,%,g,%,%,%,%,%,%,%,%,%,%,%
1995,60,12500,95,80,50,20,10,0,50,90,40,15,8
1996,60,12500,95,80,50,20,10,0,50,90,40,15,8
1997,60,12500,95,80,50,20,10,0,50,90,40,15,8
1998,60,12500,95,80,50,20,10,0,50,90,40,15,8
1999,60,12500,95,80,50,20,10,0,50,90,40,15,8
2000,60,12500,95,80,50,20,10,0,50,90,40,15,8
2001,60,12500,95,80,50,20,10,0,50,90,40,15,8
2002,60,12500,95,80,50,20,10,0,50,90,40,15,8
2003,60,12500,95,80,50,20,10,0,50,90,40,15,8
2004,60,12500,95,80,50,20,10,0,50,90,40,15,8
2005,60,12500,95,80,50,20,10,0,50,90,40,15,8
2006,60,12500,95,80,50,20,10,0,50,90,40,15,8
2007,60,12500,95,80,50,20,10,0,50,90,40,15,8
2008,60,12500,95,80,50,20,10,0,50,90,40,15,8
2009,60,12500,95,80,50,20,10,0,50,90,40,15,8
2010,60,12500,95,80,50,20,10,0,50,90,40,15,8
2011,60,12500,95,80,50,20,10,0,50,90,40,15,8
2012,60,12500,95,80,50,20,10,0,50,90,40,15,8
2013,60,12500,95,80,50,20,10,0,50,90,40,15,8
2014,60,12500,95.2,80,50,20,10,0,50,90,40,15,8
2015,60,12500,95.5,80,50,20,10,0,50,90,40,15,8
2016,60,12500,95.7,80,50,20,10,0,50,90,40,15,8
2017,60,12500,95.9,80,50,20,10,0,50,90,40,15,8
2018,60,12500,96.2,80,50,20,10,0,50,90,40,15,8
2019,60,12500,96.4,80,50,20,10,0,50,90,40,15,8
2020,60,12867.5,96.6,80,50,20,10,0,50,90,40,15,8
2021,60,12675,96.9,80,50,20,10,0,50,90,40,15,8
2022,60,12657.5,97.1,80,50,20,10,0,50,90,40,15,8
2023,60,12465,97.4,80,50,20,10,0,50,90,40,15,8
2024,60,12395,97.6,80,50,20,10,0,50,90,40,15,8
2025,60,12333.75,97.8,80,50,20,10,0,50,90,40,15,8
2026,60,12272.5,98.1,80,50,20,10,0,50,90,40,15,8
2027,60,12202.5,98.3,80,50,20,10,0,50,90,40,15,8
2028,60,12132.5,98.5,80,50,20,10,0,50,90,40,15,8
2029,60,12074.16667,98.8,80,50,20,10,0,50,90,40,15,8
2030,60,12015.83333,99,80,50,20,10,0,50,90,40,15,8
2031,60,11957.5,99,80,50,20,10,0,50,90,40,15,8
2032,60,11893.33333,99,80,50,20,10,0,50,90,40,15,8
2033,60,11829.16667,99,80,50,20,10,0,50,90,40,15,8
2034,60,11765,99,80,50,20,10,0,50,90,40,15,8
2035,60,11765,99,80,50,20,10,0,50,90,40,15,8
2036,60,11765,99,80,50,20,10,0,50,90,40,15,8
2037,60,11765,99,80,50,20,10,0,50,90,40,15,8
2038,60,11765,99,80,50,20,10,0,50,90,40,15,8
2039,60,11765,99,80,50,20,10,0,50,90,40,15,8
2040,60,11765,99,80,50,20,10,0,50,90,40,15,8
2041,60,11765,99,80,50,20,10,0,50,90,40,15,8
2042,60,11765,99,80,50,20,10,0,50,90,40,15,8
2043,60,11765,99,80,50,20,10,0,50,90,40,15,8
2044,60,11765,99,80,50,20,10,0,50,90,40,15,8
2045,60,11765,99,80,50,20,10,0,50,90,40,15,8
2046,60,11765,99,80,50,20,10,0,50,90,40,15,8
2047,60,11765,99,80,50,20,10,0,50,90,40,15,8
2048,60,11765,99,80,50,20,10,0,50,90,40,15,8
2049,60,11765,99,80,50,20,10,0,50,90,40,15,8
2050,60,11765,99,80,50,20,10,0,50,90,40,15,8
