Year,Cumulative_PV_capacity_MW
2020,40.921
2021,47.713886
2022,55.63439108
2023,64.86969999
2024,75.63807019
2025,88.19398985
2026,102.8341922
2027,119.9046681
2028,139.808843
2029,163.0171109
2030,190.0779513
2031,221.6308912
2032,231.6042813
2033,242.026474
2034,252.9176653
2035,264.2989602
2036,276.1924135
2037,288.6210721
2038,301.6090203
2039,315.1814262
2040,329.3645904
2041,344.185997
2042,359.6743668
2043,375.8597133
2044,392.7734004
2045,410.4482034
2046,428.9183726
2047,448.2196994
2048,468.3895858
2049,489.4671172
2050,511.4931375
