Year,Scenario,mass_fraction_PV_materials_repaired_milliontonnes,mass_fraction_PV_materials_reused_milliontonnes,mass_fraction_PV_materials_recycled_milliontonnes,mass_fraction_PV_materials_landfilled_milliontonnes,mass_fraction_PV_materials_stored_milliontonnes
2020,i) Baseline,0,0,0,0,0
2021,i) Baseline,0,0.01759103,1.04E-04,2.94E-01,0.688584222
2022,i) Baseline,0,0.018713094,3.64E-05,4.08E-01,0.572950147
2023,i) Baseline,0,0.030077775,1.96E-05,4.51E-01,0.519313918
2024,i) Baseline,0,0.05777918,1.22E-05,5.14E-01,0.428461938
2025,i) Baseline,0.000164612,0.09094862,3.10E-04,6.00E-01,0.308937011
2026,i) Baseline,0.000560721,0.103083993,5.70E-04,6.38E-01,0.257497353
2027,i) Baseline,0.000980399,0.107131204,6.48E-04,6.47E-01,0.244103236
2028,i) Baseline,0.001333295,0.104294273,7.77E-04,6.37E-01,0.256434003
2029,i) Baseline,0.001666917,0.10034908,9.26E-04,6.22E-01,0.275309997
2030,i) Baseline,0.002121764,0.096615252,1.08E-03,6.11E-01,0.289622917
2031,i) Baseline,0.002846705,0.092983983,1.37E-03,6.14E-01,0.288707586
2032,i) Baseline,0.004008205,0.079631213,2.11E-03,6.14E-01,0.300493294
2033,i) Baseline,0.004716822,0.068724134,2.84E-03,6.07E-01,0.317071555
2034,i) Baseline,0.005042549,0.060599187,4.45E-03,6.26E-01,0.303653651
2035,i) Baseline,0.005012302,0.05377828,6.44E-03,6.58E-01,0.277018963
2036,i) Baseline,0.005483275,0.047577849,9.62E-03,6.84E-01,0.252852055
2037,i) Baseline,0.005673236,0.042167279,1.43E-02,7.13E-01,0.224983326
2038,i) Baseline,0.005588798,0.037642917,1.89E-02,7.35E-01,0.203049837
2039,i) Baseline,0.00558094,0.033748899,2.33E-02,7.51E-01,0.186124504
2040,i) Baseline,0.00530705,0.030203125,2.82E-02,7.70E-01,0.166421462
2041,i) Baseline,0.004953437,0.027171446,3.29E-02,7.83E-01,0.151901218
2042,i) Baseline,0.00461771,0.024406251,3.66E-02,7.89E-01,0.145390632
2043,i) Baseline,0.004295356,0.022080414,4.27E-02,8.04E-01,0.126774255
2044,i) Baseline,0.003868493,0.020078134,4.82E-02,8.18E-01,0.11002868
2045,i) Baseline,0.003624433,0.018324132,5.39E-02,8.27E-01,0.09756736
2046,i) Baseline,0.003312446,0.016695421,5.92E-02,8.33E-01,0.08771295
2047,i) Baseline,0.003022855,0.015273456,6.42E-02,8.39E-01,0.078457062
2048,i) Baseline,0.002759587,0.014079058,6.84E-02,8.43E-01,0.071319225
2049,i) Baseline,0.002552264,0.012980287,7.28E-02,8.47E-01,0.064389622
2050,i) Baseline,0.002360791,0.012079212,7.69E-02,8.50E-01,0.058371302
2020,c) Lower recycling costs ($18/module),0,0,0.00E+00,0.00E+00,0
2021,c) Lower recycling costs ($18/module),0,0.017591243,3.53E-04,2.94E-01,0.688202625
2022,c) Lower recycling costs ($18/module),0,0.018684023,1.23E-04,4.09E-01,0.572684747
2023,c) Lower recycling costs ($18/module),0,0.030260587,6.64E-05,4.51E-01,0.519001519
2024,c) Lower recycling costs ($18/module),0,0.058639896,4.14E-05,5.14E-01,0.427727642
2025,c) Lower recycling costs ($18/module),7.19E-05,0.091983411,1.09E-03,5.98E-01,0.308739017
2026,c) Lower recycling costs ($18/module),0.000449269,0.103419588,3.20E-03,6.35E-01,0.257835331
2027,c) Lower recycling costs ($18/module),0.000876316,0.107357645,5.01E-03,6.44E-01,0.24233956
2028,c) Lower recycling costs ($18/module),0.000946414,0.104624841,6.55E-03,6.34E-01,0.253885753
2029,c) Lower recycling costs ($18/module),0.001044122,0.100359438,7.57E-03,6.19E-01,0.271801461
2030,c) Lower recycling costs ($18/module),0.001237817,0.097310245,8.96E-03,6.06E-01,0.286885206
2031,c) Lower recycling costs ($18/module),0.001603826,0.093170747,1.08E-02,6.10E-01,0.284865442
2032,c) Lower recycling costs ($18/module),0.002214388,0.079592187,1.82E-02,6.05E-01,0.295159842
2033,c) Lower recycling costs ($18/module),0.002518008,0.069720123,2.69E-02,5.89E-01,0.312280839
2034,c) Lower recycling costs ($18/module),0.002281324,0.06206603,4.18E-02,5.94E-01,0.299340522
2035,c) Lower recycling costs ($18/module),0.002046784,0.055117501,6.59E-02,6.04E-01,0.272521775
