year,mat_virgin_eff,mat_massperm2,mat_MFG_eff,mat_MFG_scrap_Recycled,mat_MFG_scrap_Recycling_eff,mat_MFG_scrap_Recycled_into_HQ,mat_MFG_scrap_Recycled_into_HQ_Reused4MFG,mat_EOL_collected_Recycled,mat_EOL_Recycling_eff,mat_EOL_Recycled_into_HQ,mat_EOL_RecycledHQ_Reused4MFG
year,%,g,%,%,%,%,%,%,%,%,%
2009,100,8000,77,80,50,20,10,100,40,15,8
2010,100,8000,78,80,50,20,10,100,40,15,8
2011,100,8000,78,80,50,20,10,100,40,15,8
2012,100,8000,78,80,50,20,10,100,40,15,8
2013,100,8160,79,80,50,20,10,100,40,15,8
2014,100,8320,79,80,50,20,10,100,40,15,8
2015,100,8280,80,80,50,20,10,100,40,15,8
2016,100,8240,81,80,50,20,10,100,40,15,8
2017,100,8225,82,80,50,20,10,100,40,15,8
2018,100,8750,82,80,50,20,10,100,40,15,8
2019,100,8800,82,80,50,20,10,100,40,15,8
2020,100,8800,83,80,50,20,10,100,40,15,8
2021,100,8800,83,80,50,20,10,100,40,15,8
2022,100,8800,83,80,50,20,10,100,40,15,8
2023,100,8800,83,80,50,20,10,100,40,15,8
2024,100,8800,83,80,50,20,10,100,40,15,8
2025,100,8800,83,80,50,20,10,100,40,15,8
2026,100,8800,83,80,50,20,10,100,40,15,8
2027,100,8800,83,80,50,20,10,100,40,15,8
2028,100,8875,83,80,50,20,10,100,40,15,8
2029,100,8875,83,80,50,20,10,100,40,15,8
2030,100,8875,83,80,50,20,10,100,40,15,8
2031,100,8875,83,80,50,20,10,100,40,15,8
2032,100,8875,83,80,50,20,10,100,40,15,8
2033,100,8875,83,80,50,20,10,100,40,15,8
2034,100,8875,83,80,50,20,10,100,40,15,8
2035,100,8875,83,80,50,20,10,100,40,15,8
2036,100,8875,83,80,50,20,10,100,40,15,8
2037,100,8875,83,80,50,20,10,100,40,15,8
2038,100,8875,83,80,50,20,10,100,40,15,8
2039,100,8875,83,80,50,20,10,100,40,15,8
2040,100,8875,83,80,50,20,10,100,40,15,8
2041,100,8875,83,80,50,20,10,100,40,15,8
2042,100,8875,83,80,50,20,10,100,40,15,8
2043,100,8875,83,80,50,20,10,100,40,15,8
2044,100,8875,83,80,50,20,10,100,40,15,8
2045,100,8875,83,80,50,20,10,100,40,15,8
2046,100,8875,83,80,50,20,10,100,40,15,8
2047,100,8875,83,80,50,20,10,100,40,15,8
2048,100,8875,83,80,50,20,10,100,40,15,8
2049,100,8875,83,80,50,20,10,100,40,15,8
2050,100,8875,83,80,50,20,10,100,40,15,8
