year,mat_virgin_eff,mat_massperm2,mat_MFG_eff,mat_MFG_scrap_Recycled,mat_MFG_scrap_Recycling_eff,mat_MFG_scrap_Recycled_into_HQ,mat_MFG_scrap_Recycled_into_HQ_Reused4MFG,mat_EOL_collected_Recycled,mat_EOL_Recycling_eff,mat_EOL_Recycled_into_HQ,mat_EOL_RecycledHQ_Reused4MFG
year,%,g,%,%,%,%,%,%,%,%,%
2009,100,1000,100,100,60,100,100,100,42,100,100
2010,100,1000,100,100,60,100,100,100,42,100,100
2011,100,1000,100,100,60,100,100,100,42,100,100
2012,100,1000,100,100,60,100,100,100,42,100,100
2013,100,1000,100,100,60,100,100,100,42,100,100
2014,100,1000,100,100,60,100,100,100,42,100,100
2015,100,1000,100,100,60,100,100,100,42,100,100
2016,100,1000,100,100,60,100,100,100,42,100,100
2017,100,1000,100,100,60,100,100,100,42,100,100
2018,100,1000,100,100,60,100,100,100,42,100,100
2019,100,1000,100,100,60,100,100,100,42,100,100
2020,100,1000,100,100,60,100,100,100,42,100,100
2021,100,1000,100,100,60,100,100,100,42,100,100
2022,100,1000,100,100,60,100,100,100,42,100,100
2023,100,1000,100,100,60,100,100,100,42,100,100
2024,100,1000,100,100,60,100,100,100,42,100,100
2025,100,1000,100,100,60,100,100,100,42,100,100
2026,100,1000,100,100,60,100,100,100,42,100,100
2027,100,1000,100,100,60,100,100,100,42,100,100
2028,100,1000,100,100,60,100,100,100,42,100,100
2029,100,1000,100,100,60,100,100,100,42,100,100
2030,100,1000,100,100,60,100,100,100,42,100,100
2031,100,1000,100,100,60,100,100,100,42,100,100
2032,100,1000,100,100,60,100,100,100,42,100,100
2033,100,1000,100,100,60,100,100,100,42,100,100
2034,100,1000,100,100,60,100,100,100,42,100,100
2035,100,1000,100,100,60,100,100,100,42,100,100
2036,100,1000,100,100,60,100,100,100,42,100,100
2037,100,1000,100,100,60,100,100,100,42,100,100
2038,100,1000,100,100,60,100,100,100,42,100,100
2039,100,1000,100,100,60,100,100,100,42,100,100
2040,100,1000,100,100,60,100,100,100,42,100,100
2041,100,1000,100,100,60,100,100,100,42,100,100
2042,100,1000,100,100,60,100,100,100,42,100,100
2043,100,1000,100,100,60,100,100,100,42,100,100
2044,100,1000,100,100,60,100,100,100,42,100,100
2045,100,1000,100,100,60,100,100,100,42,100,100
2046,100,1000,100,100,60,100,100,100,42,100,100
2047,100,1000,100,100,60,100,100,100,42,100,100
2048,100,1000,100,100,60,100,100,100,42,100,100
2049,100,1000,100,100,60,100,100,100,42,100,100
2050,100,1000,100,100,60,100,100,100,42,100,100
