year,mat_virgin_eff,mat_massperm2,mat_MFG_eff,mat_MFG_scrap_Recycled,mat_MFG_scrap_Recycling_eff,mat_MFG_scrap_Recycled_into_HQ,mat_MFG_scrap_Recycled_into_HQ_Reused4MFG,mat_EOL_collected_Recycled,mat_EOL_Recycling_eff,mat_EOL_Recycled_into_HQ,mat_EOL_RecycledHQ_Reused4MFG
year,%,g,%,%,%,%,%,%,%,%,%
2009,100,419.22,31.31355595,100,20,0,100,20,80,0,0
2010,100,419.22,49.33536239,100,20,0,100,20,80,0,0
2011,100,419.22,49.66181831,100,20,0,100,20,80,0,0
2012,100,419.22,48.63711241,100,20,0,100,20,80,0,0
2013,100,419.22,49.92050096,100,20,0,100,20,80,0,0
2014,100,419.22,50.13317643,100,20,0,100,20,80,0,0
2015,100,419.22,50.54035646,100,20,0,100,20,80,0,0
2016,100,419.22,53.4170004,100,20,0,100,20,80,0,0
2017,100,419.22,59.32333715,100,20,0,100,20,80,0,0
2018,100,410.8550083,63.60055267,100,20,0,100,20,80,0,0
2019,100,402.1406667,65.06394011,100,20,0,100,20,80,0,0
2020,100,380.0539833,66.72675976,100,20,0,100,20,80,0,0
2021,100,367.3803416,66.18084496,100,20,0,100,20,80,0,0
2022,100,354.7067,65.58767292,100,20,0,100,20,80,0,0
2023,100,348.4960334,66.98371616,100,20,0,100,20,80,0,0
2024,100,342.2853667,68.78493968,100,20,0,100,20,80,0,0
2025,100,336.0112995,69.37974021,100,20,0,100,20,80,0,0
2026,100,329.7372322,69.84836065,100,20,0,100,20,80,0,0
2027,100,323.463165,70.19056462,100,20,0,100,20,80,0,0
2028,100,320.4082933,70.65569711,100,20,0,100,20,80,0,0
2029,100,317.3534217,71.12557438,100,20,0,100,20,80,0,0
2030,100,314.29855,71.60023678,100,20,0,100,20,80,0,0
2031,100,314.29855,71.60023678,100,20,0,100,20,80,0,0
2032,100,314.29855,71.60023678,100,20,0,100,20,80,0,0
2033,100,314.29855,71.60023678,100,20,0,100,20,80,0,0
2034,100,314.29855,71.60023678,100,20,0,100,20,80,0,0
2035,100,314.29855,71.60023678,100,20,0,100,20,80,0,0
2036,100,314.29855,71.60023678,100,20,0,100,20,80,0,0
2037,100,314.29855,71.60023678,100,20,0,100,20,80,0,0
2038,100,314.29855,71.60023678,100,20,0,100,20,80,0,0
2039,100,314.29855,71.60023678,100,20,0,100,20,80,0,0
2040,100,314.29855,71.60023678,100,20,0,100,20,80,0,0
2041,100,314.29855,71.60023678,100,20,0,100,20,80,0,0
2042,100,314.29855,71.60023678,100,20,0,100,20,80,0,0
2043,100,314.29855,71.60023678,100,20,0,100,20,80,0,0
2044,100,314.29855,71.60023678,100,20,0,100,20,80,0,0
2045,100,314.29855,71.60023678,100,20,0,100,20,80,0,0
2046,100,314.29855,71.60023678,100,20,0,100,20,80,0,0
2047,100,314.29855,71.60023678,100,20,0,100,20,80,0,0
2048,100,314.29855,71.60023678,100,20,0,100,20,80,0,0
2049,100,314.29855,71.60023678,100,20,0,100,20,80,0,0
2050,100,314.29855,71.60023678,100,20,0,100,20,80,0,0
