year,mat_virgin_eff,mat_massperm2,mat_MFG_eff,mat_MFG_scrap_Recycled,mat_MFG_scrap_Recycling_eff,mat_MFG_scrap_Recycled_into_HQ,mat_MFG_scrap_Recycled_into_HQ_Reused4MFG,mat_EOL_collected_Recycled,mat_EOL_Recycling_eff,mat_EOL_Recycled_into_HQ,mat_EOL_RecycledHQ_Reused4MFG
year,%,g,%,%,%,%,%,%,%,%,%
1995,99.9,25028.9489,100,0,0,0,0,0,0,0,0
1996,99.9,24497.43506,100,0,0,0,0,0,0,0,0
1997,99.9,23977.20843,100,0,0,0,0,0,0,0,0
1998,99.9,23468.02931,100,0,0,0,0,0,0,0,0
1999,99.9,22969.6631,100,0,0,0,0,0,0,0,0
2000,99.9,22481.88018,100,0,0,0,0,0,0,0,0
2001,99.9,22004.4558,100,0,0,0,0,0,0,0,0
2002,99.9,21537.16998,100,0,0,0,0,0,0,0,0
2003,99.9,21079.80743,100,0,0,0,0,0,0,0,0
2004,99.9,20632.15742,100,0,0,0,0,0,0,0,0
2005,99.9,20194.01368,100,0,0,0,0,0,0,0,0
2006,99.9,19765.17435,100,0,0,0,0,0,0,0,0
2007,99.9,19345.44183,100,0,0,0,0,0,0,0,0
2008,99.9,18934.62274,100,0,0,0,0,0,0,0,0
2009,99.9,18532.52779,100,0,0,0,0,0,0,0,0
2010,99.9,18138.97171,100,0,0,0,0,0,0,0,0
2011,99.9,17753.77317,100,0,0,0,0,0,0,0,0
2012,99.9,17376.75469,100,0,0,0,0,0,0,0,0
2013,99.9,17007.74257,100,0,0,0,0,0,0,0,0
2014,99.9,16646.56677,100,0,0,0,0,0,0,0,0
2015,99.9,16293.06089,100,0,0,0,0,0,0,0,0
2016,99.9,15947.06205,100,0,0,0,0,0,0,0,0
2017,99.9,15608.41083,100,0,0,0,0,0,0,0,0
2018,99.9,15276.95119,100,0,0,0,0,0,0,0,0
2019,99.9,14952.53041,100,0,0,0,0,0,0,0,0
2020,99.9,14634.99903,100,0,0,0,0,0,0,0,0
2021,99.9,14324.21072,100,0,0,0,0,0,0,0,0
2022,99.9,14020.02231,100,0,0,0,0,0,0,0,0
2023,99.9,13722.29363,100,0,0,0,0,0,0,0,0
2024,99.9,13430.88751,100,0,0,0,0,0,0,0,0
2025,99.9,13145.66967,100,0,0,0,0,0,0,0,0
2026,99.9,13543.69339,100,0,0,0,0,0,0,0,0
2027,99.9,12593.27601,100,0,0,0,0,0,0,0,0
2028,99.9,12325.84566,100,0,0,0,0,0,0,0,0
2029,99.9,12064.09446,100,0,0,0,0,0,0,0,0
2030,99.9,11807.90179,100,0,0,0,0,0,0,0,0
2031,99.9,11557.14962,100,0,0,0,0,0,0,0,0
2032,99.9,11311.72242,100,0,0,0,0,0,0,0,0
2033,99.9,11071.50709,100,0,0,0,0,0,0,0,0
2034,99.9,10836.39298,100,0,0,0,0,0,0,0,0
2035,99.9,10606.27173,100,0,0,0,0,0,0,0,0
2036,99.9,10381.03734,100,0,0,0,0,0,0,0,0
2037,99.9,10160.58601,100,0,0,0,0,0,0,0,0
2038,99.9,9944.816177,100,0,0,0,0,0,0,0,0
2039,99.9,9733.628426,100,0,0,0,0,0,0,0,0
2040,99.9,9526.92545,100,0,0,0,0,0,0,0,0
2041,99.9,9324.612011,100,0,0,0,0,0,0,0,0
2042,99.9,9126.594893,100,0,0,0,0,0,0,0,0
2043,99.9,8932.782859,100,0,0,0,0,0,0,0,0
2044,99.9,8743.08661,100,0,0,0,0,0,0,0,0
2045,99.9,8557.418744,100,0,0,0,0,0,0,0,0
2046,99.9,8375.693714,100,0,0,0,0,0,0,0,0
2047,99.9,8197.82779,100,0,0,0,0,0,0,0,0
2048,99.9,8023.73902,100,0,0,0,0,0,0,0,0
2049,99.9,7853.347193,100,0,0,0,0,0,0,0,0
2050,99.9,7686.5738,100,0,0,0,0,0,0,0,0
