nearest_RID,2025,2030,2035,Total
r1,77.83688466228155,694.1285725109472,6519.514205689712,7291.479662862941
r10,720.751323265013,5095.4766971752315,55966.6220686617,61782.85008910194
r11,90.30269163328576,793.4707910976085,5924.583455701433,6808.356938432327
r2,695.3396410198616,4374.623967579879,27971.75165851336,33041.715267113104
r3,891.0606366639472,6262.440280528313,37462.412695151055,44615.91361234331
r4,288.02175792003885,1798.1462407068307,12951.345618459885,15037.513617086755
r5,543.6909251185539,3405.4285856329675,40405.914036849914,44355.03354760144
r6,200.25127333557253,1382.2376002876754,12980.334989531228,14562.823863154475
r7,75.13132078223686,547.1701811203224,4978.578570506264,5600.880072408823
r8,30.58030262288513,252.80643734834834,2573.2320178166046,2856.618757787838
r9,416.61719895273217,3121.1855901202016,31139.57196279335,34677.374751866286
