,lat,long,nearest_RID,nearest_city,recycler_lat,recycler_lon,distance_km
p1,47.82099062,-121.4522522,r1,"Silver Springs, NV",39.41547,-119.22461,951.5859615015547
p10,35.12010447,-117.1590386,r3,"Fresno, CA",36.7378,-119.7871,297.2161671344099
p100,38.79110825,-78.25771359,r10,"Salisbury, NC",35.66862,-80.47871,398.9855107149941
p101,28.70869529,-82.19247661,r11,"Jacksonville, FL",30.33218,-81.65565,187.8469473993105
p102,26.67709172,-80.56373053,r11,"Jacksonville, FL",30.33218,-81.65565,420.1912136749457
p103,43.57419001,-84.55437763,r9,"Perrysburg, OH",41.553,-83.5835,238.39229993951238
p104,42.06225929,-85.90993949,r9,"Perrysburg, OH",41.553,-83.5835,200.9584920771566
p105,40.72939342,-86.25965362,r9,"Perrysburg, OH",41.553,-83.5835,242.07755327882114
p106,39.94240296,-86.10103966,r9,"Perrysburg, OH",41.553,-83.5835,277.55733900963793
p107,38.87073858,-86.34789005,r8,"Sparta, TN",35.9259,-85.46414,336.62348269458175
p108,37.49153121,-87.22032662,r8,"Sparta, TN",35.9259,-85.46414,234.11836923237448
p109,37.83050346,-84.51931615,r8,"Sparta, TN",35.9259,-85.46414,227.84322347502544
p11,33.03174695,-116.7176058,r4,"Yuma, AZ",32.6984,-114.6504,196.59592756195715
p110,37.37099172,-82.8503912,r8,"Sparta, TN",35.9259,-85.46414,283.16553489480157
p111,41.28166353,-81.83937601,r9,"Perrysburg, OH",41.553,-83.5835,148.52999798934468
p112,40.17734323,-82.81856565,r9,"Perrysburg, OH",41.553,-83.5835,165.93865705144736
p113,39.78941957,-83.9413805,r9,"Perrysburg, OH",41.553,-83.5835,198.41004369099386
p114,39.20877458,-84.23150769,r9,"Perrysburg, OH",41.553,-83.5835,266.38004883248954
p115,40.37731547,-79.86635294,r9,"Perrysburg, OH",41.553,-83.5835,338.34281615721756
p116,38.8763551,-80.19443111,r10,"Salisbury, NC",35.66862,-80.47871,357.56961123810504
p117,38.05258266,-81.7519919,r10,"Salisbury, NC",35.66862,-80.47871,288.265836839717
p118,37.06277512,-80.92007066,r10,"Salisbury, NC",35.66862,-80.47871,159.9804996674683
p119,41.3405889,-78.01141702,r9,"Perrysburg, OH",41.553,-83.5835,464.9443745924043
p12,39.59882101,-116.7842291,r1,"Silver Springs, NV",39.41547,-119.22461,210.34892426537897
p120,39.90665131,-77.895377,r9,"Perrysburg, OH",41.553,-83.5835,512.9414526924577
p121,39.55126096,-79.01946377,r9,"Perrysburg, OH",41.553,-83.5835,445.1436440646104
p122,40.92107394,-77.39607808,r9,"Perrysburg, OH",41.553,-83.5835,522.0095163889611
p123,39.07725918,-76.76367486,r10,"Salisbury, NC",35.66862,-80.47871,501.32775672215604
p124,37.81184868,-75.60492375,r10,"Salisbury, NC",35.66862,-80.47871,495.27869928852374
p125,39.04284209,-75.53282965,r10,"Salisbury, NC",35.66862,-80.47871,575.9160599866138
p126,40.24746962,-74.6629847,r10,"Salisbury, NC",35.66862,-80.47871,720.231516358238
p127,43.01255158,-75.57684419,r9,"Perrysburg, OH",41.553,-83.5835,678.0780691605644
p128,40.80291312,-73.25855327,r10,"Salisbury, NC",35.66862,-80.47871,850.0844763947451
p129,44.03042544,-72.66603564,r9,"Perrysburg, OH",41.553,-83.5835,931.6329134942331
p13,36.23284216,-115.0174041,r4,"Yuma, AZ",32.6984,-114.6504,394.4490474388209
p130,43.71401219,-71.56225601,r9,"Perrysburg, OH",41.553,-83.5835,1011.3396885680663
p131,42.31304362,-71.90533052,r9,"Perrysburg, OH",41.553,-83.5835,968.9496695573056
p132,41.60246114,-72.75108047,r9,"Perrysburg, OH",41.553,-83.5835,900.4669704864494
p133,41.66667273,-71.59672773,r9,"Perrysburg, OH",41.553,-83.5835,995.8422591037731
p134,45.39211237,-69.24794622,r9,"Perrysburg, OH",41.553,-83.5835,1230.9617333479134
p14,47.64818073,-116.6294762,r1,"Silver Springs, NV",39.41547,-119.22461,938.8874685919991
p15,44.43004937,-115.2177288,r1,"Silver Springs, NV",39.41547,-119.22461,648.4986264393622
p16,43.02868119,-112.4327899,r1,"Silver Springs, NV",39.41547,-119.22461,695.3974721781839
p17,46.82138594,-113.6065082,r1,"Silver Springs, NV",39.41547,-119.22461,940.7229119853215
p18,47.2494843,-110.2231123,r1,"Silver Springs, NV",39.41547,-119.22461,1133.7273134280779
p19,47.83744486,-106.8433126,r1,"Silver Springs, NV",39.41547,-119.22461,1364.4093968221703
p2,46.60869095,-121.4945952,r1,"Silver Springs, NV",39.41547,-119.22461,820.7690990788931
p20,46.4465773,-108.0131914,r1,"Silver Springs, NV",39.41547,-119.22461,1199.7489389304162
p21,43.04388094,-109.277895,r1,"Silver Springs, NV",39.41547,-119.22461,923.6740515268258
p22,44.32489043,-106.7112461,r1,"Silver Springs, NV",39.41547,-119.22461,1169.377831788552
p23,44.24892369,-105.0387513,r1,"Silver Springs, NV",39.41547,-119.22461,1290.0786246787668
p24,42.22317644,-105.8451005,r5,"Gilbert, AZ",33.35282,-111.78902,1115.378308655508
p25,39.1005072,-111.9317099,r1,"Silver Springs, NV",39.41547,-119.22461,628.7141951848664
p26,40.52141335,-110.3182862,r1,"Silver Springs, NV",39.41547,-119.22461,768.5446368237632
p27,35.72391313,-113.7436192,r5,"Gilbert, AZ",33.35282,-111.78902,318.67646461674997
p28,34.1838784,-111.6056914,r5,"Gilbert, AZ",33.35282,-111.78902,93.95048106018962
p29,35.34591005,-109.516242,r5,"Gilbert, AZ",33.35282,-111.78902,304.3661891248237
p3,47.92035993,-118.472439,r1,"Silver Springs, NV",39.41547,-119.22461,947.6218521833033
p30,32.04276153,-111.6857101,r5,"Gilbert, AZ",33.35282,-111.78902,145.99244006385845
p31,34.6249543,-106.5737299,r6,"Odessa, TX",31.84568,-102.36765,498.44686533729487
p32,44.05773319,-103.324472,r6,"Odessa, TX",31.84568,-102.36765,1360.481587463901
p33,40.03368077,-105.8666298,r5,"Gilbert, AZ",33.35282,-111.78902,910.9183464846994
p34,38.1055194,-105.2752917,r6,"Odessa, TX",31.84568,-102.36765,744.6551121554926
p35,47.1804594,-105.0375055,r1,"Silver Springs, NV",39.41547,-119.22461,1432.8746397970256
p36,47.15958973,-102.0734343,r9,"Perrysburg, OH",41.553,-83.5835,1591.7987136255533
p37,47.70645859,-99.03324693,r9,"Perrysburg, OH",41.553,-83.5835,1397.419576397117
p38,44.48283152,-99.79847762,r7,"Dallas, TX",32.7767,-96.797,1327.2563493083003
p39,41.74325238,-102.6958257,r6,"Odessa, TX",31.84568,-102.36765,1100.9466491281858
p4,47.4129124,-119.5470861,r1,"Silver Springs, NV",39.41547,-119.22461,889.6553492007995
p40,41.52161835,-99.18350983,r7,"Dallas, TX",32.7767,-96.797,995.0105036322489
p41,40.93518639,-96.34583201,r7,"Dallas, TX",32.7767,-96.797,908.0671802381928
p42,48.02901973,-95.4795737,r9,"Perrysburg, OH",41.553,-83.5835,1180.898340876947
p43,46.26358649,-93.66377494,r9,"Perrysburg, OH",41.553,-83.5835,961.3932535931943
p44,44.42138655,-95.74181715,r9,"Perrysburg, OH",41.553,-83.5835,1037.9391812582603
p45,42.41935156,-95.02634463,r9,"Perrysburg, OH",41.553,-83.5835,949.9355730594281
p46,45.46791696,-91.39624127,r9,"Perrysburg, OH",41.553,-83.5835,765.2476502979941
p47,33.48134861,-103.9155591,r6,"Odessa, TX",31.84568,-102.36765,232.53418277354632
p48,34.85870122,-101.7896096,r6,"Odessa, TX",31.84568,-102.36765,339.3055201152081
p49,36.74873009,-101.5000045,r6,"Odessa, TX",31.84568,-102.36765,550.9817252289846
p5,44.87742596,-120.8593635,r1,"Silver Springs, NV",39.41547,-119.22461,622.0781483362055
p50,35.30086027,-97.47670229,r7,"Dallas, TX",32.7767,-96.797,287.57427988421017
p51,36.28372003,-95.63163853,r7,"Dallas, TX",32.7767,-96.797,404.30065722046754
p52,38.7673038,-101.0284679,r7,"Dallas, TX",32.7767,-96.797,767.5270884515576
p53,38.39197065,-97.48884753,r7,"Dallas, TX",32.7767,-96.797,627.5107670649509
p54,39.68010457,-93.93551551,r7,"Dallas, TX",32.7767,-96.797,809.2669268693217
p55,37.39648815,-93.63067538,r7,"Dallas, TX",32.7767,-96.797,588.8710622670476
p56,35.49289456,-93.59063588,r7,"Dallas, TX",32.7767,-96.797,422.2128019818686
p57,32.86217276,-94.5241288,r7,"Dallas, TX",32.7767,-96.797,212.60011311229624
p58,30.84054963,-92.01150228,r7,"Dallas, TX",32.7767,-96.797,500.76459712201034
p59,31.77308956,-106.2230818,r6,"Odessa, TX",31.84568,-102.36765,364.38653677927334
p6,42.80834786,-122.7941288,r1,"Silver Springs, NV",39.41547,-119.22461,481.3139145948296
p60,33.42197646,-100.4747257,r6,"Odessa, TX",31.84568,-102.36765,249.2712107964789
p61,30.79490767,-102.5121274,r6,"Odessa, TX",31.84568,-102.36765,117.64391778852703
p62,31.77998214,-102.3887614,r6,"Odessa, TX",31.84568,-102.36765,7.572744111493633
p63,32.37182664,-97.11815228,r7,"Dallas, TX",32.7767,-96.797,54.15143720618416
p64,30.14290618,-98.02819061,r7,"Dallas, TX",32.7767,-96.797,315.2805977894612
p65,28.14593418,-98.36237296,r7,"Dallas, TX",32.7767,-96.797,536.3082047681531
p66,30.68456443,-94.49850005,r7,"Dallas, TX",32.7767,-96.797,318.3711642787391
p67,29.5703565,-95.42461309,r7,"Dallas, TX",32.7767,-96.797,379.67309480397233
p68,43.85294596,-93.84641518,r9,"Perrysburg, OH",41.553,-83.5835,876.0760993087307
p69,42.91269261,-92.11168489,r9,"Perrysburg, OH",41.553,-83.5835,717.8850382716208
p7,43.19860125,-118.790355,r1,"Silver Springs, NV",39.41547,-119.22461,422.224620980454
p70,41.53491879,-92.68514792,r9,"Perrysburg, OH",41.553,-83.5835,757.1241604686737
p71,39.96993092,-92.01395166,r8,"Sparta, TN",35.9259,-85.46414,729.061444421785
p72,38.4997353,-91.3675038,r8,"Sparta, TN",35.9259,-85.46414,595.8080352316649
p73,37.67809039,-91.06236394,r8,"Sparta, TN",35.9259,-85.46414,535.0500053442901
p74,46.39589899,-88.25976999,r9,"Perrysburg, OH",41.553,-83.5835,655.4865963410675
p75,45.19646292,-88.88363925,r9,"Perrysburg, OH",41.553,-83.5835,589.3715870703786
p76,44.06230241,-89.11741448,r9,"Perrysburg, OH",41.553,-83.5835,530.5301292876541
p77,43.41560313,-90.49937312,r9,"Perrysburg, OH",41.553,-83.5835,603.5222462900597
p78,42.83835582,-89.33478091,r9,"Perrysburg, OH",41.553,-83.5835,494.7569616073353
p79,43.07262373,-88.23565775,r9,"Perrysburg, OH",41.553,-83.5835,418.110226997808
p8,41.30824779,-121.4464046,r1,"Silver Springs, NV",39.41547,-119.22461,282.34962325851734
p80,41.76580781,-88.79751098,r9,"Perrysburg, OH",41.553,-83.5835,433.73242301223326
p81,39.3367648,-89.78363058,r8,"Sparta, TN",35.9259,-85.46414,537.0215578025715
p82,40.36595616,-89.52274432,r9,"Perrysburg, OH",41.553,-83.5835,515.7778267495047
p83,39.76077104,-88.32037463,r9,"Perrysburg, OH",41.553,-83.5835,446.42986215946723
p84,37.05321965,-91.29205837,r8,"Sparta, TN",35.9259,-85.46414,535.7672125416927
