year,new_Installed_Capacity_[MW],mod_eff,mod_reliability_t50,mod_reliability_t90,mod_degradation,mod_lifetime,mod_MFG_eff,mod_EOL_collection_eff,mod_EOL_collected_recycled,mod_Repowering,mod_Repairing
year,MW,%,years,years,%,years,%,%,%,%,%
1995,75,9.5,45,50,0,40,100,0,0,0,0
1996,125,9.5,45,50,0,40,100,0,0,0,0
1997,100,9.5,45,50,0,40,100,0,0,0,0
1998,175,9.5,45,50,0,40,100,0,0,0,0
1999,275,9.5,45,50,0,40,100,0,0,0,0
2000,250,9.5,45,50,0,40,100,0,0,0,0
2001,250,9.5,45,50,0,40,100,0,0,0,0
2002,550,9.5,45,50,0,40,100,0,0,0,0
2003,700,9.5,45,50,0,40,100,0,0,0,0
2004,1300,9.5,45,50,0,40,100,0,0,0,0
2005,1700,9.5,45,50,0,40,100,0,0,0,0
2006,2500,9.5,45,50,0,40,100,0,0,0,0
2007,1800,9.5,45,50,0,40,100,0,0,0,0
2008,9700,9.5,45,50,0,40,100,0,0,0,0
2009,10000,9.5,45,50,0,40,100,0,0,0,0
2010,15197.945,9.5,45,50,0,40,100,0,0,0,0
2011,34346.649,9.5,45,50,0,40,100,0,0,0,0
2012,17383.814,9.5,45,50,0,40,100,0,0,0,0
2013,52894.33,9.5,45,50,0,40,100,0,0,0,0
2014,52795.27,9.5,45,50,0,40,100,0,0,0,0
2015,52844.79,10.1,45,50,0,40,100,0,0,0,0
2016,17408.6,10.7,45,50,0,40,100,0,0,0,0
2017,52795.27,11.2,45,50,0,40,100,0,0,0,0
2018,52844.8,11.8,45,50,0,40,100,0,0,0,0
2019,88256.26,12.4,45,50,0,40,100,0,0,0,0
2020,52869.6,13,45,50,0,40,100,0,0,0,0
2021,52844.79,13.6,45,50,0,40,100,0,0,0,0
2022,70550.55,14.1,45,50,0,40,100,0,0,0,0
2023,123791.55,14.7,45,50,0,40,100,0,0,0,0
2024,70600.05,15.3,45,50,0,40,100,0,0,0,0
2025,105962,15.9,45,50,0,40,100,0,0,0,0
2026,106061,16.5,45,50,0,40,100,0,0,0,0
2027,141472.5,17.45,45,50,0,40,100,0,0,0,0
2028,141472.6,17.92,45,50,0,40,100,0,0,0,0
2029,159203,18.04,45,50,0,40,100,0,0,0,0
2030,106061.1,18.45,45,50,0,40,100,0,0,0,0
2031,141447.8,19.2,45,50,0,40,100,0,0,0,0
2032,141546.7,19.89,45,50,0,40,100,0,0,0,0
2033,70550.6,20.2,45,50,0,40,100,0,0,0,0
2034,123741.9,20.75,45,50,0,40,100,0,0,0,0
2035,123766.9,21.2,45,50,0,40,100,0,0,0,0
2036,141497.3,22.9,45,50,0,40,100,0,0,0,0
2037,106036.4,23.2,45,50,0,40,100,0,0,0,0
2038,123766.6,23.51,45,50,0,40,100,0,0,0,0
2039,176983.1,23.82,45,50,0,40,100,0,0,0,0
2040,123717.3,24.13,45,50,0,40,100,0,0,0,0
2041,123717.3,24.44,45,50,0,40,100,0,0,0,0
2042,159302.1,24.75,45,50,0,40,100,0,0,0,0
2043,176908.6,25.06,45,50,0,40,100,0,0,0,0
2044,123766.8,25.06,45,50,0,40,100,0,0,0,0
2045,194664.1,25.06,45,50,0,40,100,0,0,0,0
2046,159252.5,25.06,45,50,0,40,100,0,0,0,0
2047,176908.9,25.06,45,50,0,40,100,0,0,0,0
2048,159277.1,25.06,45,50,0,40,100,0,0,0,0
2049,159178.4,25.06,45,50,0,40,100,0,0,0,0
2050,176933.6,25.06,45,50,0,40,100,0,0,0,0
