year,new_Installed_Capacity_[MW],mod_eff,mod_reliability_t50,mod_reliability_t90,mod_degradation,mod_lifetime,mod_MFG_eff,mod_Repair,mod_MerchantTail,mod_EOL_collection_eff,mod_EOL_pg0_resell,mod_EOL_pg1_landfill,mod_EOL_pg2_stored,mod_EOL_pg3_reMFG,mod_EOL_pg4_recycled,mod_EOL_reMFG_yield,mod_EOL_sp_reMFG_recycle,mod_EOL_pb1_landfill,mod_EOL_pb2_stored,mod_EOL_pb3_reMFG,mod_EOL_pb4_recycled
year,MW,%,years,years,%,years,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%
1995,1.5375,12.5,16,21,0.75,10,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
1996,1.1891230000410002,12.7,16,21,0.75,10,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
1997,1.4295060000000002,12.88,18,20,0.75,15,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
1998,1.4490630000000002,13.06,18,20,0.75,15,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
1999,2.07681400041,13.24,18,20,0.75,15,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2000,2.57398000041,13.42,22.5,24,0.75,20,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2001,3.442155,13.6,22.5,24,0.75,20,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2002,5.224548,13.72222222,22.5,24,0.75,20,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2003,7.348635000000001,13.84444444,22.5,24,0.75,20,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2004,11.654496,13.96666667,22.5,24,0.75,20,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2005,11.858242315530001,14.08888889,22.5,24,0.75,20,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2006,12.036898895490001,14.21111111,22.5,24,0.75,20,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2007,39.6656302278,14.33333333,24,26,0.75,21.5,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2008,38.41514146590001,14.45555556,24,26,0.75,21.5,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2009,52.5641349315,14.57777778,24,26,0.75,21.6,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2010,101.22792325800002,14.7,25,27,0.75,22.7,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2011,263.21902079700004,15.1,26.5,29,0.75,23,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2012,423.68322573300003,15.4,25,30,0.75,23.5,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2013,540.6047568750001,16,27.6,30.2,0.75,24.2,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2014,413.26752558600003,16.3,29.5,32,0.75,26,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2015,882.5722526640001,17,32.4,35,0.75,28.7,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2016,1569.1189076700002,17.5,32.4,35,0.75,28.7,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2017,1264.5157864500002,17.7,32.6,35,0.6,29.5,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2018,1144.978028211,18.4,33.8,36,0.6,31,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2019,1305.39431616,19.2,35,37,0.6,32.4,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2020,1927.0877436900003,20,39,42,0.6,35,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2021,2252.8108591200003,20.9,39,42,0.6,35,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2022,2054.6285014800005,21.1,39,42,0.6,35,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2023,3980.0523171600003,21.8,39,42,0.6,35,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2024,5092.096832520001,22.44397382,39,42,0.6,35,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2025,4520.5840987500005,22.82945723,39,42,0.6,35,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2026,4496.8946566800005,23.10697068,39,42,0.6,35,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2027,4211.800807770001,23.32454786,41,44,0.6,35,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2028,4094.9363958600006,23.5038413,41,44,0.6,35,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2029,4260.423471600001,23.65650656,41,44,0.6,35,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2030,4389.7959404700005,23.78955252,41,44,0.6,35,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2031,4461.684168690001,23.90752833,41,44,0.6,35,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2032,4523.494179120001,24.01355695,41,44,0.6,35,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2033,4560.8600748300005,24.10987653,41,44,0.6,35,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2034,4580.178090750001,24.19814674,41,44,0.6,35,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2035,4597.17355425,24.27963281,41,44,0.6,35,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2036,5691.77327727,24.35532174,41,44,0.6,35,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2037,6198.34109838,24.42599852,41,44,0.6,35,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2038,6749.993456340001,24.49229789,41,44,0.6,35,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2039,7350.742874370001,24.55474047,41,44,0.6,35,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2040,8004.958990200001,24.61375871,41,44,0.6,35,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2041,8717.400340500002,24.66971571,41,44,0.6,35,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2042,9493.24897062,24.72291942,41,44,0.6,35,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2043,10338.148129170002,24.77363325,41,44,0.6,35,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2044,11258.24331189,24.8220843,41,44,0.6,35,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2045,12260.22696723,24.86846977,41,44,0.6,35,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2046,13351.387161300001,24.91296201,41,44,0.6,35,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2047,14539.660629000002,24.95571251,41,44,0.6,35,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2048,15833.690419200002,24.99685519,41,44,0.6,35,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2049,17242.8888732,25.03650896,41,44,0.6,35,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
2050,18777.5059746,25.07477998,41,44,0.6,35,98,0,0,15,0,60,0,0,40,0,100,60,0,0,40
