year,new_Installed_Capacity_[MW],mod_eff,mod_reliability_t50,mod_reliability_t90,mod_degradation,mod_lifetime,mod_MFG_eff,mod_Repair,mod_MerchantTail,mod_EOL_collection_eff,mod_EOL_pg0_resell,mod_EOL_pg1_landfill,mod_EOL_pg2_stored,mod_EOL_pg3_reMFG,mod_EOL_pg4_recycled,mod_EOL_reMFG_yield,mod_EOL_sp_reMFG_recycle,mod_EOL_pb1_landfill,mod_EOL_pb2_stored,mod_EOL_pb3_reMFG,mod_EOL_pb4_recycled
year,MW,%,years,years,%,years,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%
1995,0.0,0,19,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,0.0,0,19,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,0.0,0,19,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,0.0,0,19,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,0.0,0,19,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,0.0,0,19,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,0.0,0,19,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,0.0,0,19,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,0.0,7,19,23,1,25,98,0,0,100,0,0,0,0,100,0,100,0,0,0,100
2004,0.0,7.666666667,19,23,1,25,98,0,0,100,0,0,0,0,100,0,100,0,0,0,100
2005,0.0,8.333333333,19,24,1,25,98,0,0,100,0,0,0,0,100,0,100,0,0,0,100
2006,0.0,9,20,25,1,25,98,0,0,100,0,0,0,0,100,0,100,0,0,0,100
2007,0.0,9.84375,20,25,1,25,98,0,0,100,0,0,0,0,100,0,100,0,0,0,100
2008,0.611,10.265625,21,26,1,25,98,0,0,100,0,0,0,0,100,0,100,0,0,0,100
2009,1.222,10.546875,24,29,1,25,98,0,0,100,0,0,0,0,100,0,100,0,0,0,100
2010,7.332,12.5,25,30,0.3,25,98,0,0,100,0,0,0,0,100,0,100,0,0,0,100
2011,7.332,12.8,25,30,0.3,25,98,0,0,100,0,0,0,0,100,0,100,0,0,0,100
2012,14.053,15.3,25,30,0.3,25,98,0,0,100,0,0,0,0,100,0,100,0,0,0,100
2013,30.55,16.1,28,33,0.3,25,98,0,0,100,0,0,0,0,100,0,100,0,0,0,100
2014,135.642,17.5,28,33,0.3,25,98,0,0,100,0,0,0,0,100,0,100,0,0,0,100
2015,32.994,18.6,28,33,0.3,25,98,0,0,100,0,0,0,0,100,0,100,0,0,0,100
2016,105.703,18.7,28,33,0.3,25,98,0,0,100,0,0,0,0,100,0,100,0,0,0,100
2017,55.601,18.8,28,33,1.8,25,98,0,0,100,0,0,0,0,100,0,100,0,0,0,100
2018,60.489,18.9,28,33,1.8,35,98,0,0,100,0,0,0,0,100,0,100,0,0,0,100
2019,103.259,19,28,33,1.8,35,98,0,0,100,0,0,0,0,100,0,100,0,0,0,100
2020,166.803,19.06666667,33,38,1.8,35,98,0,0,100,0,0,0,0,100,0,100,0,0,0,100
2021,236.457,19.13333333,33,38,1.8,35,98,0,0,100,0,0,0,0,100,0,100,0,0,0,100
2022,234.39059583800002,19.2,33,38,1.8,35,98,0,0,100,0,0,0,0,100,0,100,0,0,0,100
2023,417.177141377,19.3,33,38,1.8,35,98,0,0,100,0,0,0,0,100,0,100,0,0,0,100
2024,403.552195616,21.65,33,38,1.8,35,98,0,0,100,0,0,0,0,100,0,100,0,0,0,100
2025,658.0,24,33,38,1.8,35,98,0,0,100,0,0,0,0,100,0,100,0,0,0,100
2026,658.0,24.2,33,38,1.8,35,98,0,0,100,0,0,0,0,100,0,100,0,0,0,100
2027,658.0,24.4,40,44,1.8,35,98,0,0,100,0,0,0,0,100,0,100,0,0,0,100
2028,658.0,24.6,40,44,1.8,35,98,0,0,100,0,0,0,0,100,0,100,0,0,0,100
2029,658.0,24.8,40,44,1.8,35,98,0,0,100,0,0,0,0,100,0,100,0,0,0,100
2030,658.0,25,40,44,1.8,35,98,0,0,100,0,0,0,0,100,0,100,0,0,0,100
2031,658.0,25.2,40,44,1.8,35,98,0,0,100,0,0,0,0,100,0,100,0,0,0,100
2032,658.0,25.4,40,44,1.8,35,98,0,0,100,0,0,0,0,100,0,100,0,0,0,100
2033,658.0,25.6,40,44,1.8,35,98,0,0,100,0,0,0,0,100,0,100,0,0,0,100
2034,658.0,25.8,40,44,1.8,35,98,0,0,100,0,0,0,0,100,0,100,0,0,0,100
2035,658.0,26,40,44,1.8,35,98,0,0,100,0,0,0,0,100,0,100,0,0,0,100
2036,658.0,26.03333333,40,44,1.8,35,98,0,0,100,0,0,0,0,100,0,100,0,0,0,100
2037,658.0,26.06666667,40,44,1.8,35,98,0,0,100,0,0,0,0,100,0,100,0,0,0,100
2038,658.0,26.1,40,44,1.8,35,98,0,0,100,0,0,0,0,100,0,100,0,0,0,100
2039,658.0,26.13333333,40,44,1.8,35,98,0,0,100,0,0,0,0,100,0,100,0,0,0,100
2040,658.0,26.16666667,40,44,1.8,35,98,0,0,100,0,0,0,0,100,0,100,0,0,0,100
2041,658.0,26.2,40,44,1.8,35,98,0,0,100,0,0,0,0,100,0,100,0,0,0,100
2042,658.0,26.23333333,40,44,1.8,35,98,0,0,100,0,0,0,0,100,0,100,0,0,0,100
2043,658.0,26.26666667,40,44,1.8,35,98,0,0,100,0,0,0,0,100,0,100,0,0,0,100
2044,658.0,26.3,40,44,1.8,35,98,0,0,100,0,0,0,0,100,0,100,0,0,0,100
2045,658.0,26.33333333,40,44,1.8,35,98,0,0,100,0,0,0,0,100,0,100,0,0,0,100
2046,658.0,26.36666667,40,44,1.8,35,98,0,0,100,0,0,0,0,100,0,100,0,0,0,100
2047,658.0,26.4,40,44,1.8,35,98,0,0,100,0,0,0,0,100,0,100,0,0,0,100
2048,658.0,26.43333333,40,44,1.8,35,98,0,0,100,0,0,0,0,100,0,100,0,0,0,100
2049,658.0,26.46666667,40,44,1.8,35,98,0,0,100,0,0,0,0,100,0,100,0,0,0,100
2050,658.0,26.5,40,44,1.8,35,98,0,0,100,0,0,0,0,100,0,100,0,0,0,100
